,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Jacyn Goble,,4,3,1,0.75,99.5,,124.8,20.5,20.3,10.3,1.0,,105.5,22.3,18.0,8.0,0.8,,19.3,-1.8,2.3,2.3,0.2
1,2,Natalie Sago,,6,6,0,1.0,100.0,,120.7,25.0,19.2,8.7,2.3,,110.7,21.5,21.2,10.7,1.3,,10.0,3.5,-2.0,-2.0,1.0
2,3,Josh Tiven,,6,5,1,0.833,98.5,,117.2,20.0,17.3,10.0,1.5,,109.0,21.7,18.7,8.8,1.8,,8.2,-1.7,-1.4,1.2,-0.3
3,4,Mitchell Ervin,,5,3,2,0.6,100.9,,112.0,27.4,21.0,9.6,2.4,,116.0,21.2,22.6,10.6,2.0,,-4.0,6.2,-1.6,-1.0,0.4
4,5,David Guthrie,,4,3,1,0.75,102.0,,113.8,24.3,18.5,10.3,1.0,,118.8,21.0,20.0,10.0,1.3,,-5.0,3.3,-1.5,0.3,-0.3
5,6,Jonathan Sterling,,6,3,3,0.5,98.7,,106.3,18.7,16.8,8.7,2.0,,111.7,17.5,18.5,7.5,2.3,,-5.4,1.2,-1.7,1.2,-0.3
6,7,Karl Lane,,4,2,2,0.5,100.4,,110.3,22.3,17.0,8.3,1.5,,119.0,15.5,18.3,9.3,1.3,,-8.7,6.8,-1.3,-1.0,0.2
7,8,Ed Malloy,,6,5,1,0.833,100.2,,124.0,25.3,19.5,9.7,2.2,,111.8,20.7,20.7,11.7,0.8,,12.2,4.6,-1.2,-2.0,1.4
8,9,Scott Twardoski,,7,5,2,0.714,101.3,,119.1,21.1,19.0,9.7,1.3,,112.0,21.0,18.0,9.1,1.3,,7.1,0.1,1.0,0.6,0.0
9,10,Mark Lindsay,,6,4,2,0.667,101.5,,117.0,25.7,16.5,8.8,1.7,,119.0,17.7,20.0,10.8,1.2,,-2.0,8.0,-3.5,-2.0,0.5
10,11,C.J. Washington,,3,3,0,1.0,100.5,,127.3,29.7,19.3,10.3,2.3,,112.3,23.3,25.0,13.0,2.3,,15.0,6.4,-5.7,-2.7,0.0
11,12,Leon Wood,,4,3,1,0.75,99.3,,119.0,21.0,18.8,9.0,2.0,,112.5,19.3,19.0,8.8,2.0,,6.5,1.7,-0.2,0.2,0.0
12,13,Matt Myers,,3,2,1,0.667,98.9,,109.0,26.3,19.0,8.3,2.0,,105.3,19.3,23.3,10.7,2.3,,3.7,7.0,-4.3,-2.4,-0.3
13,14,Dedric Taylor,,4,0,4,0.0,97.4,,108.2,18.5,18.3,7.6,1.7,,118.4,17.8,18.0,9.3,2.4,,-10.2,0.7,0.3,-1.7,-0.7
