,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,63,23,40,0.365,6286,6375,99.8,101.2
1,2,Boston Celtics,63,21,42,0.333,6394,6574,101.5,104.3
2,3,Brooklyn Nets,63,36,27,0.571,6361,6337,101.0,100.6
3,4,Charlotte Hornets,62,22,40,0.355,6224,6360,100.4,102.6
4,5,Chicago Bulls,63,27,36,0.429,6314,6355,100.2,100.9
5,6,Cleveland Cavaliers,63,24,39,0.381,6163,6393,97.8,101.5
6,7,Dallas Mavericks,129,54,75,0.419,12795,12992,99.2,100.7
7,8,Denver Nuggets,137,52,85,0.38,13932,14126,101.7,103.1
8,9,Detroit Pistons,64,33,31,0.516,6299,6408,98.4,100.1
9,10,Golden State Warriors,123,51,72,0.415,12809,13103,104.1,106.5
10,11,Houston Rockets,129,47,82,0.364,12988,13549,100.7,105.0
11,12,Indiana Pacers,64,23,41,0.359,6438,6733,100.6,105.2
12,13,Los Angeles Clippers,125,58,67,0.464,12392,12531,99.1,100.2
13,14,Los Angeles Lakers,122,39,83,0.32,12232,12721,100.3,104.3
14,15,Memphis Grizzlies,101,51,50,0.505,10094,9957,99.9,98.6
15,16,Miami Heat,64,30,34,0.469,6222,6514,97.2,101.8
16,17,Milwaukee Bucks,64,33,31,0.516,6450,6490,100.8,101.4
17,18,New Orleans Pelicans,68,32,36,0.471,6927,6989,101.9,102.8
18,19,New York Knicks,62,28,34,0.452,6103,6136,98.4,99.0
19,20,Oklahoma City Thunder,128,41,87,0.32,12932,13479,101.0,105.3
20,21,Orlando Magic,65,23,42,0.354,6597,6806,101.5,104.7
21,22,Philadelphia 76ers,62,30,32,0.484,6084,6247,98.1,100.8
22,23,Phoenix Suns,120,43,77,0.358,12305,12805,102.5,106.7
23,24,Portland Trail Blazers,127,40,87,0.315,12433,13027,97.9,102.6
24,25,Sacramento Kings,123,64,59,0.52,12629,12501,102.7,101.6
25,26,San Antonio Spurs,127,36,91,0.283,12217,12914,96.2,101.7
26,27,Toronto Raptors,52,16,36,0.308,5175,5377,99.5,103.4
27,28,Utah Jazz,134,46,88,0.343,13205,13862,98.5,103.4
28,29,Washington Wizards,63,26,37,0.413,6474,6519,102.8,103.5
