,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Rick Adelman,2012,2014,3,230,97,133,0.422,-18.0,,,,,,,
1,2,Bill Blair,1995,1996,2,102,27,75,0.265,-24.0,,,,,,,
2,3,Dwane Casey,2006,2007,2,122,53,69,0.434,-8.0,,,,,,,
3,4,Chris Finch,2021,2022,2,123,62,61,0.504,0.5,1.0,6.0,2.0,4.0,0.333,,
4,5,Sidney Lowe,1993,1994,2,135,33,102,0.244,-34.5,,,,,,,
5,6,Kevin McHale,2005,2009,2,94,39,55,0.415,-8.0,,,,,,,
6,7,Sam Mitchell,2016,2016,1,82,29,53,0.354,-12.0,,,,,,,
7,8,Bill Musselman,1990,1991,2,164,51,113,0.311,-31.0,,,,,,,
8,9,Kurt Rambis,2010,2011,2,164,32,132,0.195,-50.0,,,,,,,
9,10,Jimmy Rodgers,1992,1993,2,111,21,90,0.189,-34.5,,,,,,,
10,11,Flip Saunders,1996,2015,11,819,427,392,0.521,17.5,8.0,47.0,17.0,30.0,0.362,0.0,0.0
11,12,Ryan Saunders,2019,2021,3,137,43,94,0.314,-25.5,,,,,,,
12,13,Tom Thibodeau,2017,2019,3,204,97,107,0.475,-5.0,1.0,5.0,1.0,4.0,0.2,0.0,0.0
13,14,Randy Wittman,2007,2009,3,143,38,105,0.266,-33.5,,,,,,,
