,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Houston Rockets,W,,124,106,1,0,A. Edwards · J. McDaniels · J. Okogie · D. Russell · K. Towns
1,2,2021-10-23,,,Box Score,,New Orleans Pelicans,W,,96,89,2,0,A. Edwards · J. McDaniels · J. Okogie · D. Russell · K. Towns
2,3,2021-10-25,,,Box Score,,New Orleans Pelicans,L,,98,107,2,1,A. Edwards · J. McDaniels · J. Okogie · D. Russell · K. Towns
3,4,2021-10-27,,,Box Score,@,Milwaukee Bucks,W,,113,108,3,1,A. Edwards · J. McDaniels · D. Russell · K. Towns · J. Vanderbilt
4,5,2021-10-30,,,Box Score,,Denver Nuggets,L,,91,93,3,2,A. Edwards · J. McDaniels · D. Russell · K. Towns · J. Vanderbilt
5,6,2021-11-01,,,Box Score,,Orlando Magic,L,,97,115,3,3,A. Edwards · J. McDaniels · D. Russell · K. Towns · J. Vanderbilt
6,7,2021-11-03,,,Box Score,,Los Angeles Clippers,L,,115,126,3,4,P. Beverley · A. Edwards · J. McDaniels · J. Okogie · K. Towns
7,8,2021-11-05,,,Box Score,,Los Angeles Clippers,L,,84,104,3,5,P. Beverley · A. Edwards · J. McDaniels · T. Prince · K. Towns
8,9,2021-11-08,,,Box Score,@,Memphis Grizzlies,L,OT,118,125,3,6,P. Beverley · A. Edwards · J. McDaniels · D. Russell · K. Towns
9,10,2021-11-10,,,Box Score,@,Golden State Warriors,L,,110,123,3,7,P. Beverley · A. Edwards · J. McDaniels · D. Russell · K. Towns
10,11,2021-11-12,,,Box Score,@,Los Angeles Lakers,W,,107,83,4,7,P. Beverley · A. Edwards · D. Russell · K. Towns · J. Vanderbilt
11,12,2021-11-13,,,Box Score,@,Los Angeles Clippers,L,,102,129,4,8,P. Beverley · A. Edwards · D. Russell · K. Towns · J. Vanderbilt
12,13,2021-11-15,,,Box Score,,Phoenix Suns,L,,96,99,4,9,P. Beverley · A. Edwards · D. Russell · K. Towns · J. Vanderbilt
13,14,2021-11-17,,,Box Score,,Sacramento Kings,W,,107,97,5,9,P. Beverley · A. Edwards · D. Russell · K. Towns · J. Vanderbilt
14,15,2021-11-18,,,Box Score,,San Antonio Spurs,W,,115,90,6,9,P. Beverley · A. Edwards · D. Russell · K. Towns · J. Vanderbilt
15,16,2021-11-20,,,Box Score,,Memphis Grizzlies,W,,138,95,7,9,P. Beverley · A. Edwards · D. Russell · K. Towns · J. Vanderbilt
16,17,2021-11-22,,,Box Score,@,New Orleans Pelicans,W,,110,96,8,9,P. Beverley · A. Edwards · D. Russell · K. Towns · J. Vanderbilt
17,18,2021-11-24,,,Box Score,,Miami Heat,W,,113,101,9,9,P. Beverley · A. Edwards · D. Russell · K. Towns · J. Vanderbilt
18,19,2021-11-26,,,Box Score,@,Charlotte Hornets,L,,115,133,9,10,A. Edwards · J. McDaniels · D. Russell · K. Towns · J. Vanderbilt
19,20,2021-11-27,,,Box Score,@,Philadelphia 76ers,W,2OT,121,120,10,10,A. Edwards · T. Prince · D. Russell · K. Towns · J. Vanderbilt
20,21,2021-11-29,,,Box Score,,Indiana Pacers,W,,100,98,11,10,A. Edwards · J. Okogie · T. Prince · D. Russell · K. Towns
21,22,2021-12-01,,,Box Score,@,Washington Wizards,L,,107,115,11,11,A. Edwards · T. Prince · D. Russell · K. Towns · J. Vanderbilt
22,23,2021-12-03,,,Box Score,@,Brooklyn Nets,L,,105,110,11,12,A. Edwards · T. Prince · N. Reid · D. Russell · J. Vanderbilt
23,24,2021-12-06,,,Box Score,,Atlanta Hawks,L,,110,121,11,13,L. Bolmaro · A. Edwards · T. Prince · K. Towns · J. Vanderbilt
24,25,2021-12-08,,,Box Score,,Utah Jazz,L,,104,136,11,14,P. Beverley · A. Edwards · T. Prince · K. Towns · J. Vanderbilt
25,26,2021-12-10,,,Box Score,,Cleveland Cavaliers,L,,106,123,11,15,P. Beverley · A. Edwards · T. Prince · K. Towns · J. Vanderbilt
