,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Curtis Blair,,4,4,0,1.0,101.1,,120.0,23.8,21.5,9.5,3.3,,103.8,21.5,23.3,8.5,3.3,,16.2,2.3,-1.8,1.0,0.0
1,2,Simone Jelks,,1,1,0,1.0,104.8,,124.0,31.0,22.0,10.0,2.0,,106.0,22.0,25.0,11.0,3.0,,18.0,9.0,-3.0,-1.0,-1.0
2,3,Tre Maddox,,5,2,3,0.4,101.4,,122.0,25.0,21.4,9.6,1.6,,121.6,26.6,21.4,10.0,1.8,,0.4,-1.6,0.0,-0.4,-0.2
3,4,Matt Boland,,5,3,2,0.6,97.5,,105.8,18.6,21.0,8.4,2.2,,102.4,23.8,18.6,8.0,2.4,,3.4,-5.2,2.4,0.4,-0.2
4,5,Gediminas Petraitis,,5,3,2,0.6,99.4,,115.4,17.2,24.0,8.2,4.0,,115.2,25.6,20.6,7.2,2.6,,0.2,-8.4,3.4,1.0,1.4
5,6,Kevin Scott,,3,2,1,0.667,101.1,,113.3,15.3,22.0,8.0,3.7,,108.0,22.7,20.7,7.0,3.7,,5.3,-7.4,1.3,1.0,0.0
6,7,Eric Dalen,,4,2,2,0.5,98.1,,116.3,20.8,20.3,8.8,2.0,,117.0,22.3,18.5,8.0,1.3,,-0.7,-1.5,1.8,0.8,0.7
7,8,Nate Green,,3,1,2,0.333,101.1,,115.3,21.0,20.0,9.0,1.3,,108.7,23.0,15.7,9.7,0.3,,6.6,-2.0,4.3,-0.7,1.0
8,9,Ed Malloy,,6,2,4,0.333,99.4,,103.7,23.2,21.0,10.2,2.0,,114.5,24.0,19.8,10.2,1.0,,-10.8,-0.8,1.2,0.0,1.0
9,10,Matt Myers,,3,2,1,0.667,96.4,,106.3,19.3,20.3,9.0,1.3,,103.0,18.7,20.0,8.0,1.3,,3.3,0.6,0.3,1.0,0.0
10,11,Dedric Taylor,,5,3,2,0.6,99.4,,114.4,22.3,22.7,10.8,2.4,,108.5,26.3,21.7,10.0,2.4,,5.9,-4.0,1.0,0.8,0.0
11,12,Zach Zarba,,3,3,0,1.0,100.9,,120.0,20.3,19.7,11.0,1.3,,109.0,20.7,21.7,8.7,1.7,,11.0,-0.4,-2.0,2.3,-0.4
12,13,Ray Acosta,,4,0,4,0.0,98.1,,105.3,21.3,22.8,11.8,1.3,,115.0,26.5,20.3,9.8,2.5,,-9.7,-5.2,2.5,2.0,-1.2
13,14,Kevin Cutler,,4,1,3,0.25,100.9,,111.3,20.5,18.3,6.5,2.8,,121.5,15.0,22.3,9.0,2.3,,-10.2,5.5,-4.0,-2.5,0.5
14,15,Justin Van Duyne,,3,2,1,0.667,97.8,,110.3,21.0,21.7,9.0,2.0,,104.0,20.0,21.7,9.3,3.0,,6.3,1.0,0.0,-0.3,-1.0
15,16,Mitchell Ervin,,5,3,2,0.6,97.2,,115.4,20.5,23.2,11.5,2.1,,114.6,30.5,20.0,10.0,1.5,,0.8,-10.0,3.2,1.5,0.6
16,17,Tyler Ford,,6,3,3,0.5,99.9,,112.7,22.8,21.3,10.2,1.5,,113.3,27.5,21.7,9.8,1.7,,-0.6,-4.7,-0.4,0.4,-0.2
17,18,Andy Nagy,,6,5,1,0.833,101.1,,117.1,26.2,21.1,11.6,2.3,,107.0,27.2,22.9,9.8,2.1,,10.1,-1.0,-1.8,1.8,0.2
18,19,Derrick Collins,,6,2,4,0.333,99.9,,112.5,25.7,17.7,8.8,1.0,,108.0,21.3,19.8,12.5,1.5,,4.5,4.4,-2.1,-3.7,-0.5
19,20,Marc Davis,,6,5,1,0.833,101.9,,129.2,25.5,21.8,10.8,2.3,,121.3,25.7,20.2,12.0,0.8,,7.9,-0.2,1.6,-1.2,1.5
20,21,Jenna Schroeder,,2,0,2,0.0,98.1,,103.0,22.5,17.0,6.0,2.0,,114.5,15.5,17.5,12.0,1.5,,-11.5,7.0,-0.5,-6.0,0.5
21,22,Marat Kogut,,4,2,2,0.5,101.6,,110.3,22.3,22.8,11.8,3.0,,112.5,28.5,21.0,9.8,1.5,,-2.2,-6.2,1.8,2.0,1.5
22,23,Ben Taylor,,4,2,2,0.5,102.0,,120.8,19.8,25.0,9.8,3.5,,118.0,28.5,21.0,8.0,2.0,,2.8,-8.7,4.0,1.8,1.5
23,24,C.J. Washington,,2,0,2,0.0,102.7,,96.0,10.5,29.5,13.5,4.5,,110.0,33.5,15.5,4.5,2.0,,-14.0,-23.0,14.0,9.0,2.5
24,25,Bill Kennedy,,6,1,5,0.167,101.7,,112.7,25.9,22.4,10.3,1.8,,116.8,26.4,22.6,11.8,1.8,,-4.1,-0.5,-0.2,-1.5,0.0
25,26,Leon Wood,,2,1,1,0.5,94.6,,117.4,24.2,24.7,9.0,2.9,,116.4,22.8,20.4,11.4,1.9,,1.0,1.4,4.3,-2.4,1.0
