,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,41,20,21,0.488,4019,3986,98.0,97.2
1,2,Boston Celtics,43,21,22,0.488,4139,4280,96.3,99.5
2,3,Brooklyn Nets,42,20,22,0.476,4273,4355,101.7,103.7
3,4,Charlotte Hornets,35,23,12,0.657,3593,3438,102.7,98.2
4,5,Chicago Bulls,44,19,25,0.432,4412,4482,100.3,101.9
5,6,Cleveland Cavaliers,43,25,18,0.581,4366,4193,101.5,97.5
6,7,Dallas Mavericks,74,24,50,0.324,7370,7758,99.6,104.8
7,8,Denver Nuggets,68,29,39,0.426,6989,7131,102.8,104.9
8,9,Detroit Pistons,43,26,17,0.605,4211,4177,97.9,97.1
9,10,Golden State Warriors,67,24,43,0.358,6977,7283,104.1,108.7
10,11,Houston Rockets,74,33,41,0.446,7397,7467,100.0,100.9
11,12,Indiana Pacers,44,18,26,0.409,4220,4317,95.9,98.1
12,13,Los Angeles Clippers,68,37,31,0.544,6938,6946,102.0,102.1
13,14,Los Angeles Lakers,67,26,41,0.388,6913,7024,103.2,104.8
14,15,Memphis Grizzlies,74,40,34,0.541,7466,7381,100.9,99.7
15,16,Miami Heat,43,20,23,0.465,4142,4222,96.3,98.2
16,17,Milwaukee Bucks,43,28,15,0.651,4494,4461,104.5,103.7
17,18,Minnesota Timberwolves,68,36,32,0.529,6989,6927,102.8,101.9
18,19,New York Knicks,41,21,20,0.512,4111,4117,100.3,100.4
19,20,Oklahoma City Thunder,67,28,39,0.418,6719,6905,100.3,103.1
20,21,Orlando Magic,43,20,23,0.465,4229,4228,98.3,98.3
21,22,Philadelphia 76ers,41,19,22,0.463,4004,3980,97.7,97.1
22,23,Phoenix Suns,68,32,36,0.471,7082,7194,104.1,105.8
23,24,Portland Trail Blazers,68,32,36,0.471,6829,6705,100.4,98.6
24,25,Sacramento Kings,69,38,31,0.551,7215,7141,104.6,103.5
25,26,San Antonio Spurs,73,20,53,0.274,7005,7357,96.0,100.8
26,27,Toronto Raptors,43,17,26,0.395,4254,4315,98.9,100.3
27,28,Utah Jazz,69,26,43,0.377,6748,7060,97.8,102.3
28,29,Washington Wizards,41,18,23,0.439,4065,4085,99.1,99.6
