,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Philadelphia 76ers,L,,97,117,0,1,N. Alexander-Walker · D. Graham · J. Hart · B. Ingram · J. Valančiūnas
1,2,2021-10-22,,,Box Score,@,Chicago Bulls,L,,112,128,0,2,N. Alexander-Walker · D. Graham · B. Ingram · H. Jones · J. Valančiūnas
2,3,2021-10-23,,,Box Score,@,Minnesota Timberwolves,L,,89,96,0,3,N. Alexander-Walker · D. Graham · B. Ingram · H. Jones · J. Valančiūnas
3,4,2021-10-25,,,Box Score,@,Minnesota Timberwolves,W,,107,98,1,3,N. Alexander-Walker · D. Graham · B. Ingram · H. Jones · J. Valančiūnas
4,5,2021-10-27,,,Box Score,,Atlanta Hawks,L,,99,102,1,4,N. Alexander-Walker · D. Graham · B. Ingram · H. Jones · J. Valančiūnas
5,6,2021-10-29,,,Box Score,,Sacramento Kings,L,,109,113,1,5,N. Alexander-Walker · D. Graham · B. Ingram · H. Jones · J. Valančiūnas
6,7,2021-10-30,,,Box Score,,New York Knicks,L,,117,123,1,6,N. Alexander-Walker · D. Graham · J. Hart · H. Jones · J. Valančiūnas
7,8,2021-11-02,,,Box Score,@,Phoenix Suns,L,,100,112,1,7,N. Alexander-Walker · D. Graham · J. Hart · H. Jones · J. Valančiūnas
8,9,2021-11-03,,,Box Score,@,Sacramento Kings,L,,99,112,1,8,N. Alexander-Walker · D. Graham · J. Hart · G. Temple · J. Valančiūnas
9,10,2021-11-05,,,Box Score,@,Golden State Warriors,L,,85,126,1,9,N. Alexander-Walker · D. Graham · J. Hart · G. Temple · J. Valančiūnas
10,11,2021-11-08,,,Box Score,@,Dallas Mavericks,L,,92,108,1,10,N. Alexander-Walker · D. Graham · J. Hart · G. Temple · J. Valančiūnas
11,12,2021-11-10,,,Box Score,,Oklahoma City Thunder,L,,100,108,1,11,N. Alexander-Walker · D. Graham · J. Hart · G. Temple · J. Valančiūnas
12,13,2021-11-12,,,Box Score,,Brooklyn Nets,L,,112,120,1,12,N. Alexander-Walker · D. Graham · J. Hart · G. Temple · J. Valančiūnas
13,14,2021-11-13,,,Box Score,,Memphis Grizzlies,W,,112,101,2,12,N. Alexander-Walker · D. Graham · J. Hart · B. Ingram · J. Valančiūnas
14,15,2021-11-15,,,Box Score,@,Washington Wizards,L,,100,105,2,13,N. Alexander-Walker · D. Graham · J. Hart · B. Ingram · J. Valančiūnas
15,16,2021-11-17,,,Box Score,@,Miami Heat,L,,98,113,2,14,N. Alexander-Walker · D. Graham · J. Hart · B. Ingram · J. Valančiūnas
16,17,2021-11-19,,,Box Score,,Los Angeles Clippers,W,,94,81,3,14,N. Alexander-Walker · J. Hart · B. Ingram · T. Satoranský · J. Valančiūnas
17,18,2021-11-20,,,Box Score,@,Indiana Pacers,L,,94,111,3,15,N. Alexander-Walker · J. Hart · B. Ingram · T. Satoranský · J. Valančiūnas
18,19,2021-11-22,,,Box Score,,Minnesota Timberwolves,L,,96,110,3,16,J. Hart · B. Ingram · T. Satoranský · G. Temple · J. Valančiūnas
19,20,2021-11-24,,,Box Score,,Washington Wizards,W,,127,102,4,16,D. Graham · J. Hart · B. Ingram · H. Jones · J. Valančiūnas
20,21,2021-11-26,,,Box Score,@,Utah Jazz,W,,98,97,5,16,D. Graham · J. Hart · B. Ingram · H. Jones · J. Valančiūnas
21,22,2021-11-27,,,Box Score,@,Utah Jazz,L,,105,127,5,17,D. Graham · J. Hart · B. Ingram · H. Jones · J. Valančiūnas
22,23,2021-11-29,,,Box Score,@,Los Angeles Clippers,W,,123,104,6,17,D. Graham · J. Hart · B. Ingram · H. Jones · J. Valančiūnas
