,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Courtney Kirkland,,5,0,5,0.0,96.8,,102.0,15.4,18.4,8.6,1.8,,116.0,18.8,17.4,7.8,1.6,,-14.0,-3.4,1.0,0.8,0.2
1,2,Karl Lane,,5,2,3,0.4,94.7,,105.8,23.0,19.6,8.8,2.0,,103.4,20.4,19.6,11.2,1.2,,2.4,2.6,0.0,-2.4,0.8
2,3,Danielle Scott,,5,3,2,0.6,97.7,,108.5,20.6,19.2,8.2,1.6,,106.0,19.4,18.0,10.4,1.0,,2.5,1.2,1.2,-2.2,0.6
3,4,Scott Foster,,2,0,2,0.0,100.2,,106.0,24.0,20.0,11.5,1.5,,118.0,27.5,18.5,11.0,2.0,,-12.0,-3.5,1.5,0.5,-0.5
4,5,Jacyn Goble,,5,1,4,0.2,96.6,,101.2,20.0,21.0,9.8,2.0,,115.4,22.0,18.6,9.8,1.6,,-14.2,-2.0,2.4,0.0,0.4
5,6,Brandon Schwab,,4,2,2,0.5,98.0,,116.5,24.0,18.0,10.8,1.5,,115.3,22.5,21.3,11.8,2.0,,1.2,1.5,-3.3,-1.0,-0.5
6,7,Matt Boland,,2,0,2,0.0,98.2,,94.5,25.0,17.5,5.0,5.0,,107.5,10.0,23.0,8.5,4.0,,-13.0,15.0,-5.5,-3.5,1.0
7,8,Gediminas Petraitis,,4,0,4,0.0,97.4,,106.5,24.6,22.9,9.0,3.2,,112.6,23.9,22.4,10.0,3.2,,-6.1,0.7,0.5,-1.0,0.0
8,9,Kevin Scott,,4,1,3,0.25,98.5,,99.8,20.0,21.0,7.5,3.8,,103.3,19.5,21.0,7.8,4.5,,-3.5,0.5,0.0,-0.3,-0.7
9,10,Eric Dalen,,3,2,1,0.667,99.1,,112.3,27.3,18.3,9.7,1.3,,115.7,22.0,21.0,12.0,1.7,,-3.4,5.3,-2.7,-2.3,-0.4
10,11,Nate Green,,3,2,1,0.667,94.0,,107.7,26.0,18.3,8.0,2.7,,100.0,20.0,20.7,9.3,1.3,,7.7,6.0,-2.4,-1.3,1.4
11,12,Ed Malloy,,2,2,0,1.0,98.1,,116.0,17.5,21.5,10.0,1.0,,96.5,26.0,19.0,7.5,3.0,,19.5,-8.5,2.5,2.5,-2.0
12,13,Brian Forte,,4,1,3,0.25,93.9,,105.0,20.7,20.7,7.6,3.7,,107.7,18.8,19.7,10.0,1.2,,-2.7,1.9,1.0,-2.4,2.5
13,14,Pat Fraher,,6,2,4,0.333,95.4,,109.7,20.2,17.5,8.5,1.7,,108.3,20.2,20.8,10.2,1.8,,1.4,0.0,-3.3,-1.7,-0.1
14,15,Evan Scott,,2,0,2,0.0,94.4,,95.5,13.5,17.0,8.0,1.5,,103.0,18.5,16.0,6.5,2.0,,-7.5,-5.0,1.0,1.5,-0.5
15,16,Mitchell Ervin,,6,1,5,0.167,95.7,,105.3,21.8,20.5,10.8,2.0,,111.7,24.3,20.0,9.7,2.3,,-6.4,-2.5,0.5,1.1,-0.3
16,17,Matt Myers,,4,1,3,0.25,99.0,,107.5,28.3,21.5,9.3,2.8,,114.0,22.0,22.3,10.8,2.0,,-6.5,6.3,-0.8,-1.5,0.8
17,18,Curtis Blair,,4,3,1,0.75,96.1,,113.0,19.8,19.0,7.5,1.8,,102.5,18.5,18.0,10.0,1.8,,10.5,1.3,1.0,-2.5,0.0
18,19,C.J. Washington,,3,1,2,0.333,95.7,,109.7,19.7,19.7,7.7,2.0,,107.7,20.7,17.7,10.3,1.3,,2.0,-1.0,2.0,-2.6,0.7
19,20,Lauren Holtkamp-Sterling,,8,1,7,0.125,98.3,,106.9,21.0,18.6,8.9,2.1,,116.6,20.7,20.4,9.6,1.0,,-9.7,0.3,-1.8,-0.7,1.1
20,21,Justin Van Duyne,,3,2,1,0.667,97.3,,107.0,18.3,19.0,8.7,3.0,,106.0,19.3,19.7,8.0,2.7,,1.0,-1.0,-0.7,0.7,0.3
21,22,Tony Brothers,,4,3,1,0.75,95.9,,106.7,23.6,16.6,6.8,1.2,,103.1,18.0,20.2,10.7,2.2,,3.6,5.6,-3.6,-3.9,-1.0
22,23,Sean Corbin,,2,0,2,0.0,96.3,,104.5,23.5,18.5,8.5,1.5,,117.5,21.0,22.5,9.5,2.5,,-13.0,2.5,-4.0,-1.0,-1.0
23,24,Andy Nagy,,5,1,4,0.2,93.6,,107.4,19.8,14.6,6.8,1.2,,118.2,16.6,20.2,10.2,1.2,,-10.8,3.2,-5.6,-3.4,0.0
24,25,David Guthrie,,4,0,4,0.0,98.5,,106.0,21.9,21.2,9.7,1.7,,127.2,22.9,21.7,8.5,2.2,,-21.2,-1.0,-0.5,1.2,-0.5
25,26,Leon Wood,,5,4,1,0.8,95.6,,111.6,22.0,19.6,9.0,2.2,,111.0,21.0,19.2,9.8,1.8,,0.6,1.0,0.4,-0.8,0.4
26,27,Nick Buchert,,4,3,1,0.75,97.6,,109.2,23.1,19.0,7.8,2.7,,102.8,19.2,20.2,11.0,1.9,,6.4,3.9,-1.2,-3.2,0.8
27,28,Mark Lindsay,,6,2,4,0.333,96.5,,107.5,23.3,19.8,9.0,3.0,,114.3,20.8,20.2,10.7,1.5,,-6.8,2.5,-0.4,-1.7,1.5
28,29,Natalie Sago,,6,1,5,0.167,97.9,,108.5,27.5,19.0,9.0,2.5,,115.3,22.7,21.3,11.3,1.0,,-6.8,4.8,-2.3,-2.3,1.5
