,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Anderson Packers,2,1,1,0.5,175,174,87.5,87.0
1,2,Atlanta Hawks,384,186,198,0.484,39569,39645,103.0,103.2
2,3,Baltimore Bullets,54,39,15,0.722,4580,4289,84.8,79.4
3,4,Boston Celtics,485,186,299,0.384,49369,50959,101.8,105.1
4,5,Brooklyn Nets,206,101,105,0.49,20766,20619,100.8,100.1
5,6,Charlotte Hornets,118,62,56,0.525,11993,11929,101.6,101.1
6,7,Chicago Bulls,239,113,126,0.473,24216,24125,101.3,100.9
7,8,Chicago Stags,23,9,14,0.391,1701,1784,74.0,77.6
8,9,Cleveland Cavaliers,219,116,103,0.53,22181,21809,101.3,99.6
9,10,Cleveland Rebels,6,2,4,0.333,424,440,70.7,73.3
10,11,Dallas Mavericks,82,40,42,0.488,8169,8255,99.6,100.7
11,12,Denver Nuggets,95,44,51,0.463,10046,10237,105.7,107.8
12,13,Denver Nuggets,2,2,0,1.0,168,150,84.0,75.0
13,14,Detroit Falcons,6,5,1,0.833,386,348,64.3,58.0
14,15,Detroit Pistons,390,214,176,0.549,39829,39361,102.1,100.9
15,16,Golden State Warriors,346,163,183,0.471,35299,35681,102.0,103.1
16,17,Houston Rockets,149,75,74,0.503,15604,15620,104.7,104.8
17,18,Indiana Pacers,188,96,92,0.511,19037,19174,101.3,102.0
18,19,Indianapolis Jets,5,4,1,0.8,372,347,74.4,69.4
19,20,Indianapolis Olympians,20,10,10,0.5,1633,1630,81.7,81.5
20,21,Los Angeles Clippers,135,73,62,0.541,14043,13699,104.0,101.5
21,22,Los Angeles Lakers,295,124,171,0.42,30415,31266,103.1,106.0
22,23,Memphis Grizzlies,50,24,26,0.48,4973,4960,99.5,99.2
23,24,Miami Heat,130,66,64,0.508,12539,12461,96.5,95.9
24,25,Milwaukee Bucks,224,105,119,0.469,22755,23212,101.6,103.6
25,26,Minnesota Timberwolves,62,34,28,0.548,6136,6103,99.0,98.4
26,27,New Orleans Pelicans,41,20,21,0.488,4117,4111,100.4,100.3
27,28,Oklahoma City Thunder,137,67,70,0.489,14333,14360,104.6,104.8
28,29,Orlando Magic,123,60,63,0.488,12293,12325,99.9,100.2
29,30,Philadelphia 76ers,464,203,261,0.438,47989,48476,103.4,104.5
30,31,Phoenix Suns,134,64,70,0.478,14119,14318,105.4,106.9
31,32,Pittsburgh Ironmen,6,6,0,1.0,385,318,64.2,53.0
32,33,Portland Trail Blazers,119,50,69,0.42,12184,12411,102.4,104.3
33,34,Providence Steam Rollers,20,16,4,0.8,1629,1398,81.5,69.9
34,35,Sacramento Kings,306,148,158,0.484,32352,32159,105.7,105.1
35,36,San Antonio Spurs,99,43,56,0.434,10190,10476,102.9,105.8
36,37,Sheboygan Red Skins,2,1,1,0.5,194,167,97.0,83.5
37,38,St. Louis Bombers,23,15,8,0.652,1661,1626,72.2,70.7
38,39,Toronto Huskies,6,3,3,0.5,394,381,65.7,63.5
39,40,Toronto Raptors,102,44,58,0.431,9981,10171,97.9,99.7
40,41,Utah Jazz,104,50,54,0.481,10648,10853,102.4,104.4
41,42,Washington Capitols,27,15,12,0.556,2059,2040,76.3,75.6
42,43,Washington Wizards,311,176,135,0.566,33072,32509,106.3,104.5
43,44,Waterloo Hawks,2,2,0,1.0,150,130,75.0,65.0
