,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Vince Boryla,1956,1958,3,165,80,85,.485,-2.5,,,,,,,
1,2,Carl Braun,1960,1961,2,127,40,87,.315,-23.5,,,,,,,
2,3,Hubie Brown,1983,1987,5,344,142,202,.413,-30.0,2,18,8,10,.444,0,0
3,4,Larry Brown,2006,2006,1,82,23,59,.280,-18.0,,,,,,,
4,5,Don Chaney,2002,2004,3,184,72,112,.391,-20.0,,,,,,,
5,6,Neil Cohalan,1947,1947,1,60,33,27,.550,3.0,1,5,2,3,.400,0,0
6,7,Mike D'Antoni,2009,2012,4,288,121,167,.420,-23.0,1,4,0,4,.000,0,0
7,8,Eddie Donovan,1962,1965,4,278,84,194,.302,-55.0,,,,,,,
8,9,Derek Fisher,2015,2016,2,136,40,96,.294,-28.0,,,,,,,
9,10,David Fizdale,2019,2020,2,104,21,83,.202,-31.0,,,,,,,
10,11,Harry Gallatin,1965,1966,2,63,25,38,.397,-6.5,,,,,,,
11,12,Bob Hill,1987,1987,1,66,20,46,.303,-13.0,,,,,,,
12,13,Red Holzman,1968,1982,14,1096,613,483,.559,65.0,9,97,54,43,.557,2,2
13,14,Jeff Hornacek,2017,2018,2,164,60,104,.366,-22.0,,,,,,,
14,15,Stu Jackson,1990,1991,2,97,52,45,.536,3.5,1,10,4,6,.400,0,0
15,16,Joe Lapchick,1948,1956,9,573,326,247,.569,39.5,8,60,30,30,.500,0,0
16,17,Andrew Levane,1959,1960,2,99,48,51,.485,-1.5,1,2,0,2,.000,0,0
17,18,John MacLeod,1991,1991,1,67,32,35,.478,-1.5,1,3,0,3,.000,0,0
18,19,Dick McGuire,1966,1968,3,178,75,103,.421,-14.0,1,4,1,3,.250,0,0
19,20,Mike Miller,2020,2020,1,44,17,27,.386,-5.0,,,,,,,
20,,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
21,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
22,21,Don Nelson,1996,1996,1,59,34,25,.576,4.5,,,,,,,
23,22,Rick Pitino,1988,1989,2,164,90,74,.549,8.0,2,13,6,7,.462,0,0
24,23,Kurt Rambis,2016,2016,1,28,9,19,.321,-5.0,,,,,,,
25,24,Willis Reed,1978,1979,2,96,49,47,.510,1.0,1,6,2,4,.333,0,0
26,25,Pat Riley,1992,1995,4,328,223,105,.680,59.0,4,63,35,28,.556,1,0
27,26,Tom Thibodeau,2021,2022,2,154,78,76,.506,1.0,1,5,1,4,.200,0,0
28,27,Isiah Thomas,2007,2008,2,164,56,108,.341,-26.0,,,,,,,
29,28,Jeff Van Gundy,1996,2002,7,420,248,172,.590,38.0,6,69,37,32,.536,1,0
30,29,Lenny Wilkens,2004,2005,2,81,40,41,.494,-0.5,1,4,0,4,.000,0,0
31,30,Herb Williams,2004,2005,2,44,17,27,.386,-5.0,,,,,,,
32,31,Mike Woodson,2012,2014,3,188,109,79,.580,15.0,2,17,7,10,.412,0,0
