,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Boston Celtics,W,2OT,138,134,1,0,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
1,2,2021-10-22,,,Box Score,@,Orlando Magic,W,,121,96,2,0,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
2,3,2021-10-24,,,Box Score,,Orlando Magic,L,,104,110,2,1,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
3,4,2021-10-26,,,Box Score,,Philadelphia 76ers,W,,112,99,3,1,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
4,5,2021-10-28,,,Box Score,@,Chicago Bulls,W,,104,103,4,1,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
5,6,2021-10-30,,,Box Score,@,New Orleans Pelicans,W,,123,117,5,1,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
6,7,2021-11-01,,,Box Score,,Toronto Raptors,L,,104,113,5,2,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
7,8,2021-11-03,,,Box Score,@,Indiana Pacers,L,,98,111,5,3,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
8,9,2021-11-05,,,Box Score,@,Milwaukee Bucks,W,,113,98,6,3,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
9,10,2021-11-07,,,Box Score,,Cleveland Cavaliers,L,,109,126,6,4,R. Barrett · E. Fournier · J. Randle · M. Robinson · D. Rose
10,11,2021-11-08,,,Box Score,@,Philadelphia 76ers,W,,103,96,7,4,R. Barrett · E. Fournier · N. Noel · J. Randle · K. Walker
11,12,2021-11-10,,,Box Score,,Milwaukee Bucks,L,,100,112,7,5,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
12,13,2021-11-12,,,Box Score,@,Charlotte Hornets,L,,96,104,7,6,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
13,14,2021-11-15,,,Box Score,,Indiana Pacers,W,,92,84,8,6,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
14,15,2021-11-17,,,Box Score,,Orlando Magic,L,,98,104,8,7,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
15,16,2021-11-20,,,Box Score,,Houston Rockets,W,,106,99,9,7,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
16,17,2021-11-21,,,Box Score,@,Chicago Bulls,L,,103,109,9,8,R. Barrett · E. Fournier · N. Noel · J. Randle · K. Walker
17,18,2021-11-23,,,Box Score,,Los Angeles Lakers,W,,106,100,10,8,R. Barrett · E. Fournier · N. Noel · J. Randle · K. Walker
18,19,2021-11-26,,,Box Score,,Phoenix Suns,L,,97,118,10,9,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
19,20,2021-11-27,,,Box Score,@,Atlanta Hawks,W,,99,90,11,9,R. Barrett · A. Burks · E. Fournier · J. Randle · M. Robinson
20,21,2021-11-30,,,Box Score,@,Brooklyn Nets,L,,110,112,11,10,R. Barrett · A. Burks · E. Fournier · J. Randle · M. Robinson
21,22,2021-12-02,,,Box Score,,Chicago Bulls,L,,115,119,11,11,A. Burks · E. Fournier · I. Quickley · J. Randle · M. Robinson
22,23,2021-12-04,,,Box Score,,Denver Nuggets,L,,99,113,11,12,R. Barrett · A. Burks · E. Fournier · J. Randle · M. Robinson
23,24,2021-12-07,,,Box Score,@,San Antonio Spurs,W,,121,109,12,12,R. Barrett · A. Burks · E. Fournier · N. Noel · J. Randle
