,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Scott Foster,,4,1,3,0.25,95.3,,106.2,18.5,18.8,10.2,1.2,,110.5,23.8,16.9,8.6,1.4,,-4.3,-5.3,1.9,1.6,-0.2
1,2,Lauren Holtkamp-Sterling,,5,3,2,0.6,97.0,,103.7,24.0,18.8,9.6,1.9,,103.9,20.4,20.5,11.1,1.5,,-0.2,3.6,-1.7,-1.5,0.4
2,3,Ed Malloy,,8,4,4,0.5,96.7,,107.0,25.0,20.1,9.0,2.2,,104.4,21.3,19.9,10.5,1.3,,2.6,3.7,0.2,-1.5,0.9
3,4,Bennie Adams,,4,2,2,0.5,97.1,,108.8,25.8,22.8,8.0,2.3,,104.5,22.3,21.5,10.8,2.8,,4.3,3.5,1.3,-2.8,-0.5
4,5,J.B. DeRosa,,5,2,3,0.4,96.0,,108.0,22.6,21.6,8.0,2.4,,107.4,22.4,19.4,9.6,1.0,,0.6,0.2,2.2,-1.6,1.4
5,6,Rodney Mott,,5,3,2,0.6,93.5,,111.6,28.0,19.2,9.0,2.2,,106.8,19.2,23.4,12.0,1.4,,4.8,8.8,-4.2,-3.0,0.8
6,7,John Butler,,2,0,2,0.0,100.4,,109.0,25.5,20.0,10.0,2.0,,117.5,25.5,23.0,13.5,0.5,,-8.5,0.0,-3.0,-3.5,1.5
7,8,Bill Kennedy,,3,2,1,0.667,96.0,,101.7,28.3,20.0,9.7,1.7,,90.7,25.3,24.0,14.3,2.0,,11.0,3.0,-4.0,-4.6,-0.3
8,9,Tre Maddox,,5,3,2,0.6,98.0,,109.8,25.6,20.2,9.4,2.2,,102.2,23.8,21.8,12.2,1.4,,7.6,1.8,-1.6,-2.8,0.8
9,10,Mitchell Ervin,,2,1,1,0.5,90.8,,101.5,25.5,19.5,7.5,1.5,,100.5,19.5,20.0,11.0,1.5,,1.0,6.0,-0.5,-3.5,0.0
10,11,Brett Nansel,,5,3,2,0.6,92.5,,106.8,23.0,16.0,6.8,1.2,,102.4,14.4,18.8,10.0,1.0,,4.4,8.6,-2.8,-3.2,0.2
11,12,James Williams,,4,2,2,0.5,93.4,,109.5,23.3,19.8,9.0,0.8,,111.0,21.8,19.3,9.5,0.8,,-1.5,1.5,0.5,-0.5,0.0
12,13,Nate Green,,3,2,1,0.667,96.6,,106.0,21.7,19.7,7.3,1.7,,107.0,19.0,20.3,10.0,1.3,,-1.0,2.7,-0.6,-2.7,0.4
13,14,David Guthrie,,4,2,2,0.5,96.4,,107.5,24.6,21.9,10.7,1.0,,103.6,23.4,19.7,11.2,1.0,,3.9,1.2,2.2,-0.5,0.0
14,15,Justin Van Duyne,,5,2,3,0.4,95.8,,104.8,25.1,20.6,10.2,1.4,,102.5,22.3,19.8,11.8,1.2,,2.3,2.8,0.8,-1.6,0.2
15,16,Curtis Blair,,5,3,2,0.6,95.6,,104.8,27.4,19.6,9.6,1.4,,104.6,20.4,22.0,10.6,2.4,,0.2,7.0,-2.4,-1.0,-1.0
16,17,Gediminas Petraitis,,7,3,4,0.429,97.7,,108.4,25.0,22.4,11.7,1.9,,107.0,24.4,22.4,10.4,2.4,,1.4,0.6,0.0,1.3,-0.5
17,18,C.J. Washington,,2,1,1,0.5,99.0,,109.5,21.5,21.5,12.0,2.5,,110.5,24.0,21.0,7.5,1.5,,-1.0,-2.5,0.5,4.5,1.0
18,19,Kevin Cutler,,4,1,3,0.25,95.6,,108.0,21.0,18.5,8.0,1.0,,115.0,20.5,19.0,10.8,0.5,,-7.0,0.5,-0.5,-2.8,0.5
19,20,Marat Kogut,,5,0,5,0.0,97.5,,106.2,29.6,21.2,11.0,1.6,,116.8,26.6,23.2,12.2,1.6,,-10.6,3.0,-2.0,-1.2,0.0
20,21,Phenizee Ransom,,5,2,3,0.4,93.4,,105.4,24.9,19.4,7.1,1.6,,108.1,18.8,21.2,10.8,0.8,,-2.7,6.1,-1.8,-3.7,0.8
21,22,Aaron Smith,,4,0,4,0.0,91.6,,92.5,24.5,19.0,9.3,1.5,,107.8,21.8,20.0,11.0,0.8,,-15.3,2.7,-1.0,-1.7,0.7
22,23,Ben Taylor,,5,2,3,0.4,95.1,,113.6,27.4,20.4,8.2,2.9,,109.3,20.8,23.3,12.1,2.0,,4.3,6.6,-2.9,-3.9,0.9
23,24,Scott Twardoski,,5,5,0,1.0,94.4,,109.4,25.2,19.2,8.8,1.4,,97.0,20.8,22.0,11.2,2.0,,12.4,4.4,-2.8,-2.4,-0.6
24,25,Tom Washington,,3,2,1,0.667,91.7,,106.3,26.7,18.0,7.3,1.7,,96.0,17.0,21.0,11.7,1.7,,10.3,9.7,-3.0,-4.4,0.0
25,26,Pat Fraher,,4,2,2,0.5,91.3,,100.3,22.3,17.0,9.5,1.3,,108.5,18.5,18.3,10.3,1.0,,-8.2,3.8,-1.3,-0.8,0.3
26,27,Suyash Mehta,,4,1,3,0.25,96.0,,105.8,26.8,21.0,8.0,1.8,,114.0,20.0,22.3,11.3,1.5,,-8.2,6.8,-1.3,-3.3,0.3
27,28,Natalie Sago,,4,0,4,0.0,95.4,,111.8,23.0,18.0,9.0,2.0,,120.0,21.8,18.5,10.3,1.0,,-8.2,1.2,-0.5,-1.3,1.0
28,29,Brent Barnaky,,3,2,1,0.667,92.7,,102.3,15.3,15.7,4.7,0.7,,101.0,10.7,16.3,7.0,2.0,,1.3,4.6,-0.6,-2.3,-1.3
29,30,Marc Davis,,4,2,2,0.5,91.8,,103.3,18.5,18.5,7.5,1.8,,105.3,18.8,16.0,8.0,0.5,,-2.0,-0.3,2.5,-0.5,1.3
30,31,Scott Wall,,5,4,1,0.8,94.3,,106.8,19.2,19.8,9.2,1.6,,98.6,19.6,16.8,8.6,1.4,,8.2,-0.4,3.0,0.6,0.2
31,32,Brian Forte,,7,3,4,0.429,94.7,,107.7,25.0,22.1,11.3,1.7,,108.3,25.3,21.0,11.3,2.4,,-0.6,-0.3,1.1,0.0,-0.7
32,33,Sean Corbin,,2,1,1,0.5,91.2,,94.0,16.0,18.0,10.0,1.5,,94.5,21.5,18.5,6.5,1.0,,-0.5,-5.5,-0.5,3.5,0.5
33,34,Courtney Kirkland,,4,1,3,0.25,96.2,,98.8,22.3,22.0,8.8,2.8,,100.0,22.5,21.8,10.0,2.0,,-1.2,-0.2,0.2,-1.2,0.8
34,35,Derek Richardson,,1,0,1,0.0,97.9,,98.0,12.0,20.0,7.0,3.0,,104.0,18.0,19.0,7.0,3.0,,-6.0,-6.0,1.0,0.0,0.0
35,36,Karl Lane,,3,1,2,0.333,96.3,,97.7,28.7,23.3,11.0,1.7,,101.3,26.7,22.7,12.0,3.0,,-3.6,2.0,0.6,-1.0,-1.3
36,37,Jonathan Sterling,,3,0,3,0.0,93.9,,101.7,22.3,22.3,10.7,1.3,,110.3,27.0,21.0,11.0,2.3,,-8.6,-4.7,1.3,-0.3,-1.0
37,38,Sean Wright,,6,0,6,0.0,95.9,,103.7,30.0,21.8,9.3,1.7,,114.2,25.3,23.5,12.8,2.2,,-10.5,4.7,-1.7,-3.5,-0.5
38,39,Nick Buchert,,2,2,0,1.0,97.3,,112.0,18.5,22.5,11.0,1.0,,94.0,28.5,14.5,7.5,0.5,,18.0,-10.0,8.0,3.5,0.5
39,40,Josh Tiven,,7,4,3,0.571,95.9,,108.4,22.9,22.7,12.9,2.0,,106.6,27.7,18.4,9.7,0.9,,1.8,-4.8,4.3,3.2,1.1
40,41,Matt Boland,,5,4,1,0.8,95.8,,102.6,17.6,19.6,9.0,1.6,,98.6,20.2,19.0,7.6,1.6,,4.0,-2.6,0.6,1.4,0.0
41,42,J.T. Orr,,4,0,4,0.0,96.2,,100.0,25.3,20.8,10.3,1.5,,114.5,23.5,19.0,12.5,1.5,,-14.5,1.8,1.8,-2.2,0.0
42,43,Jason Goldenberg,,5,3,2,0.6,92.3,,102.6,27.2,20.4,10.0,2.0,,95.6,23.4,21.4,13.0,2.4,,7.0,3.8,-1.0,-3.0,-0.4
43,44,Mark Lindsay,,4,2,2,0.5,97.3,,114.5,21.3,24.3,14.0,1.5,,109.3,31.0,18.5,9.5,1.8,,5.2,-9.7,5.8,4.5,-0.3
44,45,Tyler Ford,,5,2,3,0.4,95.8,,109.0,22.8,20.4,9.0,1.8,,106.2,23.0,17.4,11.6,0.8,,2.8,-0.2,3.0,-2.6,1.0
45,46,Andy Nagy,,3,1,2,0.333,94.1,,106.0,23.0,19.0,8.0,1.3,,108.3,17.3,21.7,8.3,2.3,,-2.3,5.7,-2.7,-0.3,-1.0
46,47,Derrick Collins,,3,2,1,0.667,92.8,,110.7,22.7,20.0,9.3,2.0,,108.7,17.7,20.0,10.0,1.7,,2.0,5.0,0.0,-0.7,0.3
