,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,139,69,70,0.496,14908,14997,107.3,107.9
1,2,Boston Celtics,141,64,77,0.454,14846,15099,105.3,107.1
2,3,Brooklyn Nets,95,60,35,0.632,9830,9580,103.5,100.8
3,4,Charlotte Hornets,62,41,21,0.661,6469,6137,104.3,99.0
4,5,Chicago Bulls,153,76,77,0.497,15741,15687,102.9,102.5
5,6,Cleveland Cavaliers,119,68,51,0.571,12258,11987,103.0,100.7
6,7,Dallas Mavericks,167,85,82,0.509,17298,17157,103.6,102.7
7,8,Denver Nuggets,191,101,90,0.529,20787,20497,108.8,107.3
8,9,Detroit Pistons,143,74,69,0.517,15049,14865,105.2,104.0
9,10,Golden State Warriors,259,141,118,0.544,28156,27939,108.7,107.9
10,11,Houston Rockets,230,117,113,0.509,24399,24244,106.1,105.4
11,12,Indiana Pacers,95,52,43,0.547,9850,9835,103.7,103.5
12,13,Los Angeles Clippers,224,140,84,0.625,23844,22800,106.4,101.8
13,14,Los Angeles Lakers,260,109,151,0.419,27630,27910,106.3,107.3
14,15,Memphis Grizzlies,98,65,33,0.663,10152,9773,103.6,99.7
15,16,Miami Heat,68,40,28,0.588,6869,6573,101.0,96.7
16,17,Milwaukee Bucks,147,73,74,0.497,15467,15618,105.2,106.2
17,18,Minnesota Timberwolves,128,87,41,0.68,13479,12932,105.3,101.0
18,19,New Orleans Pelicans,67,39,28,0.582,6905,6719,103.1,100.3
19,20,New York Knicks,137,70,67,0.511,14360,14333,104.8,104.6
20,21,Orlando Magic,66,41,25,0.621,6934,6746,105.1,102.2
21,22,Philadelphia 76ers,141,71,70,0.504,15109,15152,107.2,107.5
22,23,Phoenix Suns,249,116,133,0.466,26690,26930,107.2,108.2
23,24,Portland Trail Blazers,247,127,120,0.514,25791,25881,104.4,104.8
24,25,Sacramento Kings,245,149,96,0.608,26492,25901,108.1,105.7
25,26,San Antonio Spurs,181,81,100,0.448,18436,18783,101.9,103.8
26,27,Toronto Raptors,51,31,20,0.608,5400,5153,105.9,101.0
27,28,Utah Jazz,198,112,86,0.566,20172,19941,101.9,100.7
28,29,Washington Wizards,141,74,67,0.525,15156,15046,107.5,106.7
