,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Al Bianchi,1968,1969,2,164,53,111,0.323,-29.0,,,,,,,
1,2,Bernie Bickerstaff,1986,1990,5,410,202,208,0.493,-3.0,3.0,27.0,12.0,15.0,0.444,0.0,0.0
2,3,Scott Brooks,2009,2015,7,545,338,207,0.62,65.5,5.0,73.0,39.0,34.0,0.534,1.0,0.0
3,4,Bucky Buckwalter,1973,1973,1,37,13,24,0.351,-5.5,,,,,,,
4,5,P.J. Carlesimo,2008,2009,2,95,21,74,0.221,-26.5,,,,,,,
5,6,Mark Daigneault,2021,2022,2,154,46,108,0.299,-31.0,,,,,,,
6,7,Billy Donovan,2016,2020,5,400,243,157,0.608,43.0,5.0,41.0,18.0,23.0,0.439,0.0,0.0
7,8,Bob Hill,2006,2007,2,134,53,81,0.396,-14.0,,,,,,,
8,9,Bob Hopkins,1978,1978,1,22,5,17,0.227,-6.0,,,,,,,
9,10,K.C. Jones,1991,1992,2,118,59,59,0.5,0.0,1.0,5.0,2.0,3.0,0.4,0.0,0.0
10,11,George Karl,1992,1998,7,534,384,150,0.719,117.0,7.0,80.0,40.0,40.0,0.5,1.0,0.0
11,12,Bob Kloppenburg,1992,1992,1,4,2,2,0.5,0.0,,,,,,,
12,13,Nate McMillan,2001,2005,5,395,212,183,0.537,14.5,2.0,16.0,8.0,8.0,0.5,0.0,0.0
13,14,Tom Nissalke,1973,1973,1,45,13,32,0.289,-9.5,,,,,,,
14,15,Bill Russell,1974,1977,4,328,162,166,0.494,-2.0,2.0,15.0,6.0,9.0,0.4,0.0,0.0
15,16,Bob Weiss,2006,2006,1,30,13,17,0.433,-2.0,,,,,,,
16,17,Paul Westphal,1999,2001,3,147,76,71,0.517,2.5,1.0,5.0,2.0,3.0,0.4,0.0,0.0
17,18,Lenny Wilkens,1970,1985,11,880,478,402,0.543,38.0,6.0,69.0,37.0,32.0,0.536,2.0,1.0
