,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",9:00p,,Box Score,@,Utah Jazz,L,,86,107,0,1,L 1,
1,2,"Fri, Oct 22, 2021",8:00p,,Box Score,@,Houston Rockets,L,,91,124,0,2,L 2,
2,3,"Sun, Oct 24, 2021",7:00p,,Box Score,,Philadelphia 76ers,L,,103,115,0,3,L 3,
3,4,"Tue, Oct 26, 2021",8:00p,,Box Score,,Golden State Warriors,L,,98,106,0,4,L 4,
4,5,"Wed, Oct 27, 2021",8:00p,,Box Score,,Los Angeles Lakers,W,,123,115,1,4,W 1,
5,6,"Sat, Oct 30, 2021",8:30p,,Box Score,@,Golden State Warriors,L,,82,103,1,5,L 1,
6,7,"Mon, Nov 1, 2021",10:30p,,Box Score,@,Los Angeles Clippers,L,,94,99,1,6,L 2,
7,8,"Thu, Nov 4, 2021",10:30p,,Box Score,@,Los Angeles Lakers,W,,107,104,2,6,W 1,
8,9,"Sun, Nov 7, 2021",7:00p,,Box Score,,San Antonio Spurs,W,,99,94,3,6,W 2,
9,10,"Wed, Nov 10, 2021",8:00p,,Box Score,@,New Orleans Pelicans,W,,108,100,4,6,W 3,
10,11,"Fri, Nov 12, 2021",8:00p,,Box Score,,Sacramento Kings,W,,105,103,5,6,W 4,
11,12,"Sun, Nov 14, 2021",7:00p,,Box Score,,Brooklyn Nets,L,,96,120,5,7,L 1,
12,13,"Mon, Nov 15, 2021",8:00p,,Box Score,,Miami Heat,L,,90,103,5,8,L 2,
13,14,"Wed, Nov 17, 2021",8:00p,,Box Score,,Houston Rockets,W,,101,89,6,8,W 1,
14,15,"Fri, Nov 19, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,89,96,6,9,L 1,
15,16,"Sat, Nov 20, 2021",7:30p,,Box Score,@,Boston Celtics,L,,105,111,6,10,L 2,
16,17,"Mon, Nov 22, 2021",7:30p,,Box Score,@,Atlanta Hawks,L,,101,113,6,11,L 3,
17,18,"Wed, Nov 24, 2021",8:00p,,Box Score,,Utah Jazz,L,,104,110,6,12,L 4,
18,19,"Fri, Nov 26, 2021",8:00p,,Box Score,,Washington Wizards,L,,99,101,6,13,L 5,
19,20,"Mon, Nov 29, 2021",8:00p,,Box Score,@,Houston Rockets,L,,89,102,6,14,L 6,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Wed, Dec 1, 2021",8:00p,,Box Score,,Houston Rockets,L,,110,114,6,15,L 7,
22,22,"Thu, Dec 2, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,,79,152,6,16,L 8,
23,23,"Mon, Dec 6, 2021",7:00p,,Box Score,@,Detroit Pistons,W,,114,103,7,16,W 1,
24,24,"Wed, Dec 8, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,110,109,8,16,W 2,
25,25,"Fri, Dec 10, 2021",8:00p,,Box Score,,Los Angeles Lakers,L,,95,116,8,17,L 1,
26,26,"Sun, Dec 12, 2021",7:00p,,Box Score,,Dallas Mavericks,L,,84,103,8,18,L 2,
27,27,"Wed, Dec 15, 2021",8:00p,,Box Score,,New Orleans Pelicans,L,,110,113,8,19,L 3,
28,28,"Sat, Dec 18, 2021",8:00p,,Box Score,,Los Angeles Clippers,W,,104,103,9,19,W 1,
29,29,"Mon, Dec 20, 2021",8:00p,,Box Score,@,Memphis Grizzlies,W,,102,99,10,19,W 2,
30,30,"Wed, Dec 22, 2021",8:00p,,Box Score,,Denver Nuggets,W,,108,94,11,19,W 3,
31,31,"Thu, Dec 23, 2021",9:00p,,Box Score,@,Phoenix Suns,L,,101,113,11,20,L 1,
32,32,"Sun, Dec 26, 2021",7:00p,,Box Score,,New Orleans Pelicans,W,,117,112,12,20,W 1,
33,33,"Tue, Dec 28, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,111,117,12,21,L 1,
34,34,"Wed, Dec 29, 2021",9:00p,,Box Score,@,Phoenix Suns,L,,97,115,12,22,L 2,
