,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,Utah Jazz,L,,86,107,0,1,D. Bazley · L. Dort · D. Favors · J. Giddey · S. Gilgeous-Alexander
1,2,2021-10-22,,,Box Score,@,Houston Rockets,L,,91,124,0,2,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · I. Roby
2,3,2021-10-24,,,Box Score,,Philadelphia 76ers,L,,103,115,0,3,D. Bazley · L. Dort · D. Favors · J. Giddey · S. Gilgeous-Alexander
3,4,2021-10-26,,,Box Score,,Golden State Warriors,L,,98,106,0,4,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
4,5,2021-10-27,,,Box Score,,Los Angeles Lakers,W,,123,115,1,4,D. Bazley · L. Dort · D. Favors · J. Giddey · S. Gilgeous-Alexander
5,6,2021-10-30,,,Box Score,@,Golden State Warriors,L,,82,103,1,5,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
6,7,2021-11-01,,,Box Score,@,Los Angeles Clippers,L,,94,99,1,6,D. Bazley · D. Favors · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
7,8,2021-11-04,,,Box Score,@,Los Angeles Lakers,W,,107,104,2,6,D. Bazley · L. Dort · D. Favors · J. Giddey · S. Gilgeous-Alexander
8,9,2021-11-07,,,Box Score,,San Antonio Spurs,W,,99,94,3,6,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
9,10,2021-11-10,,,Box Score,@,New Orleans Pelicans,W,,108,100,4,6,D. Bazley · L. Dort · D. Favors · J. Giddey · S. Gilgeous-Alexander
10,11,2021-11-12,,,Box Score,,Sacramento Kings,W,,105,103,5,6,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
11,12,2021-11-14,,,Box Score,,Brooklyn Nets,L,,96,120,5,7,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
12,13,2021-11-15,,,Box Score,,Miami Heat,L,,90,103,5,8,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
13,14,2021-11-17,,,Box Score,,Houston Rockets,W,,101,89,6,8,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
14,15,2021-11-19,,,Box Score,@,Milwaukee Bucks,L,,89,96,6,9,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
15,16,2021-11-20,,,Box Score,@,Boston Celtics,L,,105,111,6,10,D. Bazley · L. Dort · D. Favors · J. Giddey · S. Gilgeous-Alexander
16,17,2021-11-22,,,Box Score,@,Atlanta Hawks,L,,101,113,6,11,D. Bazley · L. Dort · D. Favors · J. Giddey · J. Robinson-Earl
17,18,2021-11-24,,,Box Score,,Utah Jazz,L,,104,110,6,12,D. Bazley · L. Dort · J. Giddey · J. Robinson-Earl · A. Wiggins
18,19,2021-11-26,,,Box Score,,Washington Wizards,L,,99,101,6,13,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
19,20,2021-11-29,,,Box Score,@,Houston Rockets,L,,89,102,6,14,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
20,21,2021-12-01,,,Box Score,,Houston Rockets,L,,110,114,6,15,D. Bazley · L. Dort · S. Gilgeous-Alexander · T. Mann · J. Robinson-Earl
21,22,2021-12-02,,,Box Score,@,Memphis Grizzlies,L,,79,152,6,16,D. Bazley · L. Dort · T. Jerome · T. Mann · J. Robinson-Earl
22,23,2021-12-06,,,Box Score,@,Detroit Pistons,W,,114,103,7,16,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
23,24,2021-12-08,,,Box Score,@,Toronto Raptors,W,,110,109,8,16,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
24,25,2021-12-10,,,Box Score,,Los Angeles Lakers,L,,95,116,8,17,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
25,26,2021-12-12,,,Box Score,,Dallas Mavericks,L,,84,103,8,18,D. Bazley · L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
26,27,2021-12-15,,,Box Score,,New Orleans Pelicans,L,,110,113,8,19,D. Bazley · D. Favors · J. Giddey · S. Gilgeous-Alexander · A. Wiggins
27,28,2021-12-18,,,Box Score,,Los Angeles Clippers,W,,104,103,9,19,L. Dort · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl · A. Wiggins
28,29,2021-12-20,,,Box Score,@,Memphis Grizzlies,W,,102,99,10,19,L. Dort · D. Favors · J. Giddey · S. Gilgeous-Alexander · J. Robinson-Earl
