,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Ray Acosta,,4,0,4,0.0,97.5,,97.0,19.8,18.8,9.8,2.0,,115.0,20.8,17.5,9.8,1.8,,-18.0,-1.0,1.3,0.0,0.2
1,2,Mark Lindsay,,6,1,5,0.167,95.3,,99.9,16.9,19.3,10.3,1.3,,114.3,20.5,16.4,7.4,0.8,,-14.4,-3.6,2.9,2.9,0.5
2,3,Zach Zarba,,4,1,3,0.25,95.8,,103.5,18.5,17.8,8.0,1.5,,117.0,18.3,18.5,9.0,1.3,,-13.5,0.2,-0.7,-1.0,0.2
3,4,Sean Corbin,,3,0,3,0.0,100.3,,93.3,15.3,18.7,8.7,1.0,,113.0,17.7,15.3,8.0,2.0,,-19.7,-2.4,3.4,0.7,-1.0
4,5,Courtney Kirkland,,5,2,3,0.4,99.8,,100.2,17.8,17.0,8.2,1.6,,107.4,15.2,18.4,9.2,2.0,,-7.2,2.6,-1.4,-1.0,-0.4
5,6,Danielle Scott,,2,0,2,0.0,100.8,,94.5,16.5,17.5,8.5,2.0,,117.0,15.5,18.5,9.0,3.5,,-22.5,1.0,-1.0,-0.5,-1.5
6,7,Jacyn Goble,,2,0,2,0.0,100.0,,106.5,23.0,21.5,12.0,1.5,,123.0,25.0,21.0,9.5,1.5,,-16.5,-2.0,0.5,2.5,0.0
7,8,Rodney Mott,,4,0,4,0.0,99.3,,106.5,13.8,21.0,10.8,1.3,,122.8,24.0,15.5,7.5,1.5,,-16.3,-10.2,5.5,3.3,-0.2
8,9,Phenizee Ransom,,6,2,4,0.333,96.6,,105.2,18.0,19.0,10.2,1.1,,111.2,21.5,17.9,8.2,0.8,,-6.0,-3.5,1.1,2.0,0.3
9,10,J.B. DeRosa,,5,2,3,0.4,97.5,,110.4,21.8,15.8,7.6,1.2,,113.4,14.6,20.0,11.2,1.4,,-3.0,7.2,-4.2,-3.6,-0.2
10,11,Marat Kogut,,3,0,3,0.0,96.0,,100.3,17.7,17.0,8.0,1.7,,105.7,17.7,16.7,8.3,2.7,,-5.4,0.0,0.3,-0.3,-1.0
11,12,Ben Taylor,,4,2,2,0.5,97.1,,110.0,22.8,16.6,8.1,1.7,,113.8,17.1,20.2,9.3,2.4,,-3.8,5.7,-3.6,-1.2,-0.7
12,13,Scott Foster,,3,3,0,1.0,99.1,,109.0,26.7,19.0,8.7,1.3,,102.7,18.7,20.0,9.3,2.3,,6.3,8.0,-1.0,-0.6,-1.0
13,14,Lauren Holtkamp-Sterling,,6,3,3,0.5,99.3,,109.0,23.3,19.3,10.8,0.5,,113.3,22.8,19.2,10.7,1.3,,-4.3,0.5,0.1,0.1,-0.8
14,15,Gediminas Petraitis,,7,2,5,0.286,99.2,,112.4,24.0,18.7,10.1,0.9,,118.6,21.9,18.1,10.7,0.7,,-6.2,2.1,0.6,-0.6,0.2
15,16,Nate Green,,2,0,2,0.0,104.6,,91.5,21.0,12.0,7.5,0.5,,120.5,15.5,19.0,10.0,1.0,,-29.0,5.5,-7.0,-2.5,-0.5
16,17,Bill Kennedy,,5,1,4,0.2,98.2,,98.2,18.8,20.6,11.0,1.6,,110.8,23.4,18.2,8.8,1.0,,-12.6,-4.6,2.4,2.2,0.6
17,18,Tre Maddox,,4,1,3,0.25,98.1,,100.0,16.5,15.3,7.8,1.8,,112.3,15.5,17.5,8.3,2.8,,-12.3,1.0,-2.2,-0.5,-1.0
18,19,Jonathan Sterling,,3,1,2,0.333,96.7,,101.8,20.9,16.8,8.7,1.3,,111.1,17.7,17.1,8.7,1.6,,-9.3,3.2,-0.3,0.0,-0.3
19,20,James Williams,,7,3,4,0.429,98.5,,106.0,19.4,18.6,8.9,1.3,,107.4,19.8,17.3,8.4,1.4,,-1.4,-0.4,1.3,0.5,-0.1
20,21,John Conley,,2,2,0,1.0,97.9,,110.5,28.0,14.5,5.5,1.5,,103.5,11.5,23.5,13.5,2.0,,7.0,16.5,-9.0,-8.0,-0.5
21,22,Kevin Scott,,4,2,2,0.5,97.7,,101.8,24.8,18.0,8.5,1.5,,107.0,19.0,19.3,10.3,1.8,,-5.2,5.8,-1.3,-1.8,-0.3
