,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,127,61,66,0.48,12664,12621,99.7,99.4
1,2,Boston Celtics,123,51,72,0.415,12180,12685,99.0,103.1
2,3,Brooklyn Nets,124,68,56,0.548,12504,12470,100.8,100.6
3,4,Charlotte Hornets,114,56,58,0.491,11582,11606,101.6,101.8
4,5,Chicago Bulls,118,54,64,0.458,11575,11729,98.1,99.4
5,6,Cleveland Cavaliers,118,59,59,0.5,11704,11724,99.2,99.4
6,7,Dallas Mavericks,67,28,39,0.418,6781,6946,101.2,103.7
7,8,Denver Nuggets,67,33,34,0.493,6946,6963,103.7,103.9
8,9,Detroit Pistons,119,51,68,0.429,11761,11977,98.8,100.6
9,10,Golden State Warriors,66,34,32,0.515,7094,7073,107.5,107.2
10,11,Houston Rockets,67,30,37,0.448,6768,6819,101.0,101.8
11,12,Indiana Pacers,119,51,68,0.429,11757,12095,98.8,101.6
12,13,Los Angeles Clippers,65,30,35,0.462,6548,6621,100.7,101.9
13,14,Los Angeles Lakers,66,23,43,0.348,6617,6879,100.3,104.2
14,15,Memphis Grizzlies,51,25,26,0.49,5012,4984,98.3,97.7
15,16,Miami Heat,130,57,73,0.438,12835,12983,98.7,99.9
16,17,Milwaukee Bucks,121,53,68,0.438,12182,12358,100.7,102.1
17,18,Minnesota Timberwolves,65,42,23,0.646,6806,6597,104.7,101.5
18,19,New Orleans Pelicans,43,23,20,0.535,4228,4229,98.3,98.3
19,20,New York Knicks,123,63,60,0.512,12325,12293,100.2,99.9
20,21,Oklahoma City Thunder,66,25,41,0.379,6746,6934,102.2,105.1
21,22,Philadelphia 76ers,125,79,46,0.632,12872,12499,103.0,100.0
22,23,Phoenix Suns,65,26,39,0.4,6808,6913,104.7,106.4
23,24,Portland Trail Blazers,65,26,39,0.4,6469,6700,99.5,103.1
24,25,Sacramento Kings,66,30,36,0.455,6901,6927,104.6,105.0
25,26,San Antonio Spurs,67,19,48,0.284,6518,6962,97.3,103.9
26,27,Toronto Raptors,95,40,55,0.421,9464,9493,99.6,99.9
27,28,Utah Jazz,66,24,42,0.364,6399,6685,97.0,101.3
28,29,Washington Wizards,131,73,58,0.557,13469,13192,102.8,100.7
