,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Richie Adubato,1997,1997,1,33,21,12,0.636,4.5,1.0,5.0,2.0,3.0,0.4,0.0,0.0
1,2,James Borrego,2015,2015,1,30,10,20,0.333,-5.0,,,,,,,
2,3,Steve Clifford,2019,2021,3,227,96,131,0.423,-17.5,2.0,10.0,2.0,8.0,0.2,0.0,0.0
3,4,Chuck Daly,1998,1999,2,132,74,58,0.561,8.0,1.0,4.0,1.0,3.0,0.25,0.0,0.0
4,5,Johnny Davis,2004,2005,2,135,51,84,0.378,-16.5,,,,,,,
5,6,Matt Guokas,1990,1993,4,328,111,217,0.338,-53.0,,,,,,,
6,7,Brian Hill,1994,2007,6,459,267,192,0.582,37.5,4.0,40.0,18.0,22.0,0.45,1.0,0.0
7,8,Chris Jent,2005,2005,1,18,5,13,0.278,-4.0,,,,,,,
8,9,Jamahl Mosley,2022,2022,1,82,22,60,0.268,-19.0,,,,,,,
9,10,Doc Rivers,2000,2004,5,339,171,168,0.504,1.5,3.0,15.0,5.0,10.0,0.333,0.0,0.0
10,11,Scott Skiles,2016,2016,1,82,35,47,0.427,-6.0,,,,,,,
11,12,Stan Van Gundy,2008,2012,5,394,259,135,0.657,62.0,5.0,59.0,31.0,28.0,0.525,1.0,0.0
12,13,Jacque Vaughn,2013,2015,3,216,58,158,0.269,-50.0,,,,,,,
13,14,Frank Vogel,2017,2018,2,164,54,110,0.329,-28.0,,,,,,,
