,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,San Antonio Spurs,L,,97,123,0,1,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
1,2,2021-10-22,,,Box Score,,New York Knicks,L,,96,121,0,2,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
2,3,2021-10-24,,,Box Score,@,New York Knicks,W,,110,104,1,2,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
3,4,2021-10-25,,,Box Score,@,Miami Heat,L,,90,107,1,3,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
4,5,2021-10-27,,,Box Score,,Charlotte Hornets,L,,111,120,1,4,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
5,6,2021-10-29,,,Box Score,@,Toronto Raptors,L,,109,110,1,5,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
6,7,2021-10-30,,,Box Score,@,Detroit Pistons,L,,103,110,1,6,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
7,8,2021-11-01,,,Box Score,@,Minnesota Timberwolves,W,,115,97,2,6,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
8,9,2021-11-03,,,Box Score,,Boston Celtics,L,,79,92,2,7,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
9,10,2021-11-05,,,Box Score,,San Antonio Spurs,L,,89,102,2,8,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
10,11,2021-11-07,,,Box Score,,Utah Jazz,W,,107,100,3,8,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
11,12,2021-11-10,,,Box Score,,Brooklyn Nets,L,,90,123,3,9,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
12,13,2021-11-13,,,Box Score,,Washington Wizards,L,,92,104,3,10,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
13,14,2021-11-15,,,Box Score,@,Atlanta Hawks,L,,111,129,3,11,C. Anthony · M. Bamba · W. Carter · G. Harris · F. Wagner
14,15,2021-11-17,,,Box Score,@,New York Knicks,W,,104,98,4,11,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
15,16,2021-11-19,,,Box Score,@,Brooklyn Nets,L,,113,115,4,12,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
16,17,2021-11-20,,,Box Score,@,Milwaukee Bucks,L,,108,117,4,13,M. Bamba · W. Carter · G. Harris · J. Suggs · F. Wagner
17,18,2021-11-22,,,Box Score,@,Milwaukee Bucks,L,,92,123,4,14,M. Bamba · W. Carter · M. Mulder · J. Suggs · F. Wagner
18,19,2021-11-24,,,Box Score,,Charlotte Hornets,L,,99,106,4,15,M. Bamba · W. Carter · G. Harris · J. Suggs · F. Wagner
19,20,2021-11-26,,,Box Score,,Chicago Bulls,L,,88,123,4,16,M. Bamba · W. Carter · G. Harris · J. Suggs · F. Wagner
20,21,2021-11-27,,,Box Score,@,Cleveland Cavaliers,L,,92,105,4,17,W. Carter · G. Harris · R. Lopez · J. Suggs · F. Wagner
21,22,2021-11-29,,,Box Score,@,Philadelphia 76ers,L,,96,101,4,18,M. Bamba · W. Carter · G. Harris · J. Suggs · F. Wagner
22,23,2021-12-01,,,Box Score,,Denver Nuggets,W,,108,103,5,18,C. Anthony · M. Bamba · W. Carter · G. Harris · F. Wagner
23,24,2021-12-03,,,Box Score,@,Houston Rockets,L,,116,118,5,19,C. Anthony · M. Bamba · W. Carter · G. Harris · F. Wagner
24,25,2021-12-06,,,Box Score,@,Golden State Warriors,L,,95,126,5,20,C. Anthony · M. Bamba · W. Carter · G. Harris · F. Wagner
