,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Sean Corbin,,5,0,5,0.0,99.2,,101.2,21.6,20.8,8.4,2.2,,114.6,22.0,19.4,9.0,2.2,,-13.4,-0.4,1.4,-0.6,0.0
1,2,Jenna Schroeder,,3,0,3,0.0,99.2,,109.0,20.0,20.0,13.0,1.0,,126.7,25.3,19.3,10.0,2.0,,-17.7,-5.3,0.7,3.0,-1.0
2,3,Ben Taylor,,6,1,5,0.167,97.6,,101.8,19.3,19.2,8.2,1.7,,116.0,19.8,18.8,8.8,2.0,,-14.2,-0.5,0.4,-0.6,-0.3
3,4,Bennie Adams,,5,4,1,0.8,97.5,,104.8,19.2,18.0,9.2,1.8,,106.2,18.6,19.0,8.0,1.8,,-1.4,0.6,-1.0,1.2,0.0
4,5,J.B. DeRosa,,2,0,2,0.0,100.8,,108.0,18.0,19.5,13.0,1.5,,127.5,24.0,20.0,10.0,3.5,,-19.5,-6.0,-0.5,3.0,-2.0
5,6,Rodney Mott,,5,0,5,0.0,99.3,,97.6,17.2,20.4,11.0,1.4,,120.3,26.3,18.4,9.0,1.4,,-22.7,-9.1,2.0,2.0,0.0
6,7,John Butler,,3,2,1,0.667,101.4,,109.3,28.3,22.3,12.3,0.7,,103.0,28.3,21.7,11.3,1.7,,6.3,0.0,0.6,1.0,-1.0
7,8,Bill Kennedy,,2,1,1,0.5,101.8,,106.5,25.7,25.2,11.4,1.4,,107.4,28.5,19.0,10.9,2.4,,-0.9,-2.8,6.2,0.5,-1.0
8,9,Tre Maddox,,2,1,1,0.5,100.3,,110.0,25.0,22.0,15.0,0.5,,113.5,26.0,18.0,9.0,1.5,,-3.5,-1.0,4.0,6.0,-1.0
