,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Anderson Packers,7,4,3,0.571,611,621,87.3,88.7
1,2,Atlanta Hawks,390,198,192,0.508,40251,40212,103.2,103.1
2,3,Baltimore Bullets,39,28,11,0.718,3407,3157,87.4,80.9
3,4,Boston Celtics,459,195,264,0.425,47843,48871,104.2,106.5
4,5,Brooklyn Nets,207,119,88,0.575,21409,21155,103.4,102.2
5,6,Charlotte Hornets,116,57,59,0.491,11717,11781,101.0,101.6
6,7,Chicago Bulls,237,131,106,0.553,24881,24695,105.0,104.2
7,8,Chicago Stags,2,2,0,1.0,159,137,79.5,68.5
8,9,Cleveland Cavaliers,220,114,106,0.518,22791,22498,103.6,102.3
9,10,Dallas Mavericks,81,40,41,0.494,8191,8210,101.1,101.4
10,11,Denver Nuggets,94,52,42,0.553,10006,9792,106.4,104.2
11,12,Denver Nuggets,7,6,1,0.857,634,507,90.6,72.4
12,13,Detroit Pistons,384,226,158,0.589,40730,39647,106.1,103.2
13,14,Golden State Warriors,323,169,154,0.523,34861,34352,107.9,106.4
14,15,Houston Rockets,149,75,74,0.503,15917,15904,106.8,106.7
15,16,Indiana Pacers,189,105,84,0.556,19574,19595,103.6,103.7
16,17,Indianapolis Olympians,27,17,10,0.63,2258,2180,83.6,80.7
17,18,Los Angeles Clippers,136,75,61,0.551,14389,14146,105.8,104.0
18,19,Los Angeles Lakers,287,141,146,0.491,30436,30659,106.0,106.8
19,20,Memphis Grizzlies,51,25,26,0.49,5022,5063,98.5,99.3
20,21,Miami Heat,131,64,67,0.489,12820,12988,97.9,99.1
21,22,Milwaukee Bucks,219,103,116,0.47,22937,23168,104.7,105.8
22,23,Minnesota Timberwolves,62,32,30,0.516,6247,6084,100.8,98.1
23,24,New Orleans Pelicans,41,22,19,0.537,3980,4004,97.1,97.7
24,25,New York Knicks,464,261,203,0.563,48476,47989,104.5,103.4
25,26,Oklahoma City Thunder,141,70,71,0.496,15152,15109,107.5,107.2
26,27,Orlando Magic,125,46,79,0.368,12499,12872,100.0,103.0
27,28,Phoenix Suns,131,58,73,0.443,14186,14434,108.3,110.2
28,29,Portland Trail Blazers,119,60,59,0.504,12509,12567,105.1,105.6
29,30,Sacramento Kings,298,170,128,0.57,32309,31514,108.4,105.8
30,31,San Antonio Spurs,101,43,58,0.426,10286,10591,101.8,104.9
31,32,Sheboygan Red Skins,7,6,1,0.857,622,539,88.9,77.0
32,33,St. Louis Bombers,2,1,1,0.5,152,147,76.0,73.5
33,34,Toronto Raptors,103,42,61,0.408,10245,10510,99.5,102.0
34,35,Utah Jazz,105,47,58,0.448,10602,10742,101.0,102.3
35,36,Washington Capitols,4,3,1,0.75,331,303,82.8,75.8
36,37,Washington Wizards,312,187,125,0.599,33971,33254,108.9,106.6
37,38,Waterloo Hawks,7,6,1,0.857,641,535,91.6,76.4
