,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Randy Ayers,2004,2004,1,52,21,31,.404,-5.0,,,,,,,
1,2,Brett Brown,2014,2020,7,565,221,344,.391,-61.5,3,26,12,14,.462,0,0
2,3,Larry Brown,1998,2003,6,460,255,205,.554,25.0,5,58,28,30,.483,1,0
3,4,Fred Carter,1993,1994,2,108,32,76,.296,-22.0,,,,,,,
4,5,Al Cervi,1950,1957,8,495,294,201,.594,46.5,7,59,33,26,.559,0,1
5,6,Maurice Cheeks,2006,2009,4,269,122,147,.454,-12.5,1,6,2,4,.333,0,0
6,7,Doug Collins,2011,2013,3,230,110,120,.478,-5.0,2,18,8,10,.444,0,0
7,8,Billy Cunningham,1978,1985,8,650,454,196,.698,129.0,8,105,66,39,.629,3,1
8,9,Johnny Davis,1997,1997,1,82,22,60,.268,-19.0,,,,,,,
9,10,Tony DiLeo,2009,2009,1,59,32,27,.542,2.5,1,6,2,4,.333,0,0
10,11,Chris Ford,2004,2004,1,30,12,18,.400,-3.0,,,,,,,
11,12,Matt Guokas,1986,1988,3,207,119,88,.575,15.5,2,17,8,9,.471,0,0
12,13,Alex Hannum,1961,1968,5,402,257,145,.639,56.0,5,46,26,20,.565,0,1
13,14,Eddie Jordan,2010,2010,1,82,27,55,.329,-14.0,,,,,,,
14,15,Kevin Loughery,1973,1973,1,31,5,26,.161,-10.5,,,,,,,
15,16,John Lucas,1995,1996,2,164,42,122,.256,-40.0,,,,,,,
16,17,Jim Lynam,1988,1992,5,367,194,173,.529,10.5,3,21,8,13,.381,0,0
17,18,Doug Moe,1993,1993,1,56,19,37,.339,-9.0,,,,,,,
18,19,Jim O'Brien,2005,2005,1,82,43,39,.524,2.0,1,5,1,4,.200,0,0
19,20,Jack Ramsay,1969,1972,4,328,174,154,.530,10.0,3,17,5,12,.294,0,0
20,,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
21,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
22,21,Doc Rivers,2021,2022,2,154,100,54,.649,23.0,2,24,13,11,.542,0,0
23,22,Roy Rubin,1973,1973,1,51,4,47,.078,-21.5,,,,,,,
24,23,Dolph Schayes,1964,1966,3,240,129,111,.538,9.0,3,21,9,12,.429,0,0
25,24,Paul Seymour,1957,1960,4,279,155,124,.556,15.5,4,20,9,11,.450,0,0
26,25,Gene Shue,1974,1978,5,334,157,177,.470,-10.0,2,22,11,11,.500,1,0
