,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,New Orleans Pelicans,W,,117,97,1,0,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
1,2,2021-10-22,,,Box Score,,Brooklyn Nets,L,,109,114,1,1,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
2,3,2021-10-24,,,Box Score,@,Oklahoma City Thunder,W,,115,103,2,1,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
3,4,2021-10-26,,,Box Score,@,New York Knicks,L,,99,112,2,2,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
4,5,2021-10-28,,,Box Score,,Detroit Pistons,W,,110,102,3,2,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
5,6,2021-10-30,,,Box Score,,Atlanta Hawks,W,,122,94,4,2,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
6,7,2021-11-01,,,Box Score,,Portland Trail Blazers,W,,113,103,5,2,S. Curry · A. Drummond · D. Green · F. Korkmaz · T. Maxey
7,8,2021-11-03,,,Box Score,,Chicago Bulls,W,,103,98,6,2,S. Curry · J. Embiid · F. Korkmaz · T. Maxey · M. Thybulle
8,9,2021-11-04,,,Box Score,@,Detroit Pistons,W,,109,98,7,2,S. Curry · J. Embiid · T. Maxey · S. Milton · M. Thybulle
9,10,2021-11-06,,,Box Score,@,Chicago Bulls,W,,114,105,8,2,S. Curry · J. Embiid · T. Maxey · S. Milton · P. Reed
10,11,2021-11-08,,,Box Score,,New York Knicks,L,,96,103,8,3,S. Curry · A. Drummond · D. Green · F. Korkmaz · T. Maxey
11,12,2021-11-09,,,Box Score,,Milwaukee Bucks,L,,109,118,8,4,A. Drummond · F. Korkmaz · T. Maxey · S. Milton · P. Reed
12,13,2021-11-11,,,Box Score,,Toronto Raptors,L,,109,115,8,5,S. Curry · A. Drummond · D. Green · T. Harris · T. Maxey
13,14,2021-11-13,,,Box Score,@,Indiana Pacers,L,,113,118,8,6,S. Curry · A. Drummond · D. Green · T. Harris · T. Maxey
14,15,2021-11-16,,,Box Score,@,Utah Jazz,L,,85,120,8,7,S. Curry · A. Drummond · T. Harris · T. Maxey · S. Milton
15,16,2021-11-18,,,Box Score,@,Denver Nuggets,W,,103,89,9,7,S. Curry · A. Drummond · T. Harris · T. Maxey · G. Niang
16,17,2021-11-20,,,Box Score,@,Portland Trail Blazers,L,,111,118,9,8,S. Curry · A. Drummond · T. Harris · T. Maxey · G. Niang
17,18,2021-11-22,,,Box Score,@,Sacramento Kings,W,,102,94,10,8,A. Drummond · F. Korkmaz · T. Maxey · G. Niang · M. Thybulle
18,19,2021-11-24,,,Box Score,@,Golden State Warriors,L,,96,116,10,9,S. Curry · A. Drummond · T. Maxey · G. Niang · M. Thybulle
19,20,2021-11-27,,,Box Score,,Minnesota Timberwolves,L,2OT,120,121,10,10,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
20,21,2021-11-29,,,Box Score,,Orlando Magic,W,,101,96,11,10,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
21,22,2021-12-01,,,Box Score,@,Boston Celtics,L,,87,88,11,11,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
22,23,2021-12-03,,,Box Score,@,Atlanta Hawks,W,,98,96,12,11,S. Curry · J. Embiid · D. Green · T. Maxey · G. Niang
23,24,2021-12-06,,,Box Score,@,Charlotte Hornets,W,OT,127,124,13,11,S. Curry · J. Embiid · D. Green · T. Harris · S. Milton
24,25,2021-12-08,,,Box Score,@,Charlotte Hornets,W,,110,106,14,11,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
25,26,2021-12-09,,,Box Score,,Utah Jazz,L,,96,118,14,12,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
26,27,2021-12-11,,,Box Score,,Golden State Warriors,W,,102,93,15,12,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
27,28,2021-12-13,,,Box Score,@,Memphis Grizzlies,L,,91,126,15,13,A. Drummond · T. Harris · F. Korkmaz · T. Maxey · M. Thybulle
28,29,2021-12-15,,,Box Score,,Miami Heat,L,,96,101,15,14,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
29,30,2021-12-16,,,Box Score,@,Brooklyn Nets,L,,105,114,15,15,S. Curry · J. Embiid · D. Green · T. Harris · S. Milton
30,31,2021-12-20,,,Box Score,@,Boston Celtics,W,,108,103,16,15,S. Curry · J. Embiid · D. Green · T. Harris · M. Thybulle
31,32,2021-12-23,,,Box Score,,Atlanta Hawks,L,,96,98,16,16,S. Curry · J. Embiid · T. Harris · F. Korkmaz · M. Thybulle
32,33,2021-12-26,,,Box Score,@,Washington Wizards,W,,117,96,17,16,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
33,34,2021-12-28,,,Box Score,@,Toronto Raptors,W,,114,109,18,16,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
34,35,2021-12-30,,,Box Score,@,Brooklyn Nets,W,,110,102,19,16,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
35,36,2022-01-03,,,Box Score,,Houston Rockets,W,,133,113,20,16,S. Curry · J. Embiid · D. Green · T. Harris · F. Korkmaz
36,37,2022-01-05,,,Box Score,@,Orlando Magic,W,,116,106,21,16,S. Curry · J. Embiid · D. Green · T. Harris · F. Korkmaz
37,38,2022-01-07,,,Box Score,,San Antonio Spurs,W,,119,100,22,16,S. Curry · J. Embiid · T. Harris · F. Korkmaz · M. Thybulle
38,39,2022-01-10,,,Box Score,@,Houston Rockets,W,,111,91,23,16,J. Embiid · D. Green · T. Harris · F. Korkmaz · M. Thybulle
39,40,2022-01-12,,,Box Score,,Charlotte Hornets,L,,98,109,23,17,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
40,41,2022-01-14,,,Box Score,,Boston Celtics,W,,111,99,24,17,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
41,42,2022-01-15,,,Box Score,@,Miami Heat,W,,109,98,25,17,S. Curry · J. Embiid · T. Harris · F. Korkmaz · T. Maxey
42,43,2022-01-17,,,Box Score,@,Washington Wizards,L,,98,117,25,18,S. Curry · J. Embiid · T. Harris · F. Korkmaz · T. Maxey
43,44,2022-01-19,,,Box Score,,Orlando Magic,W,,123,110,26,18,C. Brown · S. Curry · J. Embiid · T. Harris · T. Maxey
44,45,2022-01-21,,,Box Score,,Los Angeles Clippers,L,,101,102,26,19,J. Embiid · T. Harris · I. Joe · F. Korkmaz · T. Maxey
45,46,2022-01-23,,,Box Score,@,San Antonio Spurs,W,,115,109,27,19,C. Brown · J. Embiid · T. Harris · F. Korkmaz · T. Maxey
46,47,2022-01-25,,,Box Score,,New Orleans Pelicans,W,,117,107,28,19,J. Embiid · T. Harris · F. Korkmaz · T. Maxey · M. Thybulle
47,48,2022-01-27,,,Box Score,,Los Angeles Lakers,W,,105,87,29,19,J. Embiid · T. Harris · F. Korkmaz · T. Maxey · M. Thybulle
48,49,2022-01-29,,,Box Score,,Sacramento Kings,W,,103,101,30,19,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
49,50,2022-01-31,,,Box Score,,Memphis Grizzlies,W,OT,122,119,31,19,S. Curry · A. Drummond · T. Harris · T. Maxey · M. Thybulle
50,51,2022-02-02,,,Box Score,,Washington Wizards,L,,103,106,31,20,J. Embiid · D. Green · T. Harris · T. Maxey · M. Thybulle
51,52,2022-02-04,,,Box Score,@,Dallas Mavericks,L,,98,107,31,21,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
52,53,2022-02-06,,,Box Score,@,Chicago Bulls,W,,119,108,32,21,S. Curry · J. Embiid · D. Green · T. Harris · T. Maxey
53,54,2022-02-08,,,Box Score,,Phoenix Suns,L,,109,114,32,22,S. Curry · J. Embiid · T. Harris · T. Maxey · M. Thybulle
54,55,2022-02-11,,,Box Score,,Oklahoma City Thunder,W,,100,87,33,22,J. Embiid · T. Harris · F. Korkmaz · T. Maxey · M. Thybulle
55,56,2022-02-12,,,Box Score,,Cleveland Cavaliers,W,,103,93,34,22,J. Embiid · D. Green · T. Harris · T. Maxey · M. Thybulle
56,57,2022-02-15,,,Box Score,,Boston Celtics,L,,87,135,34,23,J. Embiid · D. Green · T. Harris · T. Maxey · M. Thybulle
57,58,2022-02-17,,,Box Score,@,Milwaukee Bucks,W,,123,120,35,23,J. Embiid · T. Harris · T. Maxey · G. Niang · M. Thybulle
58,59,2022-02-25,,,Box Score,@,Minnesota Timberwolves,W,,133,102,36,23,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
59,60,2022-02-27,,,Box Score,@,New York Knicks,W,,125,109,37,23,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
60,61,2022-03-02,,,Box Score,,New York Knicks,W,,123,108,38,23,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
61,62,2022-03-04,,,Box Score,,Cleveland Cavaliers,W,,125,119,39,23,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
62,63,2022-03-05,,,Box Score,@,Miami Heat,L,,82,99,39,24,J. Embiid · T. Harris · F. Korkmaz · T. Maxey · M. Thybulle
63,64,2022-03-07,,,Box Score,,Chicago Bulls,W,,121,106,40,24,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
64,65,2022-03-10,,,Box Score,,Brooklyn Nets,L,,100,129,40,25,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
65,66,2022-03-13,,,Box Score,@,Orlando Magic,W,OT,116,114,41,25,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
66,67,2022-03-14,,,Box Score,,Denver Nuggets,L,,110,114,41,26,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
67,68,2022-03-16,,,Box Score,@,Cleveland Cavaliers,W,,118,114,42,26,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
68,69,2022-03-18,,,Box Score,,Dallas Mavericks,W,,111,101,43,26,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
69,70,2022-03-20,,,Box Score,,Toronto Raptors,L,,88,93,43,27,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
70,71,2022-03-21,,,Box Score,,Miami Heat,W,,113,106,44,27,T. Harris · T. Maxey · P. Millsap · G. Niang · M. Thybulle
71,72,2022-03-23,,,Box Score,@,Los Angeles Lakers,W,,126,121,45,27,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
72,73,2022-03-25,,,Box Score,@,Los Angeles Clippers,W,,122,97,46,27,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
73,74,2022-03-27,,,Box Score,@,Phoenix Suns,L,,104,114,46,28,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
74,75,2022-03-29,,,Box Score,,Milwaukee Bucks,L,,116,118,46,29,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
75,76,2022-03-31,,,Box Score,@,Detroit Pistons,L,,94,102,46,30,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
76,77,2022-04-02,,,Box Score,,Charlotte Hornets,W,,144,114,47,30,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
77,78,2022-04-03,,,Box Score,@,Cleveland Cavaliers,W,,112,108,48,30,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
78,79,2022-04-05,,,Box Score,@,Indiana Pacers,W,,131,122,49,30,J. Embiid · J. Harden · T. Harris · T. Maxey · M. Thybulle
79,80,2022-04-07,,,Box Score,@,Toronto Raptors,L,,114,119,49,31,J. Embiid · D. Green · J. Harden · T. Harris · T. Maxey
80,81,2022-04-09,,,Box Score,,Indiana Pacers,W,,133,120,50,31,J. Embiid · D. Green · J. Harden · T. Harris · T. Maxey
81,82,2022-04-10,,,Box Score,,Detroit Pistons,W,,118,106,51,31,D. Green · T. Harris · D. Jordan · T. Maxey · M. Thybulle
