,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Courtney Kirkland,,5,3,2,0.6,93.2,,101.4,22.4,17.2,9.0,0.8,,98.4,18.0,19.2,11.4,1.2,,3.0,4.4,-2.0,-2.4,-0.4
1,2,Karl Lane,,5,4,1,0.8,94.2,,111.8,25.4,18.8,9.6,1.6,,102.6,21.6,20.0,11.4,0.8,,9.2,3.8,-1.2,-1.8,0.8
2,3,Danielle Scott,,2,1,1,0.5,94.8,,105.5,24.0,14.0,6.0,1.0,,99.5,12.0,18.5,13.0,0.5,,6.0,12.0,-4.5,-7.0,0.5
3,4,David Guthrie,,5,2,3,0.4,92.1,,96.8,24.2,20.2,9.2,0.8,,106.2,23.4,19.8,10.8,1.0,,-9.4,0.8,0.4,-1.6,-0.2
4,5,Marat Kogut,,6,5,1,0.833,97.6,,115.7,25.2,19.5,10.2,1.0,,108.2,24.8,20.3,11.5,1.7,,7.5,0.4,-0.8,-1.3,-0.7
5,6,Tre Maddox,,6,3,3,0.5,95.7,,109.8,25.7,18.2,7.7,1.3,,112.3,19.2,20.0,11.5,0.7,,-2.5,6.5,-1.8,-3.8,0.6
6,7,Jacyn Goble,,6,5,1,0.833,96.2,,119.3,28.7,20.9,11.1,1.7,,109.1,21.7,21.7,13.1,1.4,,10.2,7.0,-0.8,-2.0,0.3
7,8,Rodney Mott,,3,2,1,0.667,93.8,,105.3,23.2,17.4,9.0,0.6,,107.9,20.3,18.7,9.3,0.3,,-2.6,2.9,-1.3,-0.3,0.3
8,9,Phenizee Ransom,,6,5,1,0.833,97.6,,116.0,23.7,20.5,10.2,2.2,,103.7,22.0,19.3,10.2,1.5,,12.3,1.7,1.2,0.0,0.7
9,10,Mitchell Ervin,,4,0,4,0.0,93.5,,106.5,24.5,19.0,5.9,1.9,,111.4,16.4,20.7,11.6,1.0,,-4.9,8.1,-1.7,-5.7,0.9
10,11,Brett Nansel,,4,2,2,0.5,93.2,,109.5,23.8,19.5,9.0,1.3,,111.0,22.5,20.5,10.8,1.0,,-1.5,1.3,-1.0,-1.8,0.3
11,12,James Williams,,5,2,3,0.4,93.5,,110.4,28.0,19.2,9.6,1.2,,110.4,23.8,19.0,12.2,0.6,,0.0,4.2,0.2,-2.6,0.6
12,13,J.B. DeRosa,,6,4,2,0.667,95.1,,105.7,24.2,19.3,10.3,1.5,,98.0,21.8,19.0,9.5,1.5,,7.7,2.4,0.3,0.8,0.0
13,14,Andy Nagy,,3,2,1,0.667,99.1,,111.3,20.0,21.0,12.0,1.7,,113.7,27.7,19.3,8.3,2.0,,-2.4,-7.7,1.7,3.7,-0.3
14,15,Tom Washington,,3,2,1,0.667,97.2,,110.7,22.0,22.7,10.3,2.7,,104.0,23.7,18.3,10.0,1.0,,6.7,-1.7,4.4,0.3,1.7
15,16,Ed Malloy,,3,3,0,1.0,97.4,,119.0,27.0,21.0,9.3,2.0,,96.3,20.7,22.0,12.7,1.7,,22.7,6.3,-1.0,-3.4,0.3
16,17,Michael Smith,,5,3,2,0.6,93.3,,103.8,24.2,17.6,7.4,1.6,,95.6,17.8,19.4,10.6,0.8,,8.2,6.4,-1.8,-3.2,0.8
17,18,Evan Scott,,2,2,0,1.0,93.7,,115.5,19.5,20.5,12.0,2.0,,104.5,23.5,15.5,9.0,0.5,,11.0,-4.0,5.0,3.0,1.5
18,19,Ben Taylor,,8,6,2,0.75,93.4,,110.3,23.3,21.1,11.1,2.3,,107.6,24.0,18.9,10.1,1.8,,2.7,-0.7,2.2,1.0,0.5
19,20,Scott Wall,,5,4,1,0.8,96.3,,113.4,22.0,17.6,8.8,1.6,,106.4,19.8,21.2,8.6,1.6,,7.0,2.2,-3.6,0.2,0.0
20,21,Brian Forte,,3,2,1,0.667,94.6,,104.3,31.0,19.0,11.3,1.0,,113.7,24.0,22.3,13.3,1.0,,-9.4,7.0,-3.3,-2.0,0.0
21,22,J.T. Orr,,3,2,1,0.667,94.5,,109.0,25.0,19.0,10.3,1.0,,102.7,21.7,21.0,11.0,1.0,,6.3,3.3,-2.0,-0.7,0.0
22,23,Scott Twardoski,,4,3,1,0.75,91.1,,100.3,18.0,17.5,8.0,0.8,,98.0,18.3,16.5,8.0,1.0,,2.3,-0.3,1.0,0.0,-0.2
23,24,Ray Acosta,,5,5,0,1.0,96.7,,118.8,26.8,18.2,8.8,1.4,,105.8,20.0,20.0,10.6,1.0,,13.0,6.8,-1.8,-1.8,0.4
24,25,Pat Fraher,,4,3,1,0.75,94.5,,108.8,19.3,20.0,9.3,2.5,,101.8,20.0,15.8,9.0,0.3,,7.0,-0.7,4.2,0.3,2.2
25,26,Bill Kennedy,,2,2,0,1.0,94.4,,112.0,24.5,21.5,14.0,2.5,,105.5,25.5,21.5,9.0,1.0,,6.5,-1.0,0.0,5.0,1.5
26,27,Dedric Taylor,,2,1,1,0.5,95.0,,112.5,20.0,23.0,10.5,1.5,,111.5,26.5,20.0,9.5,2.0,,1.0,-6.5,3.0,1.0,-0.5
27,28,Brent Barnaky,,5,3,2,0.6,96.6,,110.7,20.8,18.2,10.0,1.2,,113.6,20.6,17.2,9.4,0.4,,-2.9,0.2,1.0,0.6,0.8
28,29,Marc Davis,,5,2,3,0.4,94.6,,106.4,18.6,19.4,7.2,1.6,,103.4,20.0,17.0,8.2,1.4,,3.0,-1.4,2.4,-1.0,0.2
29,30,Sean Corbin,,2,0,2,0.0,94.6,,103.7,23.1,20.4,6.8,0.9,,108.2,16.8,18.6,10.9,1.8,,-4.5,6.3,1.8,-4.1,-0.9
30,31,Eric Lewis,,6,3,3,0.5,98.2,,112.7,21.0,19.2,10.5,1.1,,117.6,22.4,17.9,10.2,1.5,,-4.9,-1.4,1.3,0.3,-0.4
31,32,Aaron Smith,,6,2,4,0.333,93.3,,102.3,20.8,16.8,7.0,1.2,,102.7,18.0,17.0,10.3,1.0,,-0.4,2.8,-0.2,-3.3,0.2
32,33,Brandon Adair,,7,2,5,0.286,98.7,,111.2,21.3,19.4,9.9,1.7,,116.7,21.8,17.9,9.7,0.6,,-5.5,-0.5,1.5,0.2,1.1
33,34,Mark Lindsay,,7,5,2,0.714,96.0,,111.6,26.6,21.0,10.7,1.0,,110.3,25.4,21.0,11.7,1.6,,1.3,1.2,0.0,-1.0,-0.6
34,35,Suyash Mehta,,3,2,1,0.667,96.4,,109.0,23.3,19.7,9.7,1.0,,106.7,23.0,21.0,10.7,1.7,,2.3,0.3,-1.3,-1.0,-0.7
35,36,John Butler,,4,3,1,0.75,93.5,,107.5,27.5,19.8,9.8,1.5,,102.3,22.8,20.5,11.3,0.3,,5.2,4.7,-0.7,-1.5,1.2
36,37,Kevin Scott,,1,0,1,0.0,94.8,,113.0,29.0,22.0,3.0,4.0,,118.0,15.0,21.0,12.0,0.0,,-5.0,14.0,1.0,-9.0,4.0
37,38,Matt Boland,,5,3,2,0.6,98.4,,105.2,20.2,18.0,10.6,1.6,,109.1,21.7,19.4,9.6,1.0,,-3.9,-1.5,-1.4,1.0,0.6
38,39,Kevin Cutler,,6,5,1,0.833,95.8,,107.1,21.5,17.7,9.8,1.0,,103.9,21.3,18.7,8.8,1.6,,3.2,0.2,-1.0,1.0,-0.6
39,40,Scott Foster,,4,2,2,0.5,95.7,,103.3,24.5,18.8,9.0,1.0,,108.3,19.3,20.3,12.5,1.5,,-5.0,5.2,-1.5,-3.5,-0.5
40,41,Kane Fitzgerald,,4,2,2,0.5,96.9,,109.5,20.8,19.5,9.5,2.0,,104.8,21.0,17.8,9.3,1.8,,4.7,-0.2,1.7,0.2,0.2
