,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,134,75,59,0.56,14340,14062,107.0,104.9
1,2,Boston Celtics,133,59,74,0.444,14278,14531,107.4,109.3
2,3,Brooklyn Nets,94,48,46,0.511,9992,9796,106.3,104.2
3,4,Charlotte Hornets,64,39,25,0.609,6943,6679,108.5,104.4
4,5,Chicago Bulls,144,73,71,0.507,15175,15277,105.4,106.1
5,6,Cleveland Cavaliers,117,69,48,0.59,12214,11997,104.4,102.5
6,7,Dallas Mavericks,168,94,74,0.56,17978,17579,107.0,104.6
7,8,Denver Nuggets,185,100,85,0.541,20790,20344,112.4,110.0
8,9,Detroit Pistons,141,70,71,0.496,15092,15045,107.0,106.7
9,10,Golden State Warriors,255,144,111,0.565,28174,27697,110.5,108.6
10,11,Houston Rockets,223,115,108,0.516,24165,23983,108.4,107.5
11,12,Indiana Pacers,95,52,43,0.547,10080,9939,106.1,104.6
12,13,Los Angeles Clippers,231,135,96,0.584,25096,24352,108.6,105.4
13,14,Los Angeles Lakers,259,113,146,0.436,27809,28340,107.4,109.4
14,15,Memphis Grizzlies,98,58,40,0.592,10156,9886,103.6,100.9
15,16,Miami Heat,67,37,30,0.552,6988,6877,104.3,102.6
16,17,Milwaukee Bucks,148,76,72,0.514,16157,16197,109.2,109.4
17,18,Minnesota Timberwolves,120,77,43,0.642,12805,12305,106.7,102.5
18,19,New Orleans Pelicans,68,36,32,0.529,7194,7082,105.8,104.1
19,20,New York Knicks,134,70,64,0.522,14318,14119,106.9,105.4
20,21,Oklahoma City Thunder,249,133,116,0.534,26930,26690,108.2,107.2
21,22,Orlando Magic,65,39,26,0.6,6913,6808,106.4,104.7
22,23,Philadelphia 76ers,131,73,58,0.557,14434,14186,110.2,108.3
23,24,Portland Trail Blazers,237,128,109,0.54,25588,25456,108.0,107.4
24,25,Sacramento Kings,241,141,100,0.585,26376,25647,109.4,106.4
25,26,San Antonio Spurs,183,84,99,0.459,19137,19286,104.6,105.4
26,27,Toronto Raptors,51,32,19,0.627,5388,5249,105.6,102.9
27,28,Utah Jazz,193,99,94,0.513,19951,19906,103.4,103.1
28,29,Washington Wizards,133,66,67,0.496,14600,14237,109.8,107.0
