,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Danny Ainge,1997,2000,4,226,136,90,0.602,23.0,3.0,12.0,3.0,9.0,0.25,0.0,0.0
1,2,Jerry Colangelo,1970,1973,2,119,59,60,0.496,-0.5,1.0,7.0,3.0,4.0,0.429,0.0,0.0
2,3,Mike D'Antoni,2004,2008,5,389,253,136,0.65,58.5,4.0,51.0,26.0,25.0,0.51,0.0,0.0
3,4,Cotton Fitzsimmons,1971,1997,8,549,341,208,0.621,66.5,5.0,44.0,22.0,22.0,0.5,0.0,0.0
4,5,Alvin Gentry,2009,2013,5,302,158,144,0.523,7.0,1.0,16.0,10.0,6.0,0.625,0.0,0.0
5,6,Jeff Hornacek,2014,2016,3,213,101,112,0.474,-5.5,,,,,,,
6,7,Lindsey Hunter,2013,2013,1,41,12,29,0.293,-8.5,,,,,,,
7,8,Frank Johnson,2002,2004,3,134,63,71,0.47,-4.0,1.0,6.0,2.0,4.0,0.333,0.0,0.0
8,9,Red Kerr,1969,1970,2,120,31,89,0.258,-29.0,,,,,,,
9,10,Igor Kokoskov,2019,2019,1,82,19,63,0.232,-22.0,,,,,,,
10,11,John MacLeod,1974,1987,14,1122,579,543,0.516,18.0,9.0,81.0,37.0,44.0,0.457,1.0,0.0
11,12,Terry Porter,2009,2009,1,51,28,23,0.549,2.5,,,,,,,
12,13,Scott Skiles,2000,2002,3,195,116,79,0.595,18.5,2.0,13.0,5.0,8.0,0.385,0.0,0.0
13,14,Jay Triano,2018,2018,1,79,21,58,0.266,-18.5,,,,,,,
14,15,Dick Van Arsdale,1987,1987,1,26,14,12,0.538,1.0,,,,,,,
15,16,Butch van Breda Kolff,1973,1973,1,7,3,4,0.429,-0.5,,,,,,,
16,17,Earl Watson,2016,2018,3,118,33,85,0.28,-26.0,,,,,,,
17,18,Paul Westphal,1993,1996,4,279,191,88,0.685,51.5,3.0,44.0,25.0,19.0,0.568,1.0,0.0
18,19,John Wetzel,1988,1988,1,82,28,54,0.341,-13.0,,,,,,,
19,20,Monty Williams,2020,2022,3,227,149,78,0.656,35.5,2.0,35.0,21.0,14.0,0.6,1.0,0.0
