,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",10:00p,,Box Score,,Denver Nuggets,L,,98,110,0,1,L 1,
1,2,"Fri, Oct 22, 2021",10:00p,,Box Score,@,Los Angeles Lakers,W,,115,105,1,1,W 1,
2,3,"Sat, Oct 23, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,105,134,1,2,L 1,
3,4,"Wed, Oct 27, 2021",10:00p,,Box Score,,Sacramento Kings,L,,107,110,1,3,L 2,
4,5,"Sat, Oct 30, 2021",10:00p,,Box Score,,Cleveland Cavaliers,W,,101,92,2,3,W 1,
5,6,"Tue, Nov 2, 2021",10:00p,,Box Score,,New Orleans Pelicans,W,,112,100,3,3,W 2,
6,7,"Thu, Nov 4, 2021",10:00p,,Box Score,,Houston Rockets,W,,123,111,4,3,W 3,
7,8,"Sat, Nov 6, 2021",10:00p,,Box Score,,Atlanta Hawks,W,,121,117,5,3,W 4,
8,9,"Mon, Nov 8, 2021",10:00p,,Box Score,@,Sacramento Kings,W,,109,104,6,3,W 5,
9,10,"Wed, Nov 10, 2021",9:00p,,Box Score,,Portland Trail Blazers,W,,119,109,7,3,W 6,
10,11,"Fri, Nov 12, 2021",8:00p,,Box Score,@,Memphis Grizzlies,W,,119,94,8,3,W 7,
11,12,"Sun, Nov 14, 2021",7:00p,,Box Score,@,Houston Rockets,W,,115,89,9,3,W 8,
12,13,"Mon, Nov 15, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,W,,99,96,10,3,W 9,
13,14,"Wed, Nov 17, 2021",10:00p,,Box Score,,Dallas Mavericks,W,,105,98,11,3,W 10,
14,15,"Fri, Nov 19, 2021",10:00p,,Box Score,,Dallas Mavericks,W,,112,104,12,3,W 11,
15,16,"Sun, Nov 21, 2021",8:00p,,Box Score,,Denver Nuggets,W,,126,97,13,3,W 12,
16,17,"Mon, Nov 22, 2021",8:30p,,Box Score,@,San Antonio Spurs,W,,115,111,14,3,W 13,
17,18,"Wed, Nov 24, 2021",7:00p,,Box Score,@,Cleveland Cavaliers,W,,120,115,15,3,W 14,
18,19,"Fri, Nov 26, 2021",7:00p,,Box Score,@,New York Knicks,W,,118,97,16,3,W 15,
19,20,"Sat, Nov 27, 2021",7:30p,,Box Score,@,Brooklyn Nets,W,,113,107,17,3,W 16,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Tue, Nov 30, 2021",10:00p,,Box Score,,Golden State Warriors,W,,104,96,18,3,W 17,
22,22,"Thu, Dec 2, 2021",9:00p,,Box Score,,Detroit Pistons,W,,114,103,19,3,W 18,
23,23,"Fri, Dec 3, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,96,118,19,4,L 1,
24,24,"Mon, Dec 6, 2021",9:00p,,Box Score,,San Antonio Spurs,W,,108,104,20,4,W 1,
25,25,"Fri, Dec 10, 2021",10:00p,,Box Score,,Boston Celtics,W,,111,90,21,4,W 2,
26,26,"Mon, Dec 13, 2021",10:30p,,Box Score,@,Los Angeles Clippers,L,,95,111,21,5,L 1,
27,27,"Tue, Dec 14, 2021",10:00p,,Box Score,@,Portland Trail Blazers,W,OT,111,107,22,5,W 1,
28,28,"Thu, Dec 16, 2021",9:00p,,Box Score,,Washington Wizards,W,,118,98,23,5,W 2,
29,29,"Sun, Dec 19, 2021",8:00p,,Box Score,,Charlotte Hornets,W,,137,106,24,5,W 3,
30,30,"Tue, Dec 21, 2021",10:00p,,Box Score,@,Los Angeles Lakers,W,,108,90,25,5,W 4,
31,31,"Thu, Dec 23, 2021",9:00p,,Box Score,,Oklahoma City Thunder,W,,113,101,26,5,W 5,
32,32,"Sat, Dec 25, 2021",5:00p,,Box Score,,Golden State Warriors,L,,107,116,26,6,L 1,
33,33,"Mon, Dec 27, 2021",9:00p,,Box Score,,Memphis Grizzlies,L,,113,114,26,7,L 2,
34,34,"Wed, Dec 29, 2021",9:00p,,Box Score,,Oklahoma City Thunder,W,,115,97,27,7,W 1,
35,35,"Fri, Dec 31, 2021",1:00p,,Box Score,@,Boston Celtics,L,,108,123,27,8,L 1,
36,36,"Sun, Jan 2, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,,133,99,28,8,W 1,
37,37,"Tue, Jan 4, 2022",8:00p,,Box Score,@,New Orleans Pelicans,W,,123,110,29,8,W 2,
38,38,"Thu, Jan 6, 2022",10:00p,,Box Score,,Los Angeles Clippers,W,,106,89,30,8,W 3,
39,39,"Sat, Jan 8, 2022",9:00p,,Box Score,,Miami Heat,L,,100,123,30,9,L 1,
40,40,"Tue, Jan 11, 2022",7:30p,,Box Score,@,Toronto Raptors,W,,99,95,31,9,W 1,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Fri, Jan 14, 2022",7:00p,,Box Score,@,Indiana Pacers,W,,112,94,32,9,W 2,
43,42,"Sun, Jan 16, 2022",1:00p,,Box Score,@,Detroit Pistons,W,,135,108,33,9,W 3,
44,43,"Mon, Jan 17, 2022",8:30p,,Box Score,@,San Antonio Spurs,W,,121,107,34,9,W 4,
45,44,"Thu, Jan 20, 2022",7:30p,,Box Score,@,Dallas Mavericks,W,,109,101,35,9,W 5,
46,45,"Sat, Jan 22, 2022",9:00p,,Box Score,,Indiana Pacers,W,,113,103,36,9,W 6,
47,46,"Mon, Jan 24, 2022",9:00p,,Box Score,,Utah Jazz,W,,115,109,37,9,W 7,
48,47,"Wed, Jan 26, 2022",10:00p,,Box Score,@,Utah Jazz,W,,105,97,38,9,W 8,
