,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Denver Nuggets,L,,98,110,0,1,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
1,2,2021-10-22,,,Box Score,@,Los Angeles Lakers,W,,115,105,1,1,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
2,3,2021-10-23,,,Box Score,@,Portland Trail Blazers,L,,105,134,1,2,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
3,4,2021-10-27,,,Box Score,,Sacramento Kings,L,,107,110,1,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
4,5,2021-10-30,,,Box Score,,Cleveland Cavaliers,W,,101,92,2,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
5,6,2021-11-02,,,Box Score,,New Orleans Pelicans,W,,112,100,3,3,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
6,7,2021-11-04,,,Box Score,,Houston Rockets,W,,123,111,4,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
7,8,2021-11-06,,,Box Score,,Atlanta Hawks,W,,121,117,5,3,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
8,9,2021-11-08,,,Box Score,@,Sacramento Kings,W,,109,104,6,3,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
9,10,2021-11-10,,,Box Score,,Portland Trail Blazers,W,,119,109,7,3,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
10,11,2021-11-12,,,Box Score,@,Memphis Grizzlies,W,,119,94,8,3,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
11,12,2021-11-14,,,Box Score,@,Houston Rockets,W,,115,89,9,3,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
12,13,2021-11-15,,,Box Score,@,Minnesota Timberwolves,W,,99,96,10,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
13,14,2021-11-17,,,Box Score,,Dallas Mavericks,W,,105,98,11,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
14,15,2021-11-19,,,Box Score,,Dallas Mavericks,W,,112,104,12,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
15,16,2021-11-21,,,Box Score,,Denver Nuggets,W,,126,97,13,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
16,17,2021-11-22,,,Box Score,@,San Antonio Spurs,W,,115,111,14,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
17,18,2021-11-24,,,Box Score,@,Cleveland Cavaliers,W,,120,115,15,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
18,19,2021-11-26,,,Box Score,@,New York Knicks,W,,118,97,16,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
19,20,2021-11-27,,,Box Score,@,Brooklyn Nets,W,,113,107,17,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
20,21,2021-11-30,,,Box Score,,Golden State Warriors,W,,104,96,18,3,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
21,22,2021-12-02,,,Box Score,,Detroit Pistons,W,,114,103,19,3,D. Ayton · M. Bridges · J. Crowder · C. Paul · L. Shamet
22,23,2021-12-03,,,Box Score,@,Golden State Warriors,L,,96,118,19,4,D. Ayton · M. Bridges · J. Crowder · C. Paul · L. Shamet
23,24,2021-12-06,,,Box Score,,San Antonio Spurs,W,,108,104,20,4,D. Ayton · M. Bridges · J. Crowder · C. Paul · L. Shamet
24,25,2021-12-10,,,Box Score,,Boston Celtics,W,,111,90,21,4,M. Bridges · J. Crowder · J. McGee · C. Paul · L. Shamet
25,26,2021-12-13,,,Box Score,@,Los Angeles Clippers,L,,95,111,21,5,M. Bridges · J. Crowder · J. McGee · C. Paul · L. Shamet
26,27,2021-12-14,,,Box Score,@,Portland Trail Blazers,W,OT,111,107,22,5,D. Ayton · M. Bridges · J. Crowder · C. Paul · L. Shamet
27,28,2021-12-16,,,Box Score,,Washington Wizards,W,,118,98,23,5,D. Ayton · M. Bridges · J. Crowder · C. Paul · L. Shamet
28,29,2021-12-19,,,Box Score,,Charlotte Hornets,W,,137,106,24,5,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
29,30,2021-12-21,,,Box Score,@,Los Angeles Lakers,W,,108,90,25,5,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
30,31,2021-12-23,,,Box Score,,Oklahoma City Thunder,W,,113,101,26,5,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
31,32,2021-12-25,,,Box Score,,Golden State Warriors,L,,107,116,26,6,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
32,33,2021-12-27,,,Box Score,,Memphis Grizzlies,L,,113,114,26,7,D. Booker · M. Bridges · C. Johnson · J. McGee · C. Paul
33,34,2021-12-29,,,Box Score,,Oklahoma City Thunder,W,,115,97,27,7,D. Booker · M. Bridges · C. Johnson · J. McGee · C. Paul
34,35,2021-12-31,,,Box Score,@,Boston Celtics,L,,108,123,27,8,D. Booker · M. Bridges · C. Johnson · C. Paul · J. Smith
35,36,2022-01-02,,,Box Score,@,Charlotte Hornets,W,,133,99,28,8,D. Booker · M. Bridges · C. Johnson · C. Paul · J. Smith
36,37,2022-01-04,,,Box Score,@,New Orleans Pelicans,W,,123,110,29,8,D. Booker · M. Bridges · C. Johnson · C. Paul · J. Smith
37,38,2022-01-06,,,Box Score,,Los Angeles Clippers,W,,106,89,30,8,D. Booker · M. Bridges · C. Johnson · C. Paul · J. Smith
38,39,2022-01-08,,,Box Score,,Miami Heat,L,,100,123,30,9,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
39,40,2022-01-11,,,Box Score,@,Toronto Raptors,W,,99,95,31,9,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
40,41,2022-01-14,,,Box Score,@,Indiana Pacers,W,,112,94,32,9,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
41,42,2022-01-16,,,Box Score,@,Detroit Pistons,W,,135,108,33,9,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
42,43,2022-01-17,,,Box Score,@,San Antonio Spurs,W,,121,107,34,9,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
43,44,2022-01-20,,,Box Score,@,Dallas Mavericks,W,,109,101,35,9,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
44,45,2022-01-22,,,Box Score,,Indiana Pacers,W,,113,103,36,9,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
