,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Kevin Cutler,,7,5,2,0.714,98.1,,114.4,17.9,19.9,8.7,1.4,,103.3,20.3,17.4,8.0,2.1,,11.1,-2.4,2.5,0.7,-0.7
1,2,Marc Davis,,2,1,1,0.5,98.8,,103.5,21.0,19.5,6.0,3.0,,105.5,14.5,21.0,9.0,3.5,,-2.0,6.5,-1.5,-3.0,-0.5
2,3,Leon Wood,,5,3,2,0.6,100.4,,111.8,19.0,19.0,7.6,1.6,,112.8,18.8,19.2,6.8,2.4,,-1.0,0.2,-0.2,0.8,-0.8
3,4,Tony Brothers,,4,4,0,1.0,99.1,,115.8,17.3,21.0,11.5,1.3,,99.3,25.0,16.8,7.3,1.0,,16.5,-7.7,4.2,4.2,0.3
4,5,Nick Buchert,,3,2,1,0.667,95.2,,119.3,23.3,20.3,10.7,0.7,,108.3,26.7,20.0,8.7,1.7,,11.0,-3.4,0.3,2.0,-1.0
5,6,Justin Van Duyne,,8,8,0,1.0,98.7,,114.1,21.4,19.4,9.4,2.1,,104.8,21.1,19.8,8.1,2.4,,9.3,0.3,-0.4,1.3,-0.3
6,7,Jenna Schroeder,,1,0,1,0.0,101.0,,105.0,15.0,19.0,8.0,2.0,,134.0,17.0,15.0,6.0,1.0,,-29.0,-2.0,4.0,2.0,1.0
7,8,Tom Washington,,5,3,2,0.6,98.2,,111.0,19.0,19.6,9.4,1.6,,106.4,22.6,17.6,8.4,0.8,,4.6,-3.6,2.0,1.0,0.8
8,9,Zach Zarba,,7,4,3,0.571,99.7,,114.0,13.7,21.0,9.4,2.0,,109.1,23.4,14.9,6.4,1.0,,4.9,-9.7,6.1,3.0,1.0
9,10,Eric Lewis,,6,4,2,0.667,100.2,,112.8,21.8,19.5,9.2,1.0,,105.8,22.3,20.3,7.2,2.0,,7.0,-0.5,-0.8,2.0,-1.0
10,11,Suyash Mehta,,4,3,1,0.75,102.5,,117.0,20.5,20.0,8.3,2.5,,107.0,20.0,19.0,8.3,2.0,,10.0,0.5,1.0,0.0,0.5
11,12,Natalie Sago,,6,3,3,0.5,98.9,,116.8,20.0,20.2,10.5,2.0,,110.3,24.2,20.5,8.5,2.3,,6.5,-4.2,-0.3,2.0,-0.3
12,13,Sean Corbin,,5,5,0,1.0,101.8,,115.8,22.0,20.4,8.6,2.2,,103.0,22.0,20.0,8.4,1.2,,12.8,0.0,0.4,0.2,1.0
13,14,Rodney Mott,,6,5,1,0.833,97.6,,113.3,22.0,18.8,8.0,2.0,,101.0,21.0,19.3,8.2,1.3,,12.3,1.0,-0.5,-0.2,0.7
14,15,Jonathan Sterling,,3,3,0,1.0,100.6,,111.7,17.0,17.7,8.3,1.7,,98.3,17.3,17.3,6.7,1.0,,13.4,-0.3,0.4,1.6,0.7
15,16,Lauren Holtkamp-Sterling,,3,2,1,0.667,100.0,,112.1,18.4,23.5,12.6,1.3,,108.6,30.9,17.4,9.0,0.6,,3.5,-12.5,6.1,3.6,0.7
16,17,Courtney Kirkland,,2,2,0,1.0,98.8,,126.0,23.5,20.0,10.5,1.0,,115.0,21.5,19.0,10.5,2.0,,11.0,2.0,1.0,0.0,-1.0
17,18,James Capers Jr.,,6,5,1,0.833,99.2,,112.2,21.7,21.0,12.8,1.5,,104.0,24.8,20.7,8.5,2.0,,8.2,-3.1,0.3,4.3,-0.5
18,19,Andy Nagy,,2,2,0,1.0,102.2,,119.0,19.5,21.0,11.5,2.0,,111.0,22.0,18.5,8.0,3.5,,8.0,-2.5,2.5,3.5,-1.5
19,20,Michael Smith,,2,2,0,1.0,99.7,,118.5,23.0,22.0,12.5,1.0,,107.0,27.0,21.5,7.5,3.0,,11.5,-4.0,0.5,5.0,-2.0
20,21,John Conley,,2,2,0,1.0,96.1,,110.0,21.5,22.5,8.0,3.5,,106.0,24.0,18.0,6.0,0.5,,4.0,-2.5,4.5,2.0,3.0
21,22,Karl Lane,,3,3,0,1.0,98.3,,116.7,20.3,18.0,7.0,1.3,,109.7,19.7,16.7,7.0,0.0,,7.0,0.6,1.3,0.0,1.3
22,23,Kevin Scott,,2,2,0,1.0,99.2,,118.0,24.5,18.5,8.0,2.0,,107.0,19.5,20.0,8.0,1.5,,11.0,5.0,-1.5,0.0,0.5
