,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,120,60,60,0.5,12555,12451,104.6,103.8
1,2,Boston Celtics,120,49,71,0.408,12717,12885,106.0,107.4
2,3,Brooklyn Nets,94,67,27,0.713,10009,9434,106.5,100.4
3,4,Charlotte Hornets,63,45,18,0.714,6571,6180,104.3,98.1
4,5,Chicago Bulls,130,67,63,0.515,13389,13534,103.0,104.1
5,6,Cleveland Cavaliers,128,72,56,0.563,13323,12897,104.1,100.8
6,7,Dallas Mavericks,167,88,79,0.527,17580,17244,105.3,103.3
7,8,Denver Nuggets,191,101,90,0.529,20914,20610,109.5,107.9
8,9,Detroit Pistons,123,68,55,0.553,12942,12768,105.2,103.8
9,10,Golden State Warriors,238,129,109,0.542,25609,25182,107.6,105.8
10,11,Houston Rockets,207,93,114,0.449,21474,21574,103.7,104.2
11,12,Indiana Pacers,96,59,37,0.615,10083,9847,105.0,102.6
12,13,Los Angeles Clippers,235,148,87,0.63,25181,24178,107.2,102.9
13,14,Los Angeles Lakers,237,112,125,0.473,25334,25652,106.9,108.2
14,15,Memphis Grizzlies,98,55,43,0.561,9657,9304,98.5,94.9
15,16,Miami Heat,67,41,26,0.612,6814,6600,101.7,98.5
16,17,Milwaukee Bucks,131,53,78,0.405,13628,14106,104.0,107.7
17,18,Minnesota Timberwolves,127,87,40,0.685,13027,12433,102.6,97.9
18,19,New Orleans Pelicans,68,36,32,0.529,6705,6829,98.6,100.4
19,20,New York Knicks,119,69,50,0.58,12411,12184,104.3,102.4
20,21,Oklahoma City Thunder,247,120,127,0.486,25881,25791,104.8,104.4
21,22,Orlando Magic,65,39,26,0.6,6700,6469,103.1,99.5
22,23,Philadelphia 76ers,119,59,60,0.496,12567,12509,105.6,105.1
23,24,Phoenix Suns,237,109,128,0.46,25456,25588,107.4,108.0
24,25,Sacramento Kings,222,139,83,0.626,23602,22891,106.3,103.1
25,26,San Antonio Spurs,180,88,92,0.489,18665,18769,103.7,104.3
26,27,Toronto Raptors,51,33,18,0.647,5112,5057,100.2,99.2
27,28,Utah Jazz,199,89,110,0.447,20411,20483,102.6,102.9
28,29,Washington Wizards,119,63,56,0.529,12369,12302,103.9,103.4
