,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Rick Adelman,1989,1994,6,445,291,154,0.654,68.5,6.0,69.0,36.0,33.0,0.522,2.0,0.0
1,2,Chauncey Billups,2022,2022,1,82,27,55,0.329,-14.0,,,,,,,
2,3,Kaleb Canales,2012,2012,1,23,8,15,0.348,-3.5,,,,,,,
3,4,P.J. Carlesimo,1995,1997,3,246,137,109,0.557,14.0,3.0,12.0,3.0,9.0,0.25,0.0,0.0
4,5,Maurice Cheeks,2002,2005,4,301,162,139,0.538,11.5,2.0,10.0,3.0,7.0,0.3,0.0,0.0
5,6,Mike Dunleavy,1998,2001,4,296,190,106,0.642,42.0,4.0,36.0,18.0,18.0,0.5,0.0,0.0
6,7,Stu Inman,1972,1972,1,26,6,20,0.231,-7.0,,,,,,,
7,8,Jack McCloskey,1973,1974,2,164,48,116,0.293,-34.0,,,,,,,
8,9,Nate McMillan,2006,2012,7,535,266,269,0.497,-1.5,3.0,18.0,6.0,12.0,0.333,0.0,0.0
9,10,Kevin Pritchard,2005,2005,1,27,5,22,0.185,-8.5,,,,,,,
10,11,Jack Ramsay,1977,1986,10,820,453,367,0.552,43.0,9.0,59.0,29.0,30.0,0.492,1.0,1.0
11,12,Mike Schuler,1987,1989,3,211,127,84,0.602,21.5,2.0,8.0,2.0,6.0,0.25,0.0,0.0
12,13,Terry Stotts,2013,2021,9,720,402,318,0.558,42.0,8.0,62.0,22.0,40.0,0.355,0.0,0.0
13,14,Rolland Todd,1971,1972,2,138,41,97,0.297,-28.0,,,,,,,
14,15,Lenny Wilkens,1975,1976,2,164,75,89,0.457,-7.0,,,,,,,
