,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",10:00p,,Box Score,,Sacramento Kings,L,,121,124,0,1,L 1,
1,2,"Sat, Oct 23, 2021",10:00p,,Box Score,,Phoenix Suns,W,,134,105,1,1,W 1,
2,3,"Mon, Oct 25, 2021",10:30p,,Box Score,@,Los Angeles Clippers,L,,86,116,1,2,L 1,
3,4,"Wed, Oct 27, 2021",10:00p,,Box Score,,Memphis Grizzlies,W,,116,96,2,2,W 1,
4,5,"Fri, Oct 29, 2021",10:00p,,Box Score,,Los Angeles Clippers,W,,111,92,3,2,W 2,
5,6,"Sun, Oct 31, 2021",7:00p,,Box Score,@,Charlotte Hornets,L,,113,125,3,3,L 1,
6,7,"Mon, Nov 1, 2021",7:00p,,Box Score,@,Philadelphia 76ers,L,,103,113,3,4,L 2,
7,8,"Wed, Nov 3, 2021",7:00p,,Box Score,@,Cleveland Cavaliers,L,,104,107,3,5,L 3,
8,9,"Fri, Nov 5, 2021",10:00p,,Box Score,,Indiana Pacers,W,,110,106,4,5,W 1,
9,10,"Sat, Nov 6, 2021",10:30p,,Box Score,,Los Angeles Lakers,W,,105,90,5,5,W 2,
10,11,"Tue, Nov 9, 2021",10:00p,,Box Score,@,Los Angeles Clippers,L,,109,117,5,6,L 1,
11,12,"Wed, Nov 10, 2021",9:00p,,Box Score,@,Phoenix Suns,L,,109,119,5,7,L 2,
12,13,"Fri, Nov 12, 2021",8:00p,,Box Score,@,Houston Rockets,W,,104,92,6,7,W 1,
13,14,"Sun, Nov 14, 2021",8:00p,,Box Score,@,Denver Nuggets,L,,95,124,6,8,L 1,
14,15,"Mon, Nov 15, 2021",10:00p,,Box Score,,Toronto Raptors,W,,118,113,7,8,W 1,
15,16,"Wed, Nov 17, 2021",10:00p,,Box Score,,Chicago Bulls,W,,112,107,8,8,W 2,
16,17,"Sat, Nov 20, 2021",10:00p,,Box Score,,Philadelphia 76ers,W,,118,111,9,8,W 3,
17,18,"Tue, Nov 23, 2021",10:00p,,Box Score,,Denver Nuggets,W,,119,100,10,8,W 4,
18,19,"Wed, Nov 24, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,121,125,10,9,L 1,
19,20,"Fri, Nov 26, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,103,118,10,10,L 2,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Mon, Nov 29, 2021",9:00p,,Box Score,@,Utah Jazz,L,,107,129,10,11,L 3,
22,22,"Tue, Nov 30, 2021",10:00p,,Box Score,,Detroit Pistons,W,,110,92,11,11,W 1,
23,23,"Thu, Dec 2, 2021",10:00p,,Box Score,,San Antonio Spurs,L,,83,114,11,12,L 1,
24,24,"Sat, Dec 4, 2021",10:00p,,Box Score,,Boston Celtics,L,,117,145,11,13,L 2,
25,25,"Mon, Dec 6, 2021",10:00p,,Box Score,,Los Angeles Clippers,L,,90,102,11,14,L 3,
26,26,"Wed, Dec 8, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,94,104,11,15,L 4,
27,27,"Sun, Dec 12, 2021",9:00p,,Box Score,,Minnesota Timberwolves,L,,111,116,11,16,L 5,
28,28,"Tue, Dec 14, 2021",10:00p,,Box Score,,Phoenix Suns,L,OT,107,111,11,17,L 6,
