,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Sacramento Kings,L,,121,124,0,1,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
1,2,2021-10-23,,,Box Score,,Phoenix Suns,W,,134,105,1,1,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
2,3,2021-10-25,,,Box Score,@,Los Angeles Clippers,L,,86,116,1,2,R. Covington · D. Lillard · N. Little · C. McCollum · J. Nurkić
3,4,2021-10-27,,,Box Score,,Memphis Grizzlies,W,,116,96,2,2,R. Covington · D. Lillard · N. Little · C. McCollum · J. Nurkić
4,5,2021-10-29,,,Box Score,,Los Angeles Clippers,W,,111,92,3,2,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
5,6,2021-10-31,,,Box Score,@,Charlotte Hornets,L,,113,125,3,3,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
6,7,2021-11-01,,,Box Score,@,Philadelphia 76ers,L,,103,113,3,4,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
7,8,2021-11-03,,,Box Score,@,Cleveland Cavaliers,L,,104,107,3,5,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
8,9,2021-11-05,,,Box Score,,Indiana Pacers,W,,110,106,4,5,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
9,10,2021-11-06,,,Box Score,,Los Angeles Lakers,W,,105,90,5,5,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
10,11,2021-11-09,,,Box Score,@,Los Angeles Clippers,L,,109,117,5,6,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
11,12,2021-11-10,,,Box Score,@,Phoenix Suns,L,,109,119,5,7,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
12,13,2021-11-12,,,Box Score,@,Houston Rockets,W,,104,92,6,7,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
13,14,2021-11-14,,,Box Score,@,Denver Nuggets,L,,95,124,6,8,R. Covington · C. McCollum · J. Nurkić · N. Powell · A. Simons
14,15,2021-11-15,,,Box Score,,Toronto Raptors,W,,118,113,7,8,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
15,16,2021-11-17,,,Box Score,,Chicago Bulls,W,,112,107,8,8,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
16,17,2021-11-20,,,Box Score,,Philadelphia 76ers,W,,118,111,9,8,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
17,18,2021-11-23,,,Box Score,,Denver Nuggets,W,,119,100,10,8,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
18,19,2021-11-24,,,Box Score,@,Sacramento Kings,L,,121,125,10,9,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
19,20,2021-11-26,,,Box Score,@,Golden State Warriors,L,,103,118,10,10,R. Covington · D. Lillard · C. McCollum · J. Nurkić · N. Powell
20,21,2021-11-29,,,Box Score,@,Utah Jazz,L,,107,129,10,11,R. Covington · D. Lillard · C. McCollum · J. Nurkić · T. Snell
21,22,2021-11-30,,,Box Score,,Detroit Pistons,W,,110,92,11,11,R. Covington · C. McCollum · J. Nurkić · A. Simons · T. Snell
22,23,2021-12-02,,,Box Score,,San Antonio Spurs,L,,83,114,11,12,R. Covington · C. McCollum · J. Nurkić · N. Powell · A. Simons
23,24,2021-12-04,,,Box Score,,Boston Celtics,L,,117,145,11,13,R. Covington · C. McCollum · J. Nurkić · N. Powell · D. Smith
24,25,2021-12-06,,,Box Score,,Los Angeles Clippers,L,,90,102,11,14,R. Covington · J. Nurkić · N. Powell · D. Smith · T. Snell
25,26,2021-12-08,,,Box Score,@,Golden State Warriors,L,,94,104,11,15,R. Covington · N. Little · J. Nurkić · N. Powell · D. Smith
26,27,2021-12-12,,,Box Score,,Minnesota Timberwolves,L,,111,116,11,16,D. Lillard · N. Little · L. Nance · J. Nurkić · N. Powell
27,28,2021-12-14,,,Box Score,,Phoenix Suns,L,OT,107,111,11,17,D. Lillard · N. Little · L. Nance · J. Nurkić · N. Powell
28,29,2021-12-15,,,Box Score,,Memphis Grizzlies,L,,103,113,11,18,D. Lillard · N. Little · L. Nance · J. Nurkić · N. Powell
29,30,2021-12-17,,,Box Score,,Charlotte Hornets,W,,125,116,12,18,D. Lillard · N. Little · L. Nance · J. Nurkić · N. Powell
30,31,2021-12-19,,,Box Score,@,Memphis Grizzlies,W,,105,100,13,18,D. Lillard · N. Little · L. Nance · J. Nurkić · N. Powell
31,32,2021-12-21,,,Box Score,@,New Orleans Pelicans,L,,97,111,13,19,D. Lillard · L. Nance · J. Nurkić · N. Powell · T. Snell
32,33,2021-12-27,,,Box Score,,Dallas Mavericks,L,,117,132,13,20,D. Lillard · N. Little · L. Nance · N. Powell · T. Snell
33,34,2021-12-29,,,Box Score,,Utah Jazz,L,,105,120,13,21,D. Lillard · N. Little · L. Nance · N. Powell · T. Snell
34,35,2021-12-31,,,Box Score,@,Los Angeles Lakers,L,,106,139,13,22,D. Lillard · N. Little · L. Nance · N. Powell · T. Snell
35,36,2022-01-03,,,Box Score,,Atlanta Hawks,W,,136,131,14,22,N. Little · L. Nance · J. Nurkić · N. Powell · A. Simons
36,37,2022-01-05,,,Box Score,,Miami Heat,L,,109,115,14,23,N. Little · L. Nance · J. Nurkić · N. Powell · A. Simons
37,38,2022-01-07,,,Box Score,,Cleveland Cavaliers,L,,101,114,14,24,R. Covington · N. Little · J. Nurkić · N. Powell · A. Simons
38,39,2022-01-09,,,Box Score,,Sacramento Kings,W,,103,88,15,24,R. Covington · N. Little · B. McLemore · J. Nurkić · A. Simons
39,40,2022-01-10,,,Box Score,,Brooklyn Nets,W,,114,108,16,24,R. Covington · N. Little · B. McLemore · J. Nurkić · A. Simons
40,41,2022-01-13,,,Box Score,@,Denver Nuggets,L,,108,140,16,25,R. Covington · N. Little · B. McLemore · J. Nurkić · D. Smith
41,42,2022-01-15,,,Box Score,@,Washington Wizards,W,,115,110,17,25,R. Covington · N. Little · B. McLemore · J. Nurkić · A. Simons
42,43,2022-01-17,,,Box Score,@,Orlando Magic,W,,98,88,18,25,R. Covington · N. Little · C. McCollum · J. Nurkić · A. Simons
43,44,2022-01-19,,,Box Score,@,Miami Heat,L,,92,104,18,26,R. Covington · N. Little · C. McCollum · J. Nurkić · A. Simons
44,45,2022-01-21,,,Box Score,@,Boston Celtics,W,,109,105,19,26,R. Covington · N. Little · C. McCollum · J. Nurkić · A. Simons
45,46,2022-01-23,,,Box Score,@,Toronto Raptors,W,,114,105,20,26,R. Covington · N. Little · C. McCollum · J. Nurkić · A. Simons
46,47,2022-01-25,,,Box Score,,Minnesota Timberwolves,L,,107,109,20,27,R. Covington · N. Little · C. McCollum · J. Nurkić · A. Simons
47,48,2022-01-26,,,Box Score,,Dallas Mavericks,L,,112,132,20,28,C. McCollum · J. Nurkić · N. Powell · A. Simons · T. Snell
48,49,2022-01-28,,,Box Score,@,Houston Rockets,W,,125,110,21,28,R. Covington · C. McCollum · J. Nurkić · N. Powell · A. Simons
49,50,2022-01-30,,,Box Score,@,Chicago Bulls,L,,116,130,21,29,R. Covington · C. McCollum · J. Nurkić · N. Powell · A. Simons
50,51,2022-01-31,,,Box Score,@,Oklahoma City Thunder,L,,81,98,21,30,R. Covington · C. McCollum · J. Nurkić · N. Powell · A. Simons
51,52,2022-02-02,,,Box Score,@,Los Angeles Lakers,L,,94,99,21,31,R. Covington · C. McCollum · J. Nurkić · N. Powell · A. Simons
52,53,2022-02-04,,,Box Score,,Oklahoma City Thunder,L,,93,96,21,32,C. Elleby · C. McCollum · J. Nurkić · A. Simons · T. Snell
53,54,2022-02-05,,,Box Score,,Milwaukee Bucks,L,,108,137,21,33,C. Elleby · C. McCollum · J. Nurkić · A. Simons · T. Snell
54,55,2022-02-08,,,Box Score,,Orlando Magic,L,,95,113,21,34,C. Elleby · B. McLemore · J. Nurkić · A. Simons · J. Winslow
55,56,2022-02-09,,,Box Score,,Los Angeles Lakers,W,,107,105,22,34,C. Elleby · B. McLemore · J. Nurkić · A. Simons · J. Winslow
56,57,2022-02-12,,,Box Score,,New York Knicks,W,,112,103,23,34,C. Elleby · J. Hart · J. Nurkić · A. Simons · J. Winslow
57,58,2022-02-14,,,Box Score,@,Milwaukee Bucks,W,,122,107,24,34,C. Elleby · J. Hart · J. Nurkić · A. Simons · J. Winslow
58,59,2022-02-16,,,Box Score,@,Memphis Grizzlies,W,,123,119,25,34,C. Elleby · J. Hart · J. Nurkić · A. Simons · J. Winslow
59,60,2022-02-24,,,Box Score,,Golden State Warriors,L,,95,132,25,35,C. Elleby · D. Eubanks · J. Hart · A. Simons · J. Winslow
