,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Nick Buchert,,3,1,2,0.333,97.8,,114.7,20.0,21.7,10.3,0.7,,119.0,26.3,19.7,8.0,1.0,,-4.3,-6.3,2.0,2.3,-0.3
1,2,Phenizee Ransom,,4,2,2,0.5,99.7,,105.3,20.0,20.5,8.0,2.3,,108.5,20.3,19.0,8.0,0.8,,-3.2,-0.3,1.5,0.0,1.5
2,3,Sean Wright,,4,0,4,0.0,99.5,,103.8,22.7,21.0,10.2,1.2,,117.9,23.9,21.4,9.5,1.7,,-14.1,-1.2,-0.4,0.7,-0.5
3,4,Jenna Schroeder,,3,2,1,0.667,98.9,,115.0,22.0,23.0,12.0,2.0,,104.7,27.0,19.3,9.7,1.7,,10.3,-5.0,3.7,2.3,0.3
4,5,Tom Washington,,2,1,1,0.5,98.6,,106.0,14.5,19.0,9.0,0.5,,116.5,23.0,19.0,6.0,3.0,,-10.5,-8.5,0.0,3.0,-2.5
5,6,Zach Zarba,,5,3,2,0.6,99.7,,112.2,18.8,16.6,7.8,1.2,,105.0,18.6,17.0,8.4,1.6,,7.2,0.2,-0.4,-0.6,-0.4
6,7,Brent Barnaky,,6,3,3,0.5,100.9,,105.8,24.5,19.7,9.8,1.3,,113.2,23.3,22.2,10.0,2.5,,-7.4,1.2,-2.5,-0.2,-1.2
7,8,Eric Lewis,,3,0,3,0.0,101.2,,97.3,17.1,20.6,9.0,1.3,,120.2,22.9,19.7,7.4,2.6,,-22.9,-5.8,0.9,1.6,-1.3
8,9,Natalie Sago,,3,2,1,0.667,103.8,,104.3,27.0,20.7,8.7,3.3,,111.0,20.7,24.0,9.7,2.3,,-6.7,6.3,-3.3,-1.0,1.0
9,10,Rodney Mott,,5,1,4,0.2,95.5,,107.0,22.8,23.2,13.0,1.4,,119.4,28.8,19.0,11.0,2.0,,-12.4,-6.0,4.2,2.0,-0.6
10,11,J.T. Orr,,4,1,3,0.25,98.0,,104.0,23.3,22.0,9.5,2.5,,114.0,24.5,21.8,10.0,1.8,,-10.0,-1.2,0.2,-0.5,0.7
11,12,Scott Twardoski,,3,1,2,0.333,99.1,,114.7,33.7,24.3,10.7,2.0,,114.7,28.0,26.0,13.7,3.3,,0.0,5.7,-1.7,-3.0,-1.3
12,13,Eric Dalen,,6,2,4,0.333,98.4,,101.0,15.7,20.2,9.7,1.7,,107.5,23.3,16.0,7.2,1.2,,-6.5,-7.6,4.2,2.5,0.5
13,14,Courtney Kirkland,,5,2,3,0.4,97.0,,99.2,15.8,21.0,8.6,2.2,,102.4,22.0,15.6,6.8,1.0,,-3.2,-6.2,5.4,1.8,1.2
14,15,Suyash Mehta,,2,2,0,1.0,101.9,,116.5,17.5,19.0,9.5,1.5,,99.5,20.0,16.0,7.0,1.0,,17.0,-2.5,3.0,2.5,0.5
15,16,James Capers Jr.,,3,1,2,0.333,99.5,,108.7,21.0,19.0,8.7,2.3,,118.3,21.7,20.0,9.3,1.7,,-9.6,-0.7,-1.0,-0.6,0.6
16,17,John Conley,,3,0,3,0.0,94.8,,110.3,20.0,19.3,11.3,2.0,,123.7,22.7,19.3,8.0,1.0,,-13.4,-2.7,0.0,3.3,1.0
17,18,Dedric Taylor,,5,2,3,0.4,96.1,,110.0,18.8,21.0,11.4,1.4,,119.2,28.0,20.0,6.4,1.6,,-9.2,-9.2,1.0,5.0,-0.2
