,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Anderson Packers,2,2,0,1.0,176,157,88.0,78.5
1,2,Atlanta Hawks,321,159,162,0.495,33305,33395,103.8,104.0
2,3,Baltimore Bullets,37,29,8,0.784,3309,3009,89.4,81.3
3,4,Boston Celtics,307,119,188,0.388,32161,33343,104.8,108.6
4,5,Brooklyn Nets,95,50,45,0.526,9999,9900,105.3,104.2
5,6,Charlotte Hornets,64,28,36,0.438,6678,6706,104.3,104.8
6,7,Chicago Bulls,166,82,84,0.494,17304,17341,104.2,104.5
7,8,Chicago Stags,12,8,4,0.667,983,957,81.9,79.8
8,9,Cleveland Cavaliers,123,62,61,0.504,12981,12907,105.5,104.9
9,10,Dallas Mavericks,176,77,99,0.438,18448,18712,104.8,106.3
10,11,Denver Nuggets,192,93,99,0.484,21098,21327,109.9,111.1
11,12,Denver Nuggets,2,2,0,1.0,177,129,88.5,64.5
12,13,Detroit Pistons,348,174,174,0.5,35984,35905,103.4,103.2
13,14,Golden State Warriors,404,192,212,0.475,43148,43411,106.8,107.5
14,15,Houston Rockets,232,94,138,0.405,24285,25034,104.7,107.9
15,16,Indiana Pacers,94,43,51,0.457,9743,9822,103.6,104.5
16,17,Indianapolis Jets,6,5,1,0.833,437,394,72.8,65.7
17,18,Indianapolis Olympians,30,18,12,0.6,2439,2324,81.3,77.5
18,19,Los Angeles Clippers,221,119,102,0.538,23480,23250,106.2,105.2
19,20,Los Angeles Lakers,441,161,280,0.365,45673,47213,103.6,107.1
20,21,Memphis Grizzlies,99,52,47,0.525,9964,10057,100.6,101.6
21,22,Miami Heat,67,23,44,0.343,6647,6949,99.2,103.7
22,23,Milwaukee Bucks,152,58,94,0.382,16058,16647,105.6,109.5
23,24,Minnesota Timberwolves,123,59,64,0.48,12501,12629,101.6,102.7
24,25,New Orleans Pelicans,69,31,38,0.449,7141,7215,103.5,104.6
25,26,New York Knicks,306,158,148,0.516,32159,32352,105.1,105.7
26,27,Oklahoma City Thunder,245,96,149,0.392,25901,26492,105.7,108.1
27,28,Orlando Magic,66,36,30,0.545,6927,6901,105.0,104.6
28,29,Philadelphia 76ers,298,128,170,0.43,31514,32309,105.8,108.4
29,30,Phoenix Suns,241,100,141,0.415,25647,26376,106.4,109.4
30,31,Portland Trail Blazers,222,83,139,0.374,22891,23602,103.1,106.3
31,32,Providence Steam Rollers,5,3,2,0.6,450,381,90.0,76.2
32,33,San Antonio Spurs,187,62,125,0.332,19419,20263,103.8,108.4
33,34,Sheboygan Red Skins,2,1,1,0.5,195,172,97.5,86.0
34,35,St. Louis Bombers,12,11,1,0.917,1047,911,87.3,75.9
35,36,Toronto Raptors,51,27,24,0.529,5297,5248,103.9,102.9
36,37,Utah Jazz,201,84,117,0.418,20794,21435,103.5,106.6
37,38,Washington Capitols,16,13,3,0.813,1331,1198,83.2,74.9
38,39,Washington Wizards,204,110,94,0.539,22831,22712,111.9,111.3
39,40,Waterloo Hawks,2,2,0,1.0,210,166,105.0,83.0
