,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,Portland Trail Blazers,W,,124,121,1,0,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
1,2,2021-10-22,,,Box Score,,Utah Jazz,L,,101,110,1,1,H. Barnes · T. Davis · D. Fox · T. Haliburton · R. Holmes
2,3,2021-10-24,,,Box Score,,Golden State Warriors,L,,107,119,1,2,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
3,4,2021-10-27,,,Box Score,@,Phoenix Suns,W,,110,107,2,2,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
4,5,2021-10-29,,,Box Score,@,New Orleans Pelicans,W,,113,109,3,2,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
5,6,2021-10-31,,,Box Score,@,Dallas Mavericks,L,,99,105,3,3,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
6,7,2021-11-02,,,Box Score,@,Utah Jazz,L,,113,119,3,4,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
7,8,2021-11-03,,,Box Score,,New Orleans Pelicans,W,,112,99,4,4,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
8,9,2021-11-05,,,Box Score,,Charlotte Hornets,W,,140,110,5,4,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
9,10,2021-11-07,,,Box Score,,Indiana Pacers,L,,91,94,5,5,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
10,11,2021-11-08,,,Box Score,,Phoenix Suns,L,,104,109,5,6,H. Barnes · D. Fox · M. Harkless · B. Hield · R. Holmes
11,12,2021-11-10,,,Box Score,@,San Antonio Spurs,L,,117,136,5,7,H. Barnes · D. Fox · M. Harkless · B. Hield · R. Holmes
12,13,2021-11-12,,,Box Score,@,Oklahoma City Thunder,L,,103,105,5,8,H. Barnes · D. Fox · T. Haliburton · R. Holmes · C. Metu
13,14,2021-11-15,,,Box Score,@,Detroit Pistons,W,,129,107,6,8,H. Barnes · D. Fox · T. Haliburton · R. Holmes · C. Metu
