,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Nick Buchert,,2,1,1,0.5,98.4,,110.0,20.5,19.0,9.5,1.0,,116.5,22.0,18.0,10.5,2.5,,-6.5,-1.5,1.0,-1.0,-1.5
1,2,Phenizee Ransom,,4,3,1,0.75,102.9,,110.5,24.8,21.8,8.8,2.5,,109.3,20.0,22.0,9.0,3.0,,1.2,4.8,-0.2,-0.2,-0.5
2,3,Sean Wright,,5,3,2,0.6,99.7,,115.6,23.8,18.6,9.2,1.6,,113.4,20.0,21.8,9.0,1.2,,2.2,3.8,-3.2,0.2,0.4
3,4,Brent Barnaky,,8,0,8,0.0,101.1,,106.6,22.4,18.5,8.0,1.8,,120.4,19.1,19.4,10.4,2.1,,-13.8,3.3,-0.9,-2.4,-0.3
4,5,Kevin Cutler,,4,2,2,0.5,99.9,,110.0,25.8,21.3,9.5,1.5,,107.8,21.8,19.5,11.5,1.3,,2.2,4.0,1.8,-2.0,0.2
5,6,J.T. Orr,,6,2,4,0.333,100.8,,112.0,23.7,19.8,8.3,1.0,,116.0,20.7,19.7,10.0,1.7,,-4.0,3.0,0.1,-1.7,-0.7
6,7,Derrick Collins,,7,3,4,0.429,95.9,,107.6,20.6,19.4,8.1,1.9,,111.0,20.0,20.4,9.6,1.7,,-3.4,0.6,-1.0,-1.5,0.2
7,8,Jenna Schroeder,,3,1,2,0.333,98.9,,115.7,16.0,17.3,9.7,1.7,,115.7,21.7,14.3,8.3,0.0,,0.0,-5.7,3.0,1.4,1.7
8,9,Eric Lewis,,2,1,1,0.5,103.0,,106.5,18.5,20.5,11.0,2.0,,112.0,26.0,20.0,9.5,2.0,,-5.5,-7.5,0.5,1.5,0.0
9,10,Suyash Mehta,,3,2,1,0.667,99.1,,121.0,21.3,20.3,11.0,1.7,,119.3,23.7,18.0,10.7,0.3,,1.7,-2.4,2.3,0.3,1.4
10,11,Natalie Sago,,2,1,1,0.5,97.7,,103.5,19.5,17.0,10.0,1.5,,116.5,20.5,19.5,9.0,1.5,,-13.0,-1.0,-2.5,1.0,0.0
11,12,Mitchell Ervin,,3,2,1,0.667,99.5,,106.3,26.3,17.0,8.7,1.7,,105.0,19.7,23.3,9.0,2.7,,1.3,6.6,-6.3,-0.3,-1.0
12,13,Matt Myers,,2,1,1,0.5,101.2,,115.0,20.5,23.0,10.5,3.0,,122.5,28.0,19.0,7.5,1.5,,-7.5,-7.5,4.0,3.0,1.5
13,14,Kevin Scott,,4,2,2,0.5,100.1,,110.5,24.0,17.5,7.8,4.3,,119.8,15.0,21.0,11.3,3.0,,-9.3,9.0,-3.5,-3.5,1.3
14,15,Mousa Dagher,,8,3,5,0.375,100.1,,110.1,23.5,18.9,10.4,1.4,,116.9,23.0,21.0,10.6,2.6,,-6.8,0.5,-2.1,-0.2,-1.2
15,16,Pat Fraher,,4,0,4,0.0,98.0,,101.0,19.3,17.5,8.0,1.5,,113.5,20.8,20.5,10.3,2.8,,-12.5,-1.5,-3.0,-2.3,-1.3
16,17,Nate Green,,1,0,1,0.0,106.5,,113.0,24.0,24.0,8.0,1.0,,119.0,27.0,23.0,9.0,3.0,,-6.0,-3.0,1.0,-1.0,-2.0
17,18,Bill Kennedy,,4,1,3,0.25,97.9,,106.3,21.5,19.0,8.3,2.0,,111.5,19.0,19.3,9.3,1.3,,-5.2,2.5,-0.3,-1.0,0.7
18,19,Michael Smith,,5,2,3,0.4,101.3,,111.0,29.0,20.4,10.4,2.0,,115.4,25.0,24.0,12.0,2.4,,-4.4,4.0,-3.6,-1.6,-0.4
19,20,Tony Brothers,,3,1,2,0.333,99.2,,106.0,25.7,23.0,10.0,2.3,,110.0,24.3,20.3,9.7,2.3,,-4.0,1.4,2.7,0.3,0.0
20,21,Sean Corbin,,1,1,0,1.0,95.0,,112.0,22.0,21.0,6.0,4.0,,99.0,15.0,16.0,7.0,1.0,,13.0,7.0,5.0,-1.0,3.0
21,22,Andy Nagy,,2,1,1,0.5,100.9,,119.0,21.5,21.0,8.5,2.0,,117.0,23.5,17.5,10.0,1.5,,2.0,-2.0,3.5,-1.5,0.5
22,23,Tyler Ford,,6,4,2,0.667,101.6,,119.5,26.7,20.7,11.0,2.5,,117.5,24.7,20.5,10.8,1.3,,2.0,2.0,0.2,0.2,1.2
23,24,Rodney Mott,,4,3,1,0.75,98.2,,113.8,24.5,16.8,7.8,2.3,,109.0,17.8,21.3,10.8,1.3,,4.8,6.7,-4.5,-3.0,1.0
24,25,Danielle Scott,,3,2,1,0.667,101.7,,122.3,26.0,19.7,7.3,3.3,,118.0,17.0,21.0,10.7,1.0,,4.3,9.0,-1.3,-3.4,2.3
25,26,Marat Kogut,,3,1,2,0.333,96.4,,103.3,26.7,17.0,9.3,1.3,,112.3,20.3,24.0,9.3,2.3,,-9.0,6.4,-7.0,0.0,-1.0
26,27,Jacyn Goble,,5,3,2,0.6,99.7,,113.6,24.6,19.8,8.8,2.0,,106.6,20.6,19.8,12.2,1.2,,7.0,4.0,0.0,-3.4,0.8
27,28,Evan Scott,,5,0,5,0.0,99.9,,96.6,21.0,18.4,7.4,2.8,,110.8,15.4,21.8,10.0,3.4,,-14.2,5.6,-3.4,-2.6,-0.6
28,29,Josh Tiven,,4,2,2,0.5,100.2,,113.8,28.3,17.3,8.5,2.3,,113.3,17.8,21.8,13.8,1.5,,0.5,10.5,-4.5,-5.3,0.8
29,30,Tom Washington,,2,0,2,0.0,103.4,,121.5,18.5,23.5,10.5,1.0,,135.5,31.5,17.5,9.5,1.0,,-14.0,-13.0,6.0,1.0,0.0
