,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,99,57,42,0.576,10447,10121,105.5,102.2
1,2,Boston Celtics,99,58,41,0.586,10410,10260,105.2,103.6
2,3,Brooklyn Nets,165,105,60,0.636,17521,16909,106.2,102.5
3,4,Charlotte Hornets,64,44,20,0.688,6541,6111,102.2,95.5
4,5,Chicago Bulls,94,58,36,0.617,9749,9443,103.7,100.5
5,6,Cleveland Cavaliers,101,65,36,0.644,10568,10143,104.6,100.4
6,7,Dallas Mavericks,191,114,77,0.597,19920,19343,104.3,101.3
7,8,Denver Nuggets,299,166,133,0.555,33089,32518,110.7,108.8
8,9,Detroit Pistons,98,62,36,0.633,10320,9940,105.3,101.4
9,10,Golden State Warriors,179,114,65,0.637,19579,18836,109.4,105.2
10,11,Houston Rockets,207,115,92,0.556,21308,21088,102.9,101.9
11,12,Indiana Pacers,190,104,86,0.547,20627,20394,108.6,107.3
12,13,Kentucky Colonels,66,25,41,0.379,7045,7248,106.7,109.8
13,14,Los Angeles Clippers,180,132,48,0.733,19290,18048,107.2,100.3
14,15,Los Angeles Lakers,181,92,89,0.508,19073,18915,105.4,104.5
15,16,Memphis Grizzlies,106,74,32,0.698,10558,9941,99.6,93.8
16,17,Memphis Sounds,80,40,40,0.5,8628,8572,107.9,107.2
17,18,Miami Heat,69,44,25,0.638,6793,6472,98.4,93.8
18,19,Milwaukee Bucks,95,52,43,0.547,10152,9943,106.9,104.7
19,20,Minnesota Timberwolves,127,91,36,0.717,12914,12217,101.7,96.2
20,21,New Orleans Pelicans,73,53,20,0.726,7357,7005,100.8,96.0
21,22,New York Knicks,99,56,43,0.566,10476,10190,105.8,102.9
22,23,Oklahoma City Thunder,181,100,81,0.552,18783,18436,103.8,101.9
23,24,Orlando Magic,67,48,19,0.716,6962,6518,103.9,97.3
24,25,Philadelphia 76ers,101,58,43,0.574,10591,10286,104.9,101.8
25,26,Phoenix Suns,183,99,84,0.541,19286,19137,105.4,104.6
26,27,Pittsburgh Condors,30,16,14,0.533,3565,3463,118.8,115.4
27,28,Portland Trail Blazers,180,92,88,0.511,18769,18665,104.3,103.7
28,29,Sacramento Kings,187,125,62,0.668,20263,19419,108.4,103.8
29,30,San Diego Sails,36,25,11,0.694,4067,3840,113.0,106.7
30,31,Spirits of St. Louis,75,43,32,0.573,8415,8222,112.2,109.6
31,32,The Floridians,30,12,18,0.4,3470,3467,115.7,115.6
32,33,Toronto Raptors,52,35,17,0.673,5317,5085,102.3,97.8
33,34,Utah Jazz,198,110,88,0.556,20646,20281,104.3,102.4
34,35,Utah Stars,89,39,50,0.438,9852,9986,110.7,112.2
35,36,Virginia Squires,77,51,26,0.662,9090,8676,118.1,112.7
36,37,Washington Wizards,99,65,34,0.657,10734,10137,108.4,102.4
