,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Stan Albeck,1981,1983,3,246,153,93,0.622,30.0,3.0,27.0,13.0,14.0,0.481,0.0,0.0
1,2,Bob Bass,1975,1992,5,251,143,108,0.57,17.5,4.0,19.0,6.0,13.0,0.316,0.0,0.0
2,3,Bill Blakeley,1971,1971,1,65,25,40,0.385,-7.5,1.0,4.0,0.0,4.0,0.0,0.0,0.0
3,4,Dave Brown,1973,1973,1,12,4,8,0.333,-2.0,,,,,,,
4,5,Larry Brown,1989,1992,4,284,153,131,0.539,11.0,2.0,14.0,7.0,7.0,0.5,0.0,0.0
5,6,Cotton Fitzsimmons,1985,1986,2,164,76,88,0.463,-6.0,2.0,8.0,2.0,6.0,0.25,0.0,0.0
6,7,Cliff Hagan,1968,1970,3,199,109,90,0.548,9.5,2.0,15.0,7.0,8.0,0.467,0.0,0.0
7,8,Bob Hill,1995,1997,3,182,124,58,0.681,33.0,2.0,25.0,14.0,11.0,0.56,0.0,0.0
8,9,Rex Hughes,1993,1993,1,1,1,0,1.0,0.5,,,,,,,
9,10,John Lucas,1993,1994,2,143,94,49,0.657,22.5,2.0,14.0,6.0,8.0,0.429,0.0,0.0
10,11,Babe McCarthy,1973,1973,1,72,24,48,0.333,-12.0,,,,,,,
11,12,Morris McHone,1984,1984,1,31,11,20,0.355,-4.5,,,,,,,
12,13,Doug Moe,1977,1980,4,312,177,135,0.567,21.0,3.0,22.0,9.0,13.0,0.409,0.0,0.0
13,14,Tom Nissalke,1972,1975,3,196,105,91,0.536,7.0,2.0,11.0,3.0,8.0,0.273,0.0,0.0
14,15,Gregg Popovich,1997,2022,26,2045,1344,701,0.657,321.5,22.0,284.0,170.0,114.0,0.599,6.0,5.0
15,16,Jerry Tarkanian,1993,1993,1,20,9,11,0.45,-1.0,,,,,,,
16,17,Bob Weiss,1987,1988,2,164,59,105,0.36,-23.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0
17,18,Max Williams,1970,1971,2,60,28,32,0.467,-2.0,1.0,6.0,2.0,4.0,0.333,0.0,0.0
