,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",8:30p,,Box Score,,Orlando Magic,W,,123,97,1,0,W 1,
1,2,"Fri, Oct 22, 2021",9:00p,,Box Score,@,Denver Nuggets,L,,96,102,1,1,L 1,
2,3,"Sat, Oct 23, 2021",8:30p,,Box Score,,Milwaukee Bucks,L,,111,121,1,2,L 2,
3,4,"Tue, Oct 26, 2021",8:30p,,Box Score,,Los Angeles Lakers,L,OT,121,125,1,3,L 3,
4,5,"Thu, Oct 28, 2021",8:30p,,Box Score,@,Dallas Mavericks,L,,99,104,1,4,L 4,
5,6,"Sat, Oct 30, 2021",8:00p,,Box Score,@,Milwaukee Bucks,W,,102,93,2,4,W 1,
6,7,"Mon, Nov 1, 2021",7:00p,,Box Score,@,Indiana Pacers,L,,118,131,2,5,L 1,
7,8,"Wed, Nov 3, 2021",8:30p,,Box Score,,Dallas Mavericks,L,,108,109,2,6,L 2,
8,9,"Fri, Nov 5, 2021",7:00p,,Box Score,@,Orlando Magic,W,,102,89,3,6,W 1,
9,10,"Sun, Nov 7, 2021",7:00p,,Box Score,@,Oklahoma City Thunder,L,,94,99,3,7,L 1,
10,11,"Wed, Nov 10, 2021",8:30p,,Box Score,,Sacramento Kings,W,,136,117,4,7,W 1,
11,12,"Fri, Nov 12, 2021",8:30p,,Box Score,,Dallas Mavericks,L,,109,123,4,8,L 1,
12,13,"Sun, Nov 14, 2021",3:30p,,Box Score,@,Los Angeles Lakers,L,,106,114,4,9,L 2,
13,14,"Tue, Nov 16, 2021",10:30p,,Box Score,@,Los Angeles Clippers,L,,92,106,4,10,L 3,
14,15,"Thu, Nov 18, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,L,,90,115,4,11,L 4,
15,16,"Mon, Nov 22, 2021",8:30p,,Box Score,,Phoenix Suns,L,,111,115,4,12,L 5,
16,17,"Wed, Nov 24, 2021",8:30p,,Box Score,,Atlanta Hawks,L,,106,124,4,13,L 6,
17,18,"Fri, Nov 26, 2021",8:30p,,Box Score,,Boston Celtics,W,,96,88,5,13,W 1,
18,19,"Mon, Nov 29, 2021",8:30p,,Box Score,,Washington Wizards,W,,116,99,6,13,W 2,
19,20,"Thu, Dec 2, 2021",10:00p,,Box Score,@,Portland Trail Blazers,W,,114,83,7,13,W 3,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Sat, Dec 4, 2021",8:30p,,Box Score,@,Golden State Warriors,W,,112,107,8,13,W 4,
22,22,"Mon, Dec 6, 2021",9:00p,,Box Score,@,Phoenix Suns,L,,104,108,8,14,L 1,
23,23,"Tue, Dec 7, 2021",8:30p,,Box Score,,New York Knicks,L,,109,121,8,15,L 2,
24,24,"Thu, Dec 9, 2021",8:30p,,Box Score,,Denver Nuggets,W,,123,111,9,15,W 1,
25,25,"Sat, Dec 11, 2021",8:30p,,Box Score,,Denver Nuggets,L,,112,127,9,16,L 1,
26,26,"Sun, Dec 12, 2021",7:00p,,Box Score,,New Orleans Pelicans,W,,112,97,10,16,W 1,
27,27,"Wed, Dec 15, 2021",8:30p,,Box Score,,Charlotte Hornets,L,,115,131,10,17,L 1,
28,28,"Fri, Dec 17, 2021",9:00p,,Box Score,@,Utah Jazz,W,,128,126,11,17,W 1,
29,29,"Sun, Dec 19, 2021",6:00p,,Box Score,@,Sacramento Kings,L,,114,121,11,18,L 1,
30,30,"Mon, Dec 20, 2021",10:30p,,Box Score,@,Los Angeles Clippers,W,,116,92,12,18,W 1,
31,31,"Thu, Dec 23, 2021",10:30p,,Box Score,@,Los Angeles Lakers,W,,138,110,13,18,W 2,
32,32,"Sun, Dec 26, 2021",7:00p,,Box Score,,Detroit Pistons,W,,144,109,14,18,W 3,
33,33,"Mon, Dec 27, 2021",8:30p,,Box Score,,Utah Jazz,L,,104,110,14,19,L 1,
34,34,"Fri, Dec 31, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,,105,118,14,20,L 2,
35,35,"Sat, Jan 1, 2022",7:00p,,Box Score,@,Detroit Pistons,L,OT,116,117,14,21,L 3,
36,36,"Tue, Jan 4, 2022",7:00p,,Box Score,@,Toronto Raptors,L,,104,129,14,22,L 4,
37,37,"Wed, Jan 5, 2022",7:30p,,Box Score,@,Boston Celtics,W,,99,97,15,22,W 1,
38,38,"Fri, Jan 7, 2022",7:00p,,Box Score,@,Philadelphia 76ers,L,,100,119,15,23,L 1,
39,39,"Sun, Jan 9, 2022",12:00p,,Box Score,@,Brooklyn Nets,L,OT,119,121,15,24,L 2,
40,40,"Mon, Jan 10, 2022",7:30p,,Box Score,@,New York Knicks,L,,96,111,15,25,L 3,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Wed, Jan 12, 2022",8:30p,,Box Score,,Houston Rockets,L,,124,128,15,26,L 4,
43,42,"Fri, Jan 14, 2022",8:30p,,Box Score,,Cleveland Cavaliers,L,,109,114,15,27,L 5,
44,43,"Sat, Jan 15, 2022",8:30p,,Box Score,,Los Angeles Clippers,W,,101,94,16,27,W 1,
45,44,"Mon, Jan 17, 2022",8:30p,,Box Score,,Phoenix Suns,L,,107,121,16,28,L 1,
46,45,"Wed, Jan 19, 2022",8:30p,,Box Score,,Oklahoma City Thunder,W,,118,96,17,28,W 1,
47,46,"Fri, Jan 21, 2022",8:30p,,Box Score,,Brooklyn Nets,L,,102,117,17,29,L 1,
48,47,"Sun, Jan 23, 2022",7:00p,,Box Score,,Philadelphia 76ers,L,,109,115,17,30,L 2,
49,48,"Tue, Jan 25, 2022",8:00p,,Box Score,@,Houston Rockets,W,,134,104,18,30,W 1,
50,49,"Wed, Jan 26, 2022",8:30p,,Box Score,,Memphis Grizzlies,L,,110,118,18,31,L 1,
51,50,"Fri, Jan 28, 2022",8:30p,,Box Score,,Chicago Bulls,W,,131,122,19,31,W 1,
52,51,"Sun, Jan 30, 2022",8:00p,,Box Score,@,Phoenix Suns,L,,110,115,19,32,L 1,
53,52,"Tue, Feb 1, 2022",8:30p,,Box Score,,Golden State Warriors,L,,120,124,19,33,L 2,
54,53,"Thu, Feb 3, 2022",7:00p,,Box Score,,Miami Heat,L,,95,112,19,34,L 3,
55,54,"Fri, Feb 4, 2022",8:30p,,Box Score,,Houston Rockets,W,,131,106,20,34,W 1,
56,55,"Wed, Feb 9, 2022",7:00p,,Box Score,@,Cleveland Cavaliers,L,,92,105,20,35,L 1,
57,56,"Fri, Feb 11, 2022",7:30p,,Box Score,@,Atlanta Hawks,W,,136,121,21,35,W 1,
58,57,"Sat, Feb 12, 2022",7:00p,,Box Score,@,New Orleans Pelicans,W,,124,114,22,35,W 2,
59,58,"Mon, Feb 14, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,109,120,22,36,L 1,
