,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Sean Corbin,,5,2,3,0.4,95.8,,105.8,19.0,16.4,8.8,1.4,,108.2,17.6,18.4,7.6,1.8,,-2.4,1.4,-2.0,1.2,-0.4
1,2,Jenna Schroeder,,2,1,1,0.5,97.9,,117.5,23.5,20.0,9.5,3.0,,112.0,18.5,22.5,10.5,2.0,,5.5,5.0,-2.5,-1.0,1.0
2,3,Ben Taylor,,6,3,3,0.5,98.2,,119.5,19.8,18.0,9.8,1.0,,115.3,22.7,17.8,9.2,1.8,,4.2,-2.9,0.2,0.6,-0.8
3,4,Mark Lindsay,,2,0,2,0.0,99.7,,108.0,15.5,17.0,5.5,3.0,,113.0,13.0,19.0,7.5,3.5,,-5.0,2.5,-2.0,-2.0,-0.5
4,5,Phenizee Ransom,,4,2,2,0.5,100.1,,106.8,20.8,17.3,8.0,1.8,,100.0,17.8,22.5,7.8,2.8,,6.8,3.0,-5.2,0.2,-1.0
5,6,Sean Wright,,5,2,3,0.4,103.6,,117.4,19.2,23.6,10.8,2.8,,108.4,26.6,19.8,8.8,1.8,,9.0,-7.4,3.8,2.0,1.0
6,7,Karl Lane,,5,1,4,0.2,99.9,,106.0,14.8,19.2,8.4,1.4,,111.4,20.6,16.4,7.4,1.8,,-5.4,-5.8,2.8,1.0,-0.4
7,8,Ed Malloy,,4,1,3,0.25,96.7,,104.3,15.5,17.8,10.0,1.0,,113.3,23.8,17.5,7.3,3.3,,-9.0,-8.3,0.3,2.7,-2.3
8,9,Scott Twardoski,,6,3,3,0.5,102.5,,112.9,12.0,18.5,10.2,2.0,,107.1,22.0,16.2,6.2,2.9,,5.8,-10.0,2.3,4.0,-0.9
9,10,Curtis Blair,,4,2,2,0.5,102.0,,121.3,19.5,19.5,9.7,2.2,,118.4,21.7,17.8,8.5,1.0,,2.9,-2.2,1.7,1.2,1.2
10,11,Brian Forte,,4,2,2,0.5,102.1,,117.2,16.3,17.8,7.3,2.4,,108.2,16.1,17.3,7.6,1.2,,9.0,0.2,0.5,-0.3,1.2
11,12,Andy Nagy,,3,0,3,0.0,101.4,,113.4,19.7,17.7,9.3,2.6,,119.2,19.7,17.7,10.0,1.3,,-5.8,0.0,0.0,-0.7,1.3
12,13,Brandon Adair,,4,2,2,0.5,97.4,,101.8,14.5,15.3,7.3,2.5,,100.0,14.5,16.0,7.0,1.8,,1.8,0.0,-0.7,0.3,0.7
13,14,Tyler Ford,,6,2,4,0.333,99.1,,115.8,23.4,19.0,9.5,1.8,,118.7,20.8,21.1,10.3,1.4,,-2.9,2.6,-2.1,-0.8,0.4
14,15,Matt Boland,,4,1,3,0.25,100.5,,106.0,21.5,16.0,7.8,1.0,,113.8,19.5,19.8,9.3,2.3,,-7.8,2.0,-3.8,-1.5,-1.3
15,16,Evan Scott,,2,1,1,0.5,102.6,,105.5,22.0,15.0,8.0,1.0,,108.0,17.5,18.0,9.5,1.5,,-2.5,4.5,-3.0,-1.5,-0.5
16,17,James Williams,,6,2,4,0.333,100.8,,108.8,18.5,16.5,9.3,2.0,,110.8,19.5,17.3,8.3,1.5,,-2.0,-1.0,-0.8,1.0,0.5
17,18,Jacyn Goble,,4,1,3,0.25,100.1,,119.0,19.0,16.3,11.0,0.5,,126.0,23.3,18.8,8.0,1.5,,-7.0,-4.3,-2.5,3.0,-1.0
18,19,David Guthrie,,3,1,2,0.333,100.5,,110.0,24.3,14.7,8.3,0.7,,117.3,16.7,21.7,9.3,2.7,,-7.3,7.6,-7.0,-1.0,-2.0
19,20,Danielle Scott,,4,0,4,0.0,100.6,,116.3,19.8,15.8,7.8,1.5,,127.8,18.3,18.0,9.3,2.8,,-11.5,1.5,-2.2,-1.5,-1.3
20,21,Eric Lewis,,3,1,2,0.333,100.6,,110.3,20.7,19.0,10.0,1.3,,112.0,22.3,20.3,10.0,1.3,,-1.7,-1.6,-1.3,0.0,0.0
21,22,Gediminas Petraitis,,6,3,3,0.5,100.5,,114.8,20.7,19.0,11.3,0.7,,115.0,24.3,17.7,8.5,1.7,,-0.2,-3.6,1.3,2.8,-1.0
