,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,99,50,49,0.505,9956,9906,100.6,100.1
1,2,Boston Celtics,104,42,62,0.404,10368,10568,99.7,101.6
2,3,Brooklyn Nets,104,60,44,0.577,10667,10281,102.6,98.9
3,4,Charlotte Hornets,89,42,47,0.472,8787,8854,98.7,99.5
4,5,Chicago Bulls,99,45,54,0.455,9961,9935,100.6,100.4
5,6,Cleveland Cavaliers,100,47,53,0.47,9892,9921,98.9,99.2
6,7,Dallas Mavericks,51,22,29,0.431,5144,5185,100.9,101.7
7,8,Denver Nuggets,52,21,31,0.404,5311,5527,102.1,106.3
8,9,Detroit Pistons,98,38,60,0.388,9464,9685,96.6,98.8
9,10,Golden State Warriors,50,20,30,0.4,5283,5320,105.7,106.4
10,11,Houston Rockets,52,23,29,0.442,5313,5399,102.2,103.8
11,12,Indiana Pacers,99,47,52,0.475,9821,9840,99.2,99.4
12,13,Los Angeles Clippers,52,29,23,0.558,5269,5173,101.3,99.5
13,14,Los Angeles Lakers,51,21,30,0.412,5274,5342,103.4,104.7
14,15,Memphis Grizzlies,52,27,25,0.519,5077,5019,97.6,96.5
15,16,Miami Heat,96,38,58,0.396,9234,9461,96.2,98.6
16,17,Milwaukee Bucks,98,44,54,0.449,9751,9830,99.5,100.3
17,18,Minnesota Timberwolves,52,36,16,0.692,5377,5175,103.4,99.5
18,19,New Orleans Pelicans,43,26,17,0.605,4315,4254,100.3,98.9
19,20,New York Knicks,102,58,44,0.569,10171,9981,99.7,97.9
20,21,Oklahoma City Thunder,51,20,31,0.392,5153,5400,101.0,105.9
21,22,Orlando Magic,95,55,40,0.579,9493,9464,99.9,99.6
22,23,Philadelphia 76ers,103,61,42,0.592,10510,10245,102.0,99.5
23,24,Phoenix Suns,51,19,32,0.373,5249,5388,102.9,105.6
24,25,Portland Trail Blazers,51,18,33,0.353,5057,5112,99.2,100.2
25,26,Sacramento Kings,51,24,27,0.471,5248,5297,102.9,103.9
26,27,San Antonio Spurs,52,17,35,0.327,5085,5317,97.8,102.3
27,28,Utah Jazz,51,21,30,0.412,5131,5221,100.6,102.4
28,29,Washington Wizards,98,59,39,0.602,9956,9841,101.6,100.4
