,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Butch Carter,1998,2000,3,165,73,92,0.442,-9.5,1.0,3.0,0.0,3.0,0.0,0.0,0.0
1,2,Dwane Casey,2012,2018,7,558,320,238,0.573,41.0,5.0,51.0,21.0,30.0,0.412,0.0,0.0
2,3,Brendan Malone,1996,1996,1,82,21,61,0.256,-20.0,,,,,,,
3,4,Sam Mitchell,2005,2009,5,345,156,189,0.452,-16.5,2.0,11.0,3.0,8.0,0.273,0.0,0.0
4,5,Nick Nurse,2019,2022,4,308,186,122,0.604,32.0,3.0,41.0,25.0,16.0,0.61,1.0,1.0
5,6,Kevin O'Neill,2004,2004,1,82,33,49,0.402,-8.0,,,,,,,
6,7,Jay Triano,2009,2011,3,229,87,142,0.38,-27.5,,,,,,,
7,8,Darrell Walker,1997,1998,2,131,41,90,0.313,-24.5,,,,,,,
8,9,Lenny Wilkens,2001,2003,3,246,113,133,0.459,-10.0,2.0,17.0,8.0,9.0,0.471,0.0,0.0
