,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Washington Wizards,L,,83,98,0,1,P. Achiuwa · O. Anunoby · S. Barnes · G. Dragić · F. VanVleet
1,2,2021-10-22,,,Box Score,@,Boston Celtics,W,,115,83,1,1,P. Achiuwa · O. Anunoby · S. Barnes · G. Trent · F. VanVleet
2,3,2021-10-23,,,Box Score,,Dallas Mavericks,L,,95,103,1,2,P. Achiuwa · O. Anunoby · S. Barnes · G. Trent · F. VanVleet
3,4,2021-10-25,,,Box Score,,Chicago Bulls,L,,108,111,1,3,P. Achiuwa · O. Anunoby · S. Barnes · G. Trent · F. VanVleet
4,5,2021-10-27,,,Box Score,,Indiana Pacers,W,,118,100,2,3,P. Achiuwa · O. Anunoby · S. Barnes · G. Trent · F. VanVleet
5,6,2021-10-29,,,Box Score,,Orlando Magic,W,,110,109,3,3,P. Achiuwa · O. Anunoby · S. Barnes · G. Trent · F. VanVleet
6,7,2021-10-30,,,Box Score,@,Indiana Pacers,W,,97,94,4,3,P. Achiuwa · O. Anunoby · S. Barnes · G. Trent · F. VanVleet
7,8,2021-11-01,,,Box Score,@,New York Knicks,W,,113,104,5,3,P. Achiuwa · O. Anunoby · S. Mykhailiuk · G. Trent · F. VanVleet
8,9,2021-11-03,,,Box Score,@,Washington Wizards,W,,109,100,6,3,P. Achiuwa · O. Anunoby · S. Mykhailiuk · G. Trent · F. VanVleet
9,10,2021-11-05,,,Box Score,,Cleveland Cavaliers,L,,101,102,6,4,P. Achiuwa · O. Anunoby · S. Barnes · G. Trent · F. VanVleet
10,11,2021-11-07,,,Box Score,,Brooklyn Nets,L,,103,116,6,5,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
11,12,2021-11-10,,,Box Score,@,Boston Celtics,L,,88,104,6,6,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
12,13,2021-11-11,,,Box Score,@,Philadelphia 76ers,W,,115,109,7,6,P. Achiuwa · O. Anunoby · S. Barnes · G. Trent · F. VanVleet
13,14,2021-11-13,,,Box Score,,Detroit Pistons,L,,121,127,7,7,O. Anunoby · S. Barnes · G. Dragić · P. Siakam · G. Trent
14,15,2021-11-15,,,Box Score,@,Portland Trail Blazers,L,,113,118,7,8,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
15,16,2021-11-18,,,Box Score,@,Utah Jazz,L,,103,119,7,9,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
16,17,2021-11-19,,,Box Score,@,Sacramento Kings,W,,108,89,8,9,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
17,18,2021-11-21,,,Box Score,@,Golden State Warriors,L,,104,119,8,10,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
18,19,2021-11-24,,,Box Score,@,Memphis Grizzlies,W,,126,113,9,10,P. Achiuwa · S. Barnes · P. Siakam · G. Trent · F. VanVleet
19,20,2021-11-26,,,Box Score,@,Indiana Pacers,L,,97,114,9,11,P. Achiuwa · S. Barnes · P. Siakam · G. Trent · F. VanVleet
20,21,2021-11-28,,,Box Score,,Boston Celtics,L,,97,109,9,12,P. Achiuwa · S. Barnes · S. Mykhailiuk · P. Siakam · F. VanVleet
21,22,2021-11-30,,,Box Score,,Memphis Grizzlies,L,,91,98,9,13,P. Achiuwa · S. Barnes · S. Mykhailiuk · P. Siakam · F. VanVleet
22,23,2021-12-02,,,Box Score,,Milwaukee Bucks,W,,97,93,10,13,P. Achiuwa · S. Barnes · P. Siakam · G. Trent · F. VanVleet
23,24,2021-12-05,,,Box Score,,Washington Wizards,W,,102,90,11,13,P. Achiuwa · S. Barnes · P. Siakam · G. Trent · F. VanVleet
24,25,2021-12-08,,,Box Score,,Oklahoma City Thunder,L,,109,110,11,14,S. Barnes · C. Boucher · P. Siakam · G. Trent · F. VanVleet
25,26,2021-12-10,,,Box Score,,New York Knicks,W,,90,87,12,14,S. Barnes · C. Boucher · P. Siakam · G. Trent · F. VanVleet
26,27,2021-12-13,,,Box Score,,Sacramento Kings,W,,124,101,13,14,S. Barnes · C. Boucher · P. Siakam · G. Trent · F. VanVleet
27,28,2021-12-14,,,Box Score,@,Brooklyn Nets,L,OT,129,131,13,15,S. Barnes · C. Boucher · P. Siakam · G. Trent · F. VanVleet
28,29,2021-12-18,,,Box Score,,Golden State Warriors,W,,119,100,14,15,O. Anunoby · S. Barnes · C. Boucher · G. Trent · F. VanVleet
29,30,2021-12-26,,,Box Score,@,Cleveland Cavaliers,L,,99,144,14,16,D. Banton · C. Boucher · S. Mykhailiuk · Y. Watanabe · D. Wilson
30,31,2021-12-28,,,Box Score,,Philadelphia 76ers,L,,109,114,14,17,C. Boucher · M. Flynn · P. Siakam · G. Trent · Y. Watanabe
31,32,2021-12-31,,,Box Score,,Los Angeles Clippers,W,,116,108,15,17,O. Anunoby · K. Birch · P. Siakam · G. Trent · F. VanVleet
32,33,2022-01-02,,,Box Score,,New York Knicks,W,,120,105,16,17,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
33,34,2022-01-04,,,Box Score,,San Antonio Spurs,W,,129,104,17,17,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
34,35,2022-01-05,,,Box Score,@,Milwaukee Bucks,W,,117,111,18,17,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
35,36,2022-01-07,,,Box Score,,Utah Jazz,W,,122,108,19,17,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
36,37,2022-01-09,,,Box Score,,New Orleans Pelicans,W,,105,101,20,17,O. Anunoby · S. Barnes · K. Birch · P. Siakam · F. VanVleet
37,38,2022-01-11,,,Box Score,,Phoenix Suns,L,,95,99,20,18,O. Anunoby · K. Birch · P. Siakam · F. VanVleet · Y. Watanabe
38,39,2022-01-14,,,Box Score,@,Detroit Pistons,L,,87,103,20,19,O. Anunoby · S. Barnes · K. Birch · P. Siakam · F. VanVleet
39,40,2022-01-15,,,Box Score,@,Milwaukee Bucks,W,,103,96,21,19,P. Achiuwa · O. Anunoby · P. Siakam · F. VanVleet · Y. Watanabe
40,41,2022-01-17,,,Box Score,@,Miami Heat,L,,99,104,21,20,P. Achiuwa · O. Anunoby · S. Barnes · P. Siakam · F. VanVleet
41,42,2022-01-19,,,Box Score,@,Dallas Mavericks,L,,98,102,21,21,P. Achiuwa · O. Anunoby · S. Barnes · P. Siakam · F. VanVleet
42,43,2022-01-21,,,Box Score,@,Washington Wizards,W,,109,105,22,21,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
43,44,2022-01-23,,,Box Score,,Portland Trail Blazers,L,,105,114,22,22,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
44,45,2022-01-25,,,Box Score,,Charlotte Hornets,W,,125,113,23,22,P. Achiuwa · O. Anunoby · C. Boucher · P. Siakam · G. Trent
45,46,2022-01-26,,,Box Score,@,Chicago Bulls,L,,105,111,23,23,P. Achiuwa · O. Anunoby · S. Barnes · P. Siakam · G. Trent
46,47,2022-01-29,,,Box Score,@,Miami Heat,W,3OT,124,120,24,23,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
47,48,2022-01-31,,,Box Score,@,Atlanta Hawks,W,,106,100,25,23,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
48,49,2022-02-01,,,Box Score,,Miami Heat,W,,110,106,26,23,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
49,50,2022-02-03,,,Box Score,,Chicago Bulls,W,OT,127,120,27,23,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
50,51,2022-02-04,,,Box Score,,Atlanta Hawks,W,,125,114,28,23,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
51,52,2022-02-07,,,Box Score,@,Charlotte Hornets,W,,116,101,29,23,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
52,53,2022-02-09,,,Box Score,@,Oklahoma City Thunder,W,,117,98,30,23,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
53,54,2022-02-10,,,Box Score,@,Houston Rockets,W,,139,120,31,23,P. Achiuwa · O. Anunoby · S. Barnes · P. Siakam · G. Trent
54,55,2022-02-12,,,Box Score,,Denver Nuggets,L,,109,110,31,24,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
55,56,2022-02-14,,,Box Score,@,New Orleans Pelicans,L,,90,120,31,25,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
56,57,2022-02-16,,,Box Score,@,Minnesota Timberwolves,W,,103,91,32,25,O. Anunoby · S. Barnes · K. Birch · P. Siakam · G. Trent
57,58,2022-02-25,,,Box Score,@,Charlotte Hornets,L,,93,125,32,26,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
58,59,2022-02-26,,,Box Score,@,Atlanta Hawks,L,,100,127,32,27,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
59,60,2022-02-28,,,Box Score,@,Brooklyn Nets,W,,133,97,33,27,S. Barnes · K. Birch · M. Flynn · P. Siakam · G. Trent
60,61,2022-03-01,,,Box Score,,Brooklyn Nets,W,,109,108,34,27,S. Barnes · K. Birch · M. Flynn · P. Siakam · G. Trent
61,62,2022-03-03,,,Box Score,,Detroit Pistons,L,,106,108,34,28,S. Barnes · K. Birch · M. Flynn · P. Siakam · G. Trent
62,63,2022-03-04,,,Box Score,,Orlando Magic,L,,97,103,34,29,S. Barnes · K. Birch · M. Flynn · P. Siakam · G. Trent
63,64,2022-03-06,,,Box Score,@,Cleveland Cavaliers,L,,96,104,34,30,S. Barnes · K. Birch · C. Boucher · P. Siakam · G. Trent
64,65,2022-03-09,,,Box Score,@,San Antonio Spurs,W,,119,104,35,30,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
65,66,2022-03-11,,,Box Score,@,Phoenix Suns,W,,117,112,36,30,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
66,67,2022-03-12,,,Box Score,@,Denver Nuggets,W,,127,115,37,30,P. Achiuwa · S. Barnes · A. Brooks · P. Siakam · G. Trent
67,68,2022-03-14,,,Box Score,@,Los Angeles Lakers,W,,114,103,38,30,P. Achiuwa · S. Barnes · P. Siakam · G. Trent · F. VanVleet
68,69,2022-03-16,,,Box Score,@,Los Angeles Clippers,W,,103,100,39,30,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
69,70,2022-03-18,,,Box Score,,Los Angeles Lakers,L,OT,123,128,39,31,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
70,71,2022-03-20,,,Box Score,@,Philadelphia 76ers,W,,93,88,40,31,P. Achiuwa · S. Barnes · K. Birch · P. Siakam · G. Trent
71,72,2022-03-21,,,Box Score,@,Chicago Bulls,L,,99,113,40,32,P. Achiuwa · S. Barnes · K. Birch · P. Siakam · F. VanVleet
72,73,2022-03-24,,,Box Score,,Cleveland Cavaliers,W,,117,104,41,32,O. Anunoby · S. Barnes · K. Birch · P. Siakam · F. VanVleet
73,74,2022-03-26,,,Box Score,,Indiana Pacers,W,,131,91,42,32,O. Anunoby · S. Barnes · K. Birch · P. Siakam · F. VanVleet
74,75,2022-03-28,,,Box Score,,Boston Celtics,W,OT,115,112,43,32,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
75,76,2022-03-30,,,Box Score,,Minnesota Timberwolves,W,,125,102,44,32,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
76,77,2022-04-01,,,Box Score,@,Orlando Magic,W,,102,89,45,32,O. Anunoby · S. Barnes · P. Siakam · G. Trent · F. VanVleet
77,78,2022-04-03,,,Box Score,,Miami Heat,L,,109,114,45,33,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
78,79,2022-04-05,,,Box Score,,Atlanta Hawks,W,,118,108,46,33,S. Barnes · K. Birch · P. Siakam · G. Trent · F. VanVleet
79,80,2022-04-07,,,Box Score,,Philadelphia 76ers,W,,119,114,47,33,P. Achiuwa · S. Barnes · K. Birch · P. Siakam · G. Trent
80,81,2022-04-08,,,Box Score,,Houston Rockets,W,,117,115,48,33,S. Barnes · K. Birch · A. Brooks · P. Siakam · G. Trent
81,82,2022-04-10,,,Box Score,@,New York Knicks,L,,94,105,48,34,O. Anunoby · S. Barnes · K. Birch · A. Brooks · G. Trent
