,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,John Butler,,3,0,3,0.0,98.3,,91.0,24.0,20.3,8.7,1.7,,115.0,21.3,20.0,10.7,1.0,,-24.0,2.7,0.3,-2.0,0.7
1,2,Eric Dalen,,4,1,3,0.25,97.4,,98.5,19.8,16.8,8.5,1.5,,109.5,16.5,17.3,9.0,0.8,,-11.0,3.3,-0.5,-0.5,0.7
2,3,Bill Kennedy,,8,3,5,0.375,98.8,,109.5,20.8,22.3,10.0,2.6,,111.0,22.1,19.1,10.1,1.3,,-1.5,-1.3,3.2,-0.1,1.3
3,4,Curtis Blair,,6,5,1,0.833,93.1,,106.8,18.2,17.7,8.5,1.7,,92.0,19.7,16.8,7.8,1.8,,14.8,-1.5,0.9,0.7,-0.1
4,5,Brian Forte,,4,2,2,0.5,96.5,,110.3,21.0,15.3,6.0,1.0,,105.3,14.0,18.3,8.8,2.0,,5.0,7.0,-3.0,-2.8,-1.0
5,6,Derek Richardson,,1,1,0,1.0,97.6,,115.0,21.0,13.0,6.0,1.0,,83.0,11.0,19.0,9.0,4.0,,32.0,10.0,-6.0,-3.0,-3.0
6,7,Andy Nagy,,6,3,3,0.5,96.8,,110.8,28.3,22.7,9.0,2.3,,108.5,25.2,22.7,11.0,1.2,,2.3,3.1,0.0,-2.0,1.1
7,8,Aaron Smith,,7,3,4,0.429,94.7,,105.9,21.7,20.4,8.3,2.1,,104.0,19.7,19.7,10.1,2.0,,1.9,2.0,0.7,-1.8,0.1
8,9,Josh Tiven,,3,0,3,0.0,91.9,,94.7,23.0,19.0,8.7,2.3,,112.0,19.3,20.0,10.3,1.0,,-17.3,3.7,-1.0,-1.6,1.3
