,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,108,57,51,0.528,10950,10947,101.4,101.4
1,2,Boston Celtics,104,45,59,0.433,10722,10906,103.1,104.9
2,3,Brooklyn Nets,96,63,33,0.656,10042,9636,104.6,100.4
3,4,Charlotte Hornets,65,45,20,0.692,6675,6273,102.7,96.5
4,5,Chicago Bulls,107,53,54,0.495,10648,10623,99.5,99.3
5,6,Cleveland Cavaliers,110,61,49,0.555,11208,11051,101.9,100.5
6,7,Dallas Mavericks,183,106,77,0.579,18822,18494,102.9,101.1
7,8,Denver Nuggets,205,121,84,0.59,22289,21726,108.7,106.0
8,9,Detroit Pistons,104,68,36,0.654,10594,10332,101.9,99.3
9,10,Golden State Warriors,195,114,81,0.585,20872,20280,107.0,104.0
10,11,Houston Rockets,211,112,99,0.531,21510,21405,101.9,101.4
11,12,Indiana Pacers,94,46,48,0.489,9588,9651,102.0,102.7
12,13,Los Angeles Clippers,193,111,82,0.575,20364,19744,105.5,102.3
13,14,Los Angeles Lakers,192,79,113,0.411,19459,19917,101.3,103.7
14,15,Memphis Grizzlies,98,63,35,0.643,9624,9091,98.2,92.8
15,16,Miami Heat,70,38,32,0.543,6960,6784,99.4,96.9
16,17,Milwaukee Bucks,105,58,47,0.552,10957,10919,104.4,104.0
17,18,Minnesota Timberwolves,134,88,46,0.657,13862,13205,103.4,98.5
18,19,New Orleans Pelicans,69,43,26,0.623,7060,6748,102.3,97.8
19,20,New York Knicks,104,54,50,0.519,10853,10648,104.4,102.4
20,21,Oklahoma City Thunder,198,86,112,0.434,19941,20172,100.7,101.9
21,22,Orlando Magic,66,42,24,0.636,6685,6399,101.3,97.0
22,23,Philadelphia 76ers,105,58,47,0.552,10742,10602,102.3,101.0
23,24,Phoenix Suns,193,94,99,0.487,19906,19951,103.1,103.4
24,25,Portland Trail Blazers,199,110,89,0.553,20483,20411,102.9,102.6
25,26,Sacramento Kings,201,117,84,0.582,21435,20794,106.6,103.5
26,27,San Antonio Spurs,198,88,110,0.444,20281,20646,102.4,104.3
27,28,Toronto Raptors,51,30,21,0.588,5221,5131,102.4,100.6
28,29,Washington Wizards,110,59,51,0.536,11519,11175,104.7,101.6
