,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 20, 2021",9:00p,,Box Score,,Oklahoma City Thunder,W,,107,86,1,0,W 1,
1,2,"Fri, Oct 22, 2021",10:00p,,Box Score,@,Sacramento Kings,W,,110,101,2,0,W 2,
2,3,"Tue, Oct 26, 2021",10:00p,,Box Score,,Denver Nuggets,W,,122,110,3,0,W 3,
3,4,"Thu, Oct 28, 2021",8:00p,,Box Score,@,Houston Rockets,W,,122,91,4,0,W 4,
4,5,"Sat, Oct 30, 2021",8:00p,,Box Score,@,Chicago Bulls,L,,99,107,4,1,L 1,
5,6,"Sun, Oct 31, 2021",7:00p,,Box Score,@,Milwaukee Bucks,W,,107,95,5,1,W 1,
6,7,"Tue, Nov 2, 2021",9:00p,,Box Score,,Sacramento Kings,W,,119,113,6,1,W 2,
7,8,"Thu, Nov 4, 2021",7:30p,,Box Score,@,Atlanta Hawks,W,,116,98,7,1,W 3,
8,9,"Sat, Nov 6, 2021",7:30p,,Box Score,@,Miami Heat,L,,115,118,7,2,L 1,
9,10,"Sun, Nov 7, 2021",6:00p,,Box Score,@,Orlando Magic,L,,100,107,7,3,L 2,
10,11,"Tue, Nov 9, 2021",9:00p,,Box Score,,Atlanta Hawks,W,,110,98,8,3,W 1,
11,12,"Thu, Nov 11, 2021",9:00p,,Box Score,,Indiana Pacers,L,,100,111,8,4,L 1,
12,13,"Sat, Nov 13, 2021",5:00p,,Box Score,,Miami Heat,L,,105,111,8,5,L 2,
13,14,"Tue, Nov 16, 2021",10:00p,,Box Score,,Philadelphia 76ers,W,,120,85,9,5,W 1,
14,15,"Thu, Nov 18, 2021",9:00p,,Box Score,,Toronto Raptors,W,,119,103,10,5,W 2,
15,16,"Sat, Nov 20, 2021",10:00p,,Box Score,@,Sacramento Kings,W,,123,105,11,5,W 3,
16,17,"Mon, Nov 22, 2021",9:00p,,Box Score,,Memphis Grizzlies,L,,118,119,11,6,L 1,
17,18,"Wed, Nov 24, 2021",8:00p,,Box Score,@,Oklahoma City Thunder,W,,110,104,12,6,W 1,
18,19,"Fri, Nov 26, 2021",9:00p,,Box Score,,New Orleans Pelicans,L,,97,98,12,7,L 1,
19,20,"Sat, Nov 27, 2021",9:00p,,Box Score,,New Orleans Pelicans,W,,127,105,13,7,W 1,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Mon, Nov 29, 2021",9:00p,,Box Score,,Portland Trail Blazers,W,,129,107,14,7,W 2,
22,22,"Fri, Dec 3, 2021",9:00p,,Box Score,,Boston Celtics,W,,137,130,15,7,W 3,
23,23,"Sun, Dec 5, 2021",3:30p,,Box Score,@,Cleveland Cavaliers,W,,109,108,16,7,W 4,
24,24,"Wed, Dec 8, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,W,,136,104,17,7,W 5,
25,25,"Thu, Dec 9, 2021",7:00p,,Box Score,@,Philadelphia 76ers,W,,118,96,18,7,W 6,
26,26,"Sat, Dec 11, 2021",7:00p,,Box Score,@,Washington Wizards,W,,123,98,19,7,W 7,
27,27,"Wed, Dec 15, 2021",10:00p,,Box Score,,Los Angeles Clippers,W,,124,103,20,7,W 8,
28,28,"Fri, Dec 17, 2021",9:00p,,Box Score,,San Antonio Spurs,L,,126,128,20,8,L 1,
29,29,"Sat, Dec 18, 2021",9:00p,,Box Score,,Washington Wizards,L,,103,109,20,9,L 2,
30,30,"Mon, Dec 20, 2021",9:00p,,Box Score,,Charlotte Hornets,W,,112,102,21,9,W 1,
31,31,"Thu, Dec 23, 2021",9:00p,,Box Score,,Minnesota Timberwolves,W,,128,116,22,9,W 2,
32,32,"Sat, Dec 25, 2021",10:30p,,Box Score,,Dallas Mavericks,W,,120,116,23,9,W 3,
33,33,"Mon, Dec 27, 2021",8:30p,,Box Score,@,San Antonio Spurs,W,,110,104,24,9,W 4,
34,34,"Wed, Dec 29, 2021",10:00p,,Box Score,@,Portland Trail Blazers,W,,120,105,25,9,W 5,
35,35,"Fri, Dec 31, 2021",9:00p,,Box Score,,Minnesota Timberwolves,W,,120,108,26,9,W 6,
36,36,"Sat, Jan 1, 2022",9:00p,,Box Score,,Golden State Warriors,L,,116,123,26,10,L 1,
37,37,"Mon, Jan 3, 2022",8:00p,,Box Score,@,New Orleans Pelicans,W,,115,104,27,10,W 1,
38,38,"Wed, Jan 5, 2022",10:00p,,Box Score,@,Denver Nuggets,W,,115,109,28,10,W 2,
39,39,"Fri, Jan 7, 2022",7:30p,,Box Score,@,Toronto Raptors,L,,108,122,28,11,L 1,
40,40,"Sat, Jan 8, 2022",7:00p,,Box Score,@,Indiana Pacers,L,,113,125,28,12,L 2,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Mon, Jan 10, 2022",7:00p,,Box Score,@,Detroit Pistons,L,,116,126,28,13,L 3,
43,42,"Wed, Jan 12, 2022",9:00p,,Box Score,,Cleveland Cavaliers,L,,91,111,28,14,L 4,
44,43,"Sun, Jan 16, 2022",8:00p,,Box Score,@,Denver Nuggets,W,,125,102,29,14,W 1,
45,44,"Mon, Jan 17, 2022",10:30p,,Box Score,@,Los Angeles Lakers,L,,95,101,29,15,L 1,
46,45,"Wed, Jan 19, 2022",9:00p,,Box Score,,Houston Rockets,L,,111,116,29,16,L 2,
47,46,"Fri, Jan 21, 2022",9:00p,,Box Score,,Detroit Pistons,W,,111,101,30,16,W 1,
48,47,"Sun, Jan 23, 2022",8:30p,,Box Score,@,Golden State Warriors,L,,92,94,30,17,L 1,
49,48,"Mon, Jan 24, 2022",9:00p,,Box Score,@,Phoenix Suns,L,,109,115,30,18,L 2,
50,49,"Wed, Jan 26, 2022",10:00p,,Box Score,,Phoenix Suns,L,,97,105,30,19,L 3,
51,50,"Fri, Jan 28, 2022",8:00p,,Box Score,@,Memphis Grizzlies,L,,109,119,30,20,L 4,
52,51,"Sun, Jan 30, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,,106,126,30,21,L 5,
53,52,"Wed, Feb 2, 2022",10:00p,,Box Score,,Denver Nuggets,W,,108,104,31,21,W 1,
54,53,"Fri, Feb 4, 2022",9:00p,,Box Score,,Brooklyn Nets,W,,125,102,32,21,W 2,
55,54,"Mon, Feb 7, 2022",9:00p,,Box Score,,New York Knicks,W,,113,104,33,21,W 3,
56,55,"Wed, Feb 9, 2022",10:00p,,Box Score,,Golden State Warriors,W,,111,85,34,21,W 4,
57,56,"Fri, Feb 11, 2022",9:00p,,Box Score,,Orlando Magic,W,,114,99,35,21,W 5,
58,57,"Mon, Feb 14, 2022",9:00p,,Box Score,,Houston Rockets,W,,135,101,36,21,W 6,
59,58,"Wed, Feb 16, 2022",10:00p,,Box Score,@,Los Angeles Lakers,L,,101,106,36,22,L 1,
60,59,"Fri, Feb 25, 2022",9:00p,,Box Score,,Dallas Mavericks,W,,114,109,37,22,W 1,
61,60,"Sun, Feb 27, 2022",3:30p,,Box Score,@,Phoenix Suns,W,,118,114,38,22,W 2,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Wed, Mar 2, 2022",8:00p,,Box Score,@,Houston Rockets,W,OT,132,127,39,22,W 3,
