,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,,Oklahoma City Thunder,W,,107,86,1,0,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
1,2,2021-10-22,,,Box Score,@,Sacramento Kings,W,,110,101,2,0,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
2,3,2021-10-26,,,Box Score,,Denver Nuggets,W,,122,110,3,0,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
3,4,2021-10-28,,,Box Score,@,Houston Rockets,W,,122,91,4,0,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
4,5,2021-10-30,,,Box Score,@,Chicago Bulls,L,,99,107,4,1,B. Bogdanović · R. Gobert · J. Ingles · D. Mitchell · R. O'Neale
5,6,2021-10-31,,,Box Score,@,Milwaukee Bucks,W,,107,95,5,1,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
6,7,2021-11-02,,,Box Score,,Sacramento Kings,W,,119,113,6,1,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
7,8,2021-11-04,,,Box Score,@,Atlanta Hawks,W,,116,98,7,1,B. Bogdanović · M. Conley · R. Gobert · J. Ingles · R. O'Neale
8,9,2021-11-06,,,Box Score,@,Miami Heat,L,,115,118,7,2,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
9,10,2021-11-07,,,Box Score,@,Orlando Magic,L,,100,107,7,3,B. Bogdanović · R. Gobert · J. Ingles · D. Mitchell · R. O'Neale
10,11,2021-11-09,,,Box Score,,Atlanta Hawks,W,,110,98,8,3,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
11,12,2021-11-11,,,Box Score,,Indiana Pacers,L,,100,111,8,4,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
12,13,2021-11-13,,,Box Score,,Miami Heat,L,,105,111,8,5,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
13,14,2021-11-16,,,Box Score,,Philadelphia 76ers,W,,120,85,9,5,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
14,15,2021-11-18,,,Box Score,,Toronto Raptors,W,,119,103,10,5,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
15,16,2021-11-20,,,Box Score,@,Sacramento Kings,W,,123,105,11,5,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
16,17,2021-11-22,,,Box Score,,Memphis Grizzlies,L,,118,119,11,6,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
17,18,2021-11-24,,,Box Score,@,Oklahoma City Thunder,W,,110,104,12,6,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
18,19,2021-11-26,,,Box Score,,New Orleans Pelicans,L,,97,98,12,7,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
19,20,2021-11-27,,,Box Score,,New Orleans Pelicans,W,,127,105,13,7,B. Bogdanović · M. Conley · R. Gobert · J. Ingles · D. Mitchell
20,21,2021-11-29,,,Box Score,,Portland Trail Blazers,W,,129,107,14,7,B. Bogdanović · M. Conley · R. Gobert · J. Ingles · D. Mitchell
21,22,2021-12-03,,,Box Score,,Boston Celtics,W,,137,130,15,7,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
22,23,2021-12-05,,,Box Score,@,Cleveland Cavaliers,W,,109,108,16,7,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
23,24,2021-12-08,,,Box Score,@,Minnesota Timberwolves,W,,136,104,17,7,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
24,25,2021-12-09,,,Box Score,@,Philadelphia 76ers,W,,118,96,18,7,B. Bogdanović · M. Conley · R. Gobert · D. Mitchell · R. O'Neale
