,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,Ray Acosta,,5,3,2,0.6,94.1,,114.0,19.6,18.6,7.0,1.8,,100.4,17.4,18.2,8.8,0.8,,13.6,2.2,0.4,-1.8,1.0
1,2,Mark Lindsay,,4,3,1,0.75,94.0,,116.5,23.0,17.0,8.3,0.8,,99.8,19.0,20.0,10.0,1.0,,16.7,4.0,-3.0,-1.7,-0.2
2,3,Zach Zarba,,7,4,3,0.571,93.6,,111.7,20.0,17.1,6.4,1.6,,109.3,14.1,18.6,8.1,1.0,,2.4,5.9,-1.5,-1.7,0.6
3,4,Brent Barnaky,,4,3,1,0.75,99.3,,117.0,24.3,15.8,8.3,1.0,,106.0,17.5,18.8,10.5,0.5,,11.0,6.8,-3.0,-2.2,0.5
4,5,Kevin Cutler,,5,4,1,0.8,98.0,,119.6,20.0,18.6,8.0,2.4,,103.2,18.0,19.0,8.2,0.6,,16.4,2.0,-0.4,-0.2,1.8
5,6,J.T. Orr,,5,2,3,0.4,97.2,,105.8,24.2,17.0,6.4,1.8,,107.0,15.4,20.8,10.6,0.4,,-1.2,8.8,-3.8,-4.2,1.4
6,7,Brandon Adair,,5,3,2,0.6,94.8,,113.0,26.8,19.8,6.6,2.2,,109.4,17.0,21.8,10.4,0.6,,3.6,9.8,-2.0,-3.8,1.6
7,8,Derrick Collins,,7,5,2,0.714,98.1,,119.3,23.9,20.7,9.1,1.7,,111.1,21.7,21.6,10.0,1.9,,8.2,2.2,-0.9,-0.9,-0.2
8,9,David Guthrie,,6,4,2,0.667,97.4,,112.3,25.3,21.0,8.7,1.8,,104.8,24.5,21.7,10.3,1.2,,7.5,0.8,-0.7,-1.6,0.6
9,10,Curtis Blair,,4,3,1,0.75,93.2,,110.5,16.8,18.3,7.5,2.8,,101.0,15.8,16.8,6.5,0.5,,9.5,1.0,1.5,1.0,2.3
