,Rk,Franchise,G,W,L,W/L%,PS,PA,PS/G,PA/G
0,1,Atlanta Hawks,312,150,162,0.481,32728,32954,104.9,105.6
1,2,Boston Celtics,315,119,196,0.378,33174,34570,105.3,109.7
2,3,Brooklyn Nets,199,107,92,0.538,20493,20329,103.0,102.2
3,4,Charlotte Hornets,124,56,68,0.452,12664,12707,102.1,102.5
4,5,Chicago Bulls,236,107,129,0.453,23922,24224,101.4,102.6
5,6,Cleveland Cavaliers,228,118,110,0.518,23194,23105,101.7,101.3
6,7,Dallas Mavericks,81,35,46,0.432,8256,8510,101.9,105.1
7,8,Denver Nuggets,96,41,55,0.427,10124,10305,105.5,107.3
8,9,Detroit Pistons,295,138,157,0.468,31250,31206,105.9,105.8
9,10,Golden State Warriors,200,86,114,0.43,22002,22249,110.0,111.2
10,11,Houston Rockets,156,81,75,0.519,16495,16550,105.7,106.1
11,12,Indiana Pacers,187,84,103,0.449,19154,19460,102.4,104.1
12,13,Los Angeles Clippers,126,77,49,0.611,13292,12987,105.5,103.1
13,14,Los Angeles Lakers,198,77,121,0.389,21278,21967,107.5,110.9
14,15,Memphis Grizzlies,51,22,29,0.431,5064,5105,99.3,100.1
15,16,Miami Heat,136,44,92,0.324,13298,13821,97.8,101.6
16,17,Milwaukee Bucks,221,94,127,0.425,23035,23491,104.2,106.3
17,18,Minnesota Timberwolves,63,37,26,0.587,6519,6474,103.5,102.8
18,19,New Orleans Pelicans,41,23,18,0.561,4085,4065,99.6,99.1
19,20,New York Knicks,311,135,176,0.434,32509,33072,104.5,106.3
20,21,Oklahoma City Thunder,141,67,74,0.475,15046,15156,106.7,107.5
21,22,Orlando Magic,131,58,73,0.443,13192,13469,100.7,102.8
22,23,Philadelphia 76ers,312,125,187,0.401,33254,33971,106.6,108.9
23,24,Phoenix Suns,133,67,66,0.504,14237,14600,107.0,109.8
24,25,Portland Trail Blazers,119,56,63,0.471,12302,12369,103.4,103.9
25,26,Sacramento Kings,204,94,110,0.461,22712,22831,111.3,111.9
26,27,San Antonio Spurs,99,34,65,0.343,10137,10734,102.4,108.4
27,28,Toronto Raptors,98,39,59,0.398,9841,9956,100.4,101.6
28,29,Utah Jazz,110,51,59,0.464,11175,11519,101.6,104.7
