,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
0,1,Bernie Bickerstaff,1997,1999,3,149,77,72,.517,2.5,1,3,0,3,.000,0,0
1,2,Scott Brooks,2017,2021,5,390,183,207,.469,-12.0,3,24,10,14,.417,0,0
2,3,Jim Brovelli,1999,1999,1,18,5,13,.278,-4.0,,,,,,,
3,4,Doug Collins,2002,2003,2,164,74,90,.451,-8.0,,,,,,,
4,5,Mike Farmer,1967,1967,1,9,1,8,.111,-3.5,,,,,,,
5,6,Leonard Hamilton,2001,2001,1,82,19,63,.232,-22.0,,,,,,,
6,7,Gar Heard,2000,2000,1,44,14,30,.318,-8.0,,,,,,,
7,8,Buddy Jeannette,1965,1967,2,96,40,56,.417,-8.0,1,10,5,5,.500,0,0
8,9,K.C. Jones,1974,1976,3,246,155,91,.630,32.0,3,31,14,17,.452,1,0
9,10,Eddie Jordan,2004,2009,6,421,197,224,.468,-13.5,4,26,8,18,.308,0,0
10,11,Slick Leonard,1963,1964,2,122,44,78,.361,-17.0,,,,,,,
11,12,Kevin Loughery,1986,1988,3,122,57,65,.467,-4.0,2,8,2,6,.250,0,0
12,13,Jim Lynam,1995,1997,3,210,82,128,.390,-23.0,,,,,,,
13,14,Jack McMahon,1963,1963,1,38,12,26,.316,-7.0,,,,,,,
14,15,Dick Motta,1977,1980,4,328,185,143,.564,21.0,4,51,27,24,.529,2,1
15,16,Jim Pollard,1962,1962,1,80,18,62,.225,-22.0,,,,,,,
16,17,Flip Saunders,2010,2012,3,181,51,130,.282,-39.5,,,,,,,
17,18,Paul Seymour,1966,1966,1,80,38,42,.475,-2.0,1,3,0,3,.000,0,0
18,19,Gene Shue,1967,1986,13,1027,522,505,.508,8.5,8,55,19,36,.345,1,0
19,20,Bob Staak,1997,1997,1,1,0,1,.000,-0.5,,,,,,,
20,,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
21,Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G,W,L,W/L%,Conf,Champ
22,21,Ed Tapscott,2009,2009,1,71,18,53,.254,-17.5,,,,,,,
23,22,Wes Unseld,1988,1994,7,547,202,345,.369,-71.5,1,5,2,3,.400,0,0
24,23,Wes Unseld,2022,2022,1,82,35,47,.427,-6.0,,,,,,,
25,24,Darrell Walker,2000,2000,1,38,15,23,.395,-4.0,,,,,,,
26,25,Randy Wittman,2012,2016,5,377,178,199,.472,-10.5,2,21,12,9,.571,0,0
