,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
0,1,2021-10-20,,,Box Score,@,Toronto Raptors,W,,98,83,1,0,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
1,2,2021-10-22,,,Box Score,,Indiana Pacers,W,OT,135,134,2,0,K. Caldwell-Pope · S. Dinwiddie · D. Gafford · A. Holiday · K. Kuzma
2,3,2021-10-25,,,Box Score,@,Brooklyn Nets,L,,90,104,2,1,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
3,4,2021-10-27,,,Box Score,@,Boston Celtics,W,,116,107,3,1,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
4,5,2021-10-28,,,Box Score,,Atlanta Hawks,W,,122,111,4,1,B. Beal · K. Caldwell-Pope · M. Harrell · A. Holiday · K. Kuzma
5,6,2021-10-30,,,Box Score,,Boston Celtics,W,2OT,115,112,5,1,B. Beal · K. Caldwell-Pope · S. Dinwiddie · M. Harrell · K. Kuzma
6,7,2021-11-01,,,Box Score,@,Atlanta Hawks,L,,111,118,5,2,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
7,8,2021-11-03,,,Box Score,,Toronto Raptors,L,,100,109,5,3,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
8,9,2021-11-05,,,Box Score,,Memphis Grizzlies,W,,115,87,6,3,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
9,10,2021-11-07,,,Box Score,,Milwaukee Bucks,W,,101,94,7,3,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
10,11,2021-11-10,,,Box Score,@,Cleveland Cavaliers,W,,97,94,8,3,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
11,12,2021-11-13,,,Box Score,@,Orlando Magic,W,,104,92,9,3,K. Caldwell-Pope · S. Dinwiddie · D. Gafford · A. Holiday · K. Kuzma
12,13,2021-11-15,,,Box Score,,New Orleans Pelicans,W,,105,100,10,3,K. Caldwell-Pope · S. Dinwiddie · D. Gafford · A. Holiday · K. Kuzma
13,14,2021-11-17,,,Box Score,@,Charlotte Hornets,L,,87,97,10,4,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
14,15,2021-11-18,,,Box Score,@,Miami Heat,L,,97,112,10,5,B. Beal · K. Caldwell-Pope · M. Harrell · A. Holiday · K. Kuzma
15,16,2021-11-20,,,Box Score,,Miami Heat,W,,103,100,11,5,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
16,17,2021-11-22,,,Box Score,,Charlotte Hornets,L,,103,109,11,6,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
17,18,2021-11-24,,,Box Score,@,New Orleans Pelicans,L,,102,127,11,7,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
18,19,2021-11-26,,,Box Score,@,Oklahoma City Thunder,W,,101,99,12,7,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
19,20,2021-11-27,,,Box Score,@,Dallas Mavericks,W,,120,114,13,7,B. Beal · K. Caldwell-Pope · D. Gafford · A. Holiday · K. Kuzma
