,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
0,1,John Butler,,3,2,1,0.667,99.3,,109.7,26.7,16.7,9.0,0.3,,109.3,19.3,22.0,10.3,0.7,,0.4,7.4,-5.3,-1.3,-0.4
1,2,Eric Dalen,,4,1,3,0.25,98.4,,101.8,19.5,21.5,11.3,1.3,,101.3,27.0,18.8,7.5,1.8,,0.5,-7.5,2.7,3.8,-0.5
2,3,Bill Kennedy,,3,2,1,0.667,102.0,,116.0,22.3,19.3,11.0,1.0,,108.0,23.0,19.3,9.3,1.0,,8.0,-0.7,0.0,1.7,0.0
3,4,Mousa Dagher,,3,1,2,0.333,97.3,,108.2,23.8,22.6,10.3,2.9,,112.8,24.5,22.6,9.0,2.9,,-4.6,-0.7,0.0,1.3,0.0
4,5,Eric Lewis,,5,1,4,0.2,98.0,,106.2,24.5,20.6,11.2,1.2,,118.7,24.1,21.7,10.0,2.5,,-12.5,0.4,-1.1,1.2,-1.3
5,6,Gediminas Petraitis,,5,4,1,0.8,96.9,,115.8,20.2,15.9,7.4,1.6,,112.1,16.3,19.4,9.2,1.4,,3.7,3.9,-3.5,-1.8,0.2
6,7,Ray Acosta,,6,1,5,0.167,96.6,,102.8,22.7,18.2,10.2,1.5,,111.5,20.3,20.0,9.7,1.7,,-8.7,2.4,-1.8,0.5,-0.2
7,8,Tyler Ford,,4,1,3,0.25,97.9,,106.9,25.0,20.4,10.2,1.9,,109.5,25.9,21.6,11.2,2.4,,-2.6,-0.9,-1.2,-1.0,-0.5
8,9,Scott Wall,,2,0,2,0.0,98.4,,96.0,20.0,15.5,7.5,1.5,,124.0,15.0,19.5,9.5,1.5,,-28.0,5.0,-4.0,-2.0,0.0
9,10,James Capers Jr.,,4,3,1,0.75,96.4,,116.0,21.5,22.0,10.8,2.8,,106.3,27.8,20.8,9.8,2.3,,9.7,-6.3,1.2,1.0,0.5
10,11,Michael Smith,,4,3,1,0.75,95.4,,104.0,20.0,18.8,9.3,1.8,,101.5,20.5,17.8,8.3,1.3,,2.5,-0.5,1.0,1.0,0.5
11,12,Leon Wood,,3,1,2,0.333,96.6,,114.0,20.3,22.3,9.7,2.7,,116.7,28.0,19.3,9.7,1.7,,-2.7,-7.7,3.0,0.0,1.0
12,13,Derek Richardson,,6,1,5,0.167,96.7,,107.7,22.0,18.0,8.5,1.2,,116.3,19.7,20.5,9.8,2.0,,-8.6,2.3,-2.5,-1.3,-0.8
13,14,Ben Taylor,,4,3,1,0.75,96.9,,115.5,22.8,20.3,10.5,1.3,,111.3,23.0,21.3,9.8,1.3,,4.2,-0.2,-1.0,0.7,0.0
14,15,C.J. Washington,,3,2,1,0.667,97.7,,110.7,20.0,20.3,9.7,1.7,,110.0,23.0,19.3,9.0,1.7,,0.7,-3.0,1.0,0.7,0.0
15,16,John Conley,,3,1,2,0.333,100.2,,106.0,27.7,17.8,10.6,0.9,,109.4,21.8,23.4,14.0,1.9,,-3.4,5.9,-5.6,-3.4,-1.0
16,17,J.B. DeRosa,,3,2,1,0.667,98.3,,108.0,21.4,19.6,10.5,1.5,,106.2,25.2,18.7,11.1,1.5,,1.8,-3.8,0.9,-0.6,0.0
17,18,Zach Zarba,,2,1,1,0.5,97.0,,101.0,23.5,19.0,11.8,1.4,,101.9,24.5,20.8,11.8,0.9,,-0.9,-1.0,-1.8,0.0,0.5
18,19,Brandon Adair,,5,3,2,0.6,95.2,,108.0,18.0,22.0,11.2,1.6,,107.0,27.0,19.0,8.8,2.0,,1.0,-9.0,3.0,2.4,-0.4
19,20,Marc Davis,,3,2,1,0.667,91.9,,109.7,18.7,17.3,8.0,0.7,,109.0,19.3,17.7,9.0,1.3,,0.7,-0.6,-0.4,-1.0,-0.6
20,21,Suyash Mehta,,6,3,3,0.5,96.7,,111.5,21.0,20.3,10.7,2.0,,112.3,25.2,20.2,9.5,1.8,,-0.8,-4.2,0.1,1.2,0.2
21,22,Mark Lindsay,,4,1,3,0.25,95.5,,106.3,23.8,17.8,8.8,1.8,,111.3,21.3,20.3,11.0,1.0,,-5.0,2.5,-2.5,-2.2,0.8
22,23,Natalie Sago,,4,1,3,0.25,98.6,,112.3,31.3,20.8,11.8,2.0,,114.3,27.3,24.5,12.0,2.0,,-2.0,4.0,-3.7,-0.2,0.0
23,24,Evan Scott,,5,1,4,0.2,95.2,,98.0,22.2,16.8,6.6,1.0,,107.0,17.4,19.8,9.4,2.0,,-9.0,4.8,-3.0,-2.8,-1.0
24,25,Kevin Cutler,,4,3,1,0.75,99.3,,115.5,16.3,19.8,10.3,0.5,,103.3,23.5,17.3,7.5,1.3,,12.2,-7.2,2.5,2.8,-0.8
25,26,Phenizee Ransom,,5,2,3,0.4,97.1,,104.2,20.4,19.2,11.6,1.2,,102.0,24.4,19.6,8.2,2.2,,2.2,-4.0,-0.4,3.4,-1.0
26,27,Scott Foster,,4,2,2,0.5,94.1,,101.8,15.0,16.5,8.5,1.8,,106.5,18.0,16.3,6.8,1.5,,-4.7,-3.0,0.2,1.7,0.3
27,28,Jonathan Sterling,,4,2,2,0.5,96.3,,108.3,22.8,18.3,8.5,1.8,,109.5,17.5,18.3,10.3,1.0,,-1.2,5.3,0.0,-1.8,0.8
28,29,Nate Green,,4,2,2,0.5,93.6,,108.8,19.0,18.3,9.3,1.2,,118.3,21.4,19.0,9.0,1.9,,-9.5,-2.4,-0.7,0.3,-0.7
29,30,Tre Maddox,,3,2,1,0.667,94.9,,98.7,17.0,18.7,10.3,2.3,,103.7,20.3,18.7,8.3,3.0,,-5.0,-3.3,0.0,2.0,-0.7
30,31,Sean Corbin,,1,1,0,1.0,95.4,,104.0,10.0,17.0,8.0,1.0,,92.0,20.0,15.0,5.0,2.0,,12.0,-10.0,2.0,3.0,-1.0
31,32,Karl Lane,,7,4,3,0.571,94.3,,109.1,24.6,16.9,9.9,0.9,,113.4,20.1,21.7,9.7,1.0,,-4.3,4.5,-4.8,0.2,-0.1
32,33,Matt Myers,,5,3,2,0.6,97.9,,107.2,22.4,18.6,10.0,0.4,,109.0,25.2,21.0,9.8,1.8,,-1.8,-2.8,-2.4,0.2,-1.4
33,34,Sean Wright,,6,4,2,0.667,98.9,,116.2,28.3,21.5,12.5,2.3,,110.7,28.0,24.2,10.7,2.2,,5.5,0.3,-2.7,1.8,0.1
34,35,Kane Fitzgerald,,3,0,3,0.0,92.9,,93.0,18.0,17.0,7.0,2.0,,104.3,15.3,19.0,7.3,2.7,,-11.3,2.7,-2.0,-0.3,-0.7
35,36,Dannica Mosher,,2,0,2,0.0,97.2,,97.0,18.5,19.0,7.5,1.0,,105.0,19.5,17.5,7.5,2.0,,-8.0,-1.0,1.5,0.0,-1.0
36,37,Nick Buchert,,6,1,5,0.167,96.7,,110.3,17.8,19.7,10.7,1.3,,120.2,24.8,18.0,8.3,1.8,,-9.9,-7.0,1.7,2.4,-0.5
37,38,Jacyn Goble,,6,3,3,0.5,93.2,,105.7,22.3,18.5,10.3,1.3,,110.6,23.1,20.8,9.7,1.6,,-4.9,-0.8,-2.3,0.6,-0.3
38,39,Brandon Schwab,,2,1,1,0.5,93.0,,108.5,18.0,18.5,8.5,0.5,,113.0,23.0,17.0,7.5,1.0,,-4.5,-5.0,1.5,1.0,-0.5
39,40,Andy Nagy,,4,2,2,0.5,94.7,,103.8,22.8,18.8,10.0,2.5,,110.3,19.5,21.8,10.0,1.5,,-6.5,3.3,-3.0,0.0,1.0
40,41,Dedric Taylor,,2,1,1,0.5,98.8,,102.5,27.0,19.5,15.0,1.0,,110.5,29.5,22.5,11.0,1.0,,-8.0,-2.5,-3.0,4.0,0.0
41,42,Derrick Collins,,4,2,2,0.5,93.8,,99.3,18.3,15.8,8.0,1.5,,107.5,14.5,18.0,9.0,2.0,,-8.2,3.8,-2.2,-1.0,-0.5
42,43,Marat Kogut,,3,2,1,0.667,95.6,,101.7,15.7,16.7,9.3,1.7,,106.0,19.7,17.0,8.0,1.7,,-4.3,-4.0,-0.3,1.3,0.0
43,44,John Goble,,4,1,3,0.25,93.8,,102.5,20.8,17.3,8.8,1.0,,113.0,19.3,18.8,9.8,1.5,,-10.5,1.5,-1.5,-1.0,-0.5
44,45,Courtney Kirkland,,2,0,2,0.0,91.5,,92.5,9.5,19.5,8.0,1.5,,104.0,20.0,12.5,5.0,1.5,,-11.5,-10.5,7.0,3.0,0.0
45,46,Brett Nansel,,2,0,2,0.0,93.7,,103.5,14.5,17.5,12.0,0.5,,114.5,22.5,14.5,7.5,1.0,,-11.0,-8.0,3.0,4.5,-0.5
46,47,Lauren Holtkamp-Sterling,,4,2,2,0.5,94.8,,109.8,15.3,19.8,9.8,2.0,,108.3,22.0,17.5,9.0,2.3,,1.5,-6.7,2.3,0.8,-0.3
47,48,Matt Boland,,6,1,5,0.167,98.2,,108.8,20.5,19.0,9.5,1.0,,115.8,21.5,19.5,9.8,1.5,,-7.0,-1.0,-0.5,-0.3,-0.5
48,49,Mitchell Ervin,,6,1,5,0.167,95.4,,106.5,22.0,19.0,9.0,1.5,,114.2,20.7,20.7,9.8,2.3,,-7.7,1.3,-1.7,-0.8,-0.8
49,50,David Guthrie,,2,0,2,0.0,93.6,,98.5,18.5,16.5,9.0,0.0,,116.0,21.5,18.0,9.5,1.0,,-17.5,-3.0,-1.5,-0.5,-1.0
50,51,James Williams,,6,2,4,0.333,95.0,,107.0,23.8,16.4,10.3,1.3,,117.6,20.0,21.0,11.0,1.8,,-10.6,3.8,-4.6,-0.7,-0.5
51,52,Justin Van Duyne,,3,1,2,0.333,95.9,,110.0,20.0,16.3,9.3,1.7,,113.7,18.7,17.3,9.7,1.7,,-3.7,1.3,-1.0,-0.4,0.0
52,53,Tony Brothers,,6,3,3,0.5,99.3,,110.8,23.0,19.8,10.2,0.8,,107.7,25.2,19.7,10.3,2.0,,3.1,-2.2,0.1,-0.1,-1.2
53,54,Danielle Scott,,2,1,1,0.5,94.6,,116.5,26.0,15.5,8.5,2.5,,116.0,18.0,18.0,10.5,0.5,,0.5,8.0,-2.5,-2.0,2.0
54,55,Tom Washington,,4,1,3,0.25,96.5,,103.8,24.0,17.0,8.8,0.3,,112.0,20.0,20.8,10.5,1.3,,-8.2,4.0,-3.8,-1.7,-1.0
55,56,Ed Malloy,,1,0,1,0.0,93.1,,112.0,14.0,20.0,11.0,2.0,,119.0,23.0,13.0,10.0,0.0,,-7.0,-9.0,7.0,1.0,2.0
56,57,Jenna Schroeder,,1,0,1,0.0,93.1,,112.0,14.0,20.0,11.0,2.0,,119.0,23.0,13.0,10.0,0.0,,-7.0,-9.0,7.0,1.0,2.0
57,58,Bennie Adams,,1,0,1,0.0,102.5,,119.0,26.0,22.0,14.0,1.0,,120.0,25.0,24.0,13.0,2.0,,-1.0,1.0,-2.0,1.0,-1.0
58,59,Jason Goldenberg,,3,1,2,0.333,98.0,,121.3,23.0,20.0,13.3,1.0,,115.3,26.7,20.0,11.3,1.7,,6.0,-3.7,0.0,2.0,-0.7
59,60,Josh Tiven,,4,1,3,0.25,97.5,,113.0,25.8,15.5,9.3,1.3,,121.5,19.0,20.5,10.5,0.8,,-8.5,6.8,-5.0,-1.2,0.5
60,61,Aaron Smith,,3,1,2,0.333,94.7,,105.3,18.0,16.0,10.7,1.0,,109.0,19.3,18.0,8.3,1.3,,-3.7,-1.3,-2.0,2.4,-0.3
61,62,Scott Twardoski,,2,1,1,0.5,93.5,,98.5,17.5,19.0,9.0,0.5,,99.0,19.0,18.0,8.5,1.0,,-0.5,-1.5,1.0,0.5,-0.5
62,63,Pat Fraher,,3,1,2,0.333,96.9,,110.3,20.0,19.0,8.0,0.7,,119.0,21.3,18.3,8.7,0.7,,-8.7,-1.3,0.7,-0.7,0.0
63,64,Brian Forte,,2,1,1,0.5,96.8,,112.5,24.5,17.5,11.5,2.0,,118.5,24.5,20.5,12.0,1.0,,-6.0,0.0,-3.0,-0.5,1.0
64,65,Curtis Blair,,1,1,0,1.0,96.5,,127.0,31.0,13.0,6.0,2.0,,119.0,11.0,23.0,13.0,1.0,,8.0,20.0,-10.0,-7.0,1.0
